product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Pants Pull Ups Friends Classic Pant Adult Diapers, Size: XXL, 10 Pcs",https://www.indiamart.com/proddetail/friends-classic-pant-adult-diapers-26141775148.html?pos=1&kwd=adult diaper pant&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Recherche World,https://www.rechercheworld.co.in/?pos=1&kwd=adult diaper pant&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Pandav Nagar,New Delhi,"Near Gurudwara, Ground Floor, A-13-14, Gali No.01, Pandav Nagar, East Delhi, Pandav Nagar, New Delhi - 110092, Dist.Delhi, Delhi",8047312171,
"Friends Ultra Thin Adult Diapers Pant, Size: Medium",https://www.indiamart.com/proddetail/friends-ultra-thin-adult-diapers-pant-2853252270533.html?pos=2&kwd=adult diaper pant&tags=A||||8767.009|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Dakshu Enterprise,https://www.indiamart.com/dakshu-enterprise/?pos=2&kwd=adult diaper pant&tags=A||||8767.009|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,,Baghpat,"0,,Delhi Saharanpur road,Baghpat, Baghpat - 250609, Dist.Bagpat, Uttar Pradesh",7949339950,
Pull Ups Liberty Eco Adult Diaper Pants Medium - 20,https://www.indiamart.com/proddetail/liberty-eco-adult-diaper-pants-medium-20-2851238764630.html?pos=3&kwd=adult diaper pant&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Maxtech,https://www.maxtechhealth.in/?pos=3&kwd=adult diaper pant&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Rani Sati Marg,Mumbai,"Shop No. 10, Pragati Shopping Centre Manchu Bhai Road, Rani Sati Marg, Mumbai - 400097, Dist.Mumbai, Maharashtra",8048970842,
"Pull Ups Adult Diaper Pants, Size: M L Xl Xxl",https://www.indiamart.com/proddetail/adult-diaper-pants-2852535065533.html?pos=4&kwd=adult diaper pant&tags=A||||8830.079|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Thara Traders Propx. Thara Senthilkumar,https://www.indiamart.com/thara-traders/?pos=4&kwd=adult diaper pant&tags=A||||8830.079|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Sathuvachari,Vellore,"546/2 Nethajibose Main Road, Tnhb, Phase 3, Vallalar A.r.complex,1st Floor, Nethaji Bose Main Road, Sathuvachari, Vellore - 632009, Dist.Vellore, Tamil Nadu",8048605071,
"Pant Type Hapus Adult Pull Up Diaper, Packaging Size: 10's Pack",https://www.indiamart.com/proddetail/hapus-adult-pull-up-diaper-24189367230.html?pos=5&kwd=adult diaper pant&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Chris Merchant Private Limited,https://www.chrismerchant.co.in/?pos=5&kwd=adult diaper pant&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Koyambedu,Chennai,"No. 5, Poonamalee High Road, Koyambedu, Chennai - 600107, Dist.Chennai, Tamil Nadu",8048956521,
"Nonwoven Plain Champs Dry Pants Diapers, Small",https://www.indiamart.com/proddetail/adult-diapers-2854454954588.html?pos=6&kwd=adult diaper pant&tags=A||||8753.51|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Saraswati Stores,https://www.indiamart.com/saraswati-stores-karnal/?pos=6&kwd=adult diaper pant&tags=A||||8753.51|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,,Karnal,"2088/7, Unnamed Road, Sector 7 Park 16,, Karnal - 132001, Dist.Karnal, Haryana",7949328104,
Quick Care XL Adult Diaper,https://www.indiamart.com/proddetail/quick-care-xl-adult-diaper-23155723133.html?pos=7&kwd=adult diaper pant&tags=A||||8476.868|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Ramkrushna Pharma Distributors,https://www.indiamart.com/ramkrushna-pharma-distributors/?pos=7&kwd=adult diaper pant&tags=A||||8476.868|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,,Aurangabad,"Upper Floor, Shop No 10, Global Avenue, Paithan Gate, Chhatrapati Sambhaji Nagar, Aurangabad - 431001, Maharashtra",8043861084,
"Adult Diapers Pant Styles, Medium",https://www.indiamart.com/proddetail/adult-diapers-pant-styles-2854267715930.html?pos=8&kwd=adult diaper pant&tags=BA||||8741.812||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Kannu Impex (India) Private Limited,https://www.indiamart.com/kannuimpex/?pos=8&kwd=adult diaper pant&tags=BA||||8741.812||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,True,Sector 21,Gurgaon,"Corporate Office Suite No. 412, Suncity Trade Tower, Sector 21 Delhi-Gurgaon Road, Sector 21, Gurgaon - 122016, Dist.Gurgaon, Haryana",8048964773,
"Adult Diapers, Large",https://www.indiamart.com/proddetail/adult-diapers-2854691283897.html?pos=9&kwd=adult diaper pant&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Aglodia Corporation,https://www.aglodiacorp.com/?pos=9&kwd=adult diaper pant&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Goregaon West,Mumbai,"315/2512 motilal nagar 2 MG road Goregaon west, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942842515,
"Adult Diaper Pants, Size: XL",https://www.indiamart.com/proddetail/adult-diaper-pants-2854909706897.html?pos=10&kwd=adult diaper pant&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,Aksh Trading,https://www.indiamart.com/aksh-trading/?pos=10&kwd=adult diaper pant&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9650|v=4,False,Vikaspuri,New Delhi,"Flat No. 13A, CGHS Evershine Apartment, Vikash Puri, North West, Vikaspuri, New Delhi - 110018, Dist.Delhi, Delhi",7942660706,
