product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Tidy Adult Diaper Pants Extra Large,https://www.indiamart.com/proddetail/tidy-adult-diaper-pants-extra-large-2854227376055.html?pos=1&kwd=adult diapers&tags=A|PL|||8747.223|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Pioneer Hygiene Industries LLP,https://www.pioneerhygiene.co.in/?pos=1&kwd=adult diapers&tags=A|PL|||8747.223|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,True,,Sonipat,"Kila No. 95//1/1, 12/13, 19 And 22/1/1, Akbarpur Barota, Sonipat - 131103, Dist.Sonipat, Haryana",8045731181,
Adult Diaper Pants,https://www.indiamart.com/proddetail/adult-diaper-pants-2854565171991.html?pos=2&kwd=adult diapers&tags=A|PL|||8830.388|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Easeplus Healthcare Private Limited,https://www.ezoyplus.in/?pos=2&kwd=adult diapers&tags=A|PL|||8830.388|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,DD Nagar,Gwalior,"T 1298 K-61,Vrikampur Chouraha,Satabdipuram D D Nagar,Gwalior, DD Nagar, Gwalior - 474005, Dist.Gwalior, Madhya Pradesh",8048265864,
Adults Protective Underwear Careage Adult Diaper Pants Large,https://www.indiamart.com/proddetail/careage-adult-diaper-pants-large-2851615275012.html?pos=3&kwd=adult diapers&tags=A|PL|||8752.144|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Recherche World,https://www.rechercheworld.co.in/?pos=3&kwd=adult diapers&tags=A|PL|||8752.144|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Pandav Nagar,New Delhi,"Near Gurudwara, Ground Floor, A-13-14, Gali No.01, Pandav Nagar, East Delhi, Pandav Nagar, New Delhi - 110092, Dist.Delhi, Delhi",8047312171,
Protective Underwear Adult Diaper Pants,https://www.indiamart.com/proddetail/adult-diaper-pants-2853149151748.html?pos=4&kwd=adult diapers&tags=A|PL|||8786.56|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Medvian Health Care,https://www.medvianhealthcare.in/?pos=4&kwd=adult diapers&tags=A|PL|||8786.56|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Dammaiguda,Hyderabad,"# 7-51, Anushakthi Nagar Dammaiguda Road, Nagaram, Near Dubai Building, Dammaiguda, Hyderabad - 500083, Dist.Hyderabad, Telangana",8047639534,
"Adult Diapers, Size: Large,38-60 Inch",https://www.indiamart.com/proddetail/adult-diapers-20875824055.html?pos=5&kwd=adult diapers&tags=A||||8954.051|Price|product|||SSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Delite Surgicals,https://www.indiamart.com/delite-surgicals-chennai/?pos=5&kwd=adult diapers&tags=A||||8954.051|Price|product|||SSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Park Town,Chennai,"107, Nyniappanaicken Street, Park Town, Park Town, Chennai - 600003, Dist.Chennai, Tamil Nadu",7942565474,
Disposable Adult Diaper (Pack of 10),https://www.indiamart.com/proddetail/disposable-adult-diaper-18110123673.html?pos=6&kwd=adult diapers&tags=A||||8752.144|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Dispowear Sterite Company,https://www.dispowear.co.in/?pos=6&kwd=adult diapers&tags=A||||8752.144|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Janakpuri,New Delhi,"Pocket D-2 A, Flat No. 51 C, Janakpuri, Janakpuri, New Delhi - 110058, Dist.Delhi, Delhi",8048970362,
"Adult Diapers, Large",https://www.indiamart.com/proddetail/adult-diapers-2854691283897.html?pos=7&kwd=adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Aglodia Corporation,https://www.aglodiacorp.com/?pos=7&kwd=adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Goregaon West,Mumbai,"315/2512 motilal nagar 2 MG road Goregaon west, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942842515,
"Protective Underwear Non Woven Disposable Adult Diaper, Size: Xl",https://www.indiamart.com/proddetail/disposable-adult-diaper-2852110900091.html?pos=8&kwd=adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Shriv Medicare Private Limited,https://www.shrivmedicare.com/?pos=8&kwd=adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Noombal,Chennai,"Plot No.2, Survey No. 15/2B, Vada Noombal Road, Perumalagaram, Tiruverkadu, Noombal, Chennai - 600077, Dist.Chennai, Tamil Nadu",8043830699,
"Adult Diapers Pant Styles, Medium",https://www.indiamart.com/proddetail/adult-diapers-pant-styles-2854267715930.html?pos=9&kwd=adult diapers&tags=A||||8741.812||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Kannu Impex (India) Private Limited,https://www.indiamart.com/kannuimpex/?pos=9&kwd=adult diapers&tags=A||||8741.812||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,True,Sector 21,Gurgaon,"Corporate Office Suite No. 412, Suncity Trade Tower, Sector 21 Delhi-Gurgaon Road, Sector 21, Gurgaon - 122016, Dist.Gurgaon, Haryana",8048964773,
"Disposable Adult Diaper, Medium",https://www.indiamart.com/proddetail/disposable-adult-diaper-2853596672555.html?pos=10&kwd=adult diapers&tags=A||||9140.514|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,Sefora Health And Hygiene,https://www.indiamart.com/seforahealthhygiene/?pos=10&kwd=adult diapers&tags=A||||9140.514|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:21601|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9638|v=4,False,Saddu,Raipur,"H No. 134 Extension, Avinash Capital Homes , Phase II, Saddu, Saddu, Raipur - 492014, Chhattisgarh",7942962364,
