product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Transparent Plastic Baby Bottle Accessories, 1-2 Years",https://www.indiamart.com/proddetail/baby-bottle-accessories-2852906010430.html?pos=1&kwd=baby bottle accessories&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Dua Traders,https://www.indiamart.com/duatraders-delhi/?pos=1&kwd=baby bottle accessories&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Mandoli,New Delhi,"Plot No. 8, Kh No. 4/24, Mela Ram Vatika, E-block, JR Complex No. 4, Mandoli, Sevadham, Mandoli, New Delhi - 110093, Dist.Delhi, Delhi",8048971741,
"Transparent Plastic Baby Nibbler Fruit Feeder( BOX PACKING), Capacity: 100 mL, Newly Born",https://www.indiamart.com/proddetail/baby-nibbler-fruit-feeder-box-packing-2849607653655.html?pos=2&kwd=baby bottle accessories&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,B-Qube Enterprises,https://www.indiamart.com/bqube-enterprises/?pos=2&kwd=baby bottle accessories&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Karol Bagh,New Delhi,"303, Iiird Floor,13/4, W.E.A.,Karol Bagh, Karol Bagh, New Delhi - 110005, Dist.Delhi, Delhi",8047313183,
"Plastic PEACH BABY SIPPER BOTTLE, Packaging Type: Box, 3-12 Months",https://www.indiamart.com/proddetail/peach-baby-sipper-bottle-2852116721288.html?pos=3&kwd=baby bottle accessories&tags=BB||||8663.873|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Ratnaakar Impex,https://www.indiamart.com/ratnaakarimpex/?pos=3&kwd=baby bottle accessories&tags=BB||||8663.873|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Dharmarayaswamy Temple Street,Bengaluru,"6th Floor, No.6/2, Shop-1, Luciya City Center,Next To Sharada Talkies, OTC Road, Dharmarayaswamy Temple Street, Bengaluru - 560002, Dist.Bengaluru, Karnataka",7942843226,
Velvet Baby Bottle Cover,https://www.indiamart.com/proddetail/velvet-baby-bottle-cover-2852393836597.html?pos=4&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=4&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
Baby Garment Accessories,https://www.indiamart.com/proddetail/baby-garment-accessories-2854556110033.html?pos=5&kwd=baby bottle accessories&tags=||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=5&kwd=baby bottle accessories&tags=||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
Baby Feeding Bottle Cover,https://www.indiamart.com/proddetail/baby-feeding-bottle-cover-2586362788.html?pos=6&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=6&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
"Baby Milk Bottle Cover, Capacity: 120ml",https://www.indiamart.com/proddetail/baby-milk-bottle-cover-2850398115897.html?pos=7&kwd=baby bottle accessories&tags=||||8778.123|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Radiant Enterprises,https://www.indiamart.com/radiant-enterprisesgautam-budhnagar/?pos=7&kwd=baby bottle accessories&tags=||||8778.123|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,,Noida,"Tower-3,Flat-2601,Lotus 300,Noida,Gautam Buddha Nagar, Noida - 201304, Dist.Gautam Budh Nagar, Uttar Pradesh",7942828511,
Colored Stainless Steel Baby Feeding Bottle,https://www.indiamart.com/proddetail/colored-stainless-steel-baby-feeding-bottle-21290467012.html?pos=8&kwd=baby bottle accessories&tags=||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Sundar Garments,https://www.sundargarment.com/?pos=8&kwd=baby bottle accessories&tags=||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Kondithop,Chennai,"No-9 Murugesan Street Near Kondithope Park, Kondithop, Chennai - 600079, Dist.Chennai, Tamil Nadu",8048266539,
Baby Bottle Cotton Cover,https://www.indiamart.com/proddetail/baby-bottle-cotton-cover-2852538329712.html?pos=9&kwd=baby bottle accessories&tags=||||8823.154|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Shri Anant International,https://www.indiamart.com/shrianantinternational/?pos=9&kwd=baby bottle accessories&tags=||||8823.154|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,DayalBagh,Agra,"No.02,House 2,Alkapuri Phase Ii,Agra, DayalBagh, Agra - 282005, Dist.Agra, Uttar Pradesh",7942721451,
"Metal Baby Stainless Steel Feeding Bottle with millimeter marking, Capacity: 200 mL",https://www.indiamart.com/proddetail/baby-stainless-steel-feeding-bottle-with-millimeter-marking-2851356270291.html?pos=10&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,Ishvan Impex Private Limited,https://www.ishvanimpex.com/?pos=10&kwd=baby bottle accessories&tags=||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98603|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:8306|v=4,False,Chandni Chowk,New Delhi,"Ground Floor, Shop No. 1, Bagh Diwar, Fatehpuri, Chandni Chowk, Central Delhi, Chandni Chowk, New Delhi - 110006, Dist.Delhi, Delhi",8048974995,
