product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Machinfabrik SS304 Ready to Eat Sterilizer, Size: Starting From 100 Litres/Batch",https://www.indiamart.com/proddetail/ready-to-eat-sterilizer-25573519312.html?pos=1&kwd=baby bottle sterilizer&tags=A||||8226.563||product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Machinfabrik Industries Private Limited,https://www.indiamart.com/machinfabrikindustries/?pos=1&kwd=baby bottle sterilizer&tags=A||||8226.563||product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Ghansoli,Navi Mumbai,"MIDC, R-89/90, TTC Industrial Area, Thane Belapur Road, Rabale MIDC, Ghansoli, Navi Mumbai - 400701, Dist.Thane, Maharashtra",8048267948,
Thrive Universal Bottle Sterilizer,https://www.indiamart.com/proddetail/thrive-universal-bottle-sterilizer-26106787533.html?pos=2&kwd=baby bottle sterilizer&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Shree Ganpati Traders,https://www.thebulkbazaar.com/?pos=2&kwd=baby bottle sterilizer&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Shahdara,New Delhi,"151, DOUBLE STORY FLATS, KABOOL NAGAR,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",8046046908,
"White Philips Avent SCF291 Fast Effective Sterilisation, Capacity: 200 mL, Baby",https://www.indiamart.com/proddetail/philips-avent-scf291-fast-effective-sterilizer-2854976893748.html?pos=3&kwd=baby bottle sterilizer&tags=A||||8584.299|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Vino Mani Enterprises,https://www.indiamart.com/vino-mani-enterprises/?pos=3&kwd=baby bottle sterilizer&tags=A||||8584.299|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,,Coimbatore,"No 89A, NA, Azad Road, R S Puram, Coimbatore - 641002, Dist.Coimbatore, Tamil Nadu",7942546353,
PHILIPS AVENT SCF291/00 BABY BOTTLE STERILIZER,,Mahavir World,https://www.indiamart.com/mahavir-world/?pos=4&kwd=baby bottle sterilizer&tags=BA||||8307.81|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Ganj Peth,Pune,"845, Shukrawarpeth, Opposite Vallabh Sarees, Near Jain Temple, Ganj Peth, Pune - 411002, Dist.Pune, Maharashtra",8046049692,
"Transparent Westinghouse Baby Bottle Electrical Steam & Sterilizer, Capacity: 200 mL",https://www.indiamart.com/proddetail/westinghouse-baby-bottle-electrical-steam-sterilizer-2852612377933.html?pos=5&kwd=baby bottle sterilizer&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Surya Home Collection,https://www.bookexperts.in/?pos=5&kwd=baby bottle sterilizer&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Jamia Nagar,New Delhi,"43, Ground Floor, Bharat Nagar, New Friends Colony, South Delhi, Jamia Nagar, New Delhi - 110025, Dist.Delhi, Delhi",8048984260,
"Philips Avent Advance Bottle Sterilizer Natural Steam Sterilization, Capacity: 200 mL",https://www.indiamart.com/proddetail/philips-avent-advance-bottle-sterilizer-natural-steam-sterilization-2852433630297.html?pos=6&kwd=baby bottle sterilizer&tags=BB||||9140.514|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Anjaneya Enterprises,https://www.ridenslide.in/?pos=6&kwd=baby bottle sterilizer&tags=BB||||9140.514|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Pandri,Raipur,"SHOP NO-10,SHOPPERS PARADISE,BEHIND CITY CENTER MALL,PANDRI,RAIPUR, Pandri, Raipur - 492001, Chhattisgarh",8046045761,
"White PHILIPS AVENT STERILIZATION, Baby",https://www.indiamart.com/proddetail/philips-avent-sterilization-2854898200030.html?pos=7&kwd=baby bottle sterilizer&tags=BB||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Golden Age Mart,https://www.indiamart.com/golden-age-mart/?pos=7&kwd=baby bottle sterilizer&tags=BB||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Police Colony,Chennai,"Ground Floor, No.87d, Kanniamman Koil Street, Kelambakkam Vandalur Road, Keelakottiyur Chengalpattu, Police Colony, Chennai - 600127, Dist.Chennai, Tamil Nadu",7949086669,
Avent Advance Bottle sterilizer SCF291/00,https://www.indiamart.com/proddetail/avent-advance-bottle-sterilizer-scf291-00-2853684061388.html?pos=8&kwd=baby bottle sterilizer&tags=BA||||8331.224|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Shri Siddhivinayak Distributors,https://www.indiamart.com/shrisiddhivinayak-distributors/?pos=8&kwd=baby bottle sterilizer&tags=BA||||8331.224|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,New Shahupuri,Kolhapur,"Cs No 372/3, E Ward, Ghoarpade Galli, New Shahupuri, Kolhapur - 416003, Dist.Kolhapur, Maharashtra",7949095151,
Philips Sterlizer Scf 291,,Jeet And Company,https://www.indiamart.com/jeetcompany-karnal/?pos=9&kwd=baby bottle sterilizer&tags=BA||||8753.51|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,Market,Karnal,"8-10, Red Cross Market, Market, Karnal - 132001, Dist.Karnal, Haryana",7949083305,
Legit UV Sterilizer Dryer,https://www.indiamart.com/proddetail/legit-uv-sterilizer-dryer-23056663112.html?pos=10&kwd=baby bottle sterilizer&tags=BB||||8661.854|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,Legit Appliances And Electronics Private Limited,https://www.indiamart.com/legit-appliances-andelectronics/?pos=10&kwd=baby bottle sterilizer&tags=BB||||8661.854|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:192756|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9658|v=4,False,G.T. Road,Ludhiana,"BXXX-57, Opp Hero Cycle, G.T. Road, G.T. Road, Ludhiana - 141010, Dist.Ludhiana, Punjab",8048985866,
