product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Conava White Kids u shape brush, Packaging Type: Box, 1-2 Years",https://www.indiamart.com/proddetail/kids-u-shape-brush-2850432140612.html?pos=1&kwd=baby brush and swab&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,House Of Luxury,https://www.theholworld.net/?pos=1&kwd=baby brush and swab&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Budh Vihar,New Delhi,"Plot No - 5, Kh. No. - 89/10/2, 1, Block No. - I-1, Budh Vihar Phase 1, Delhi, North West Delhi, Del, Budh Vihar, New Delhi - 110086, Dist.Delhi, Delhi",7942819716,
"Yellow Baby Grooming Kit, Packaging Type: Plastic Jar, 3-12 Months",https://www.indiamart.com/proddetail/baby-grooming-kit-2852082923448.html?pos=2&kwd=baby brush and swab&tags=BB||||8624.416|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Dayawanti Traders,https://www.indiamart.com/dayawati-trader/?pos=2&kwd=baby brush and swab&tags=BB||||8624.416|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Indira Colony,Hisar,"Plot No. 137 Dhani Kishandutt, Near Asha High School, Nancy Beauty Parlour, Indira Colony, Indira Colony, Hisar - 125001, Dist.Hisar, Haryana",7942701403,
Baby Care Kit 10 pcs,https://www.indiamart.com/proddetail/baby-care-kit-10-pcs-2854721492697.html?pos=3&kwd=baby brush and swab&tags=BB||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Om Deal Online,https://www.indiamart.com/om-deal-online/?pos=3&kwd=baby brush and swab&tags=BB||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Sector 93,Gurugram,"114, IMT Road, Government High School, Hayatpur, Sector 93, Gurugram - 122505, Dist.Gurgaon, Haryana",7942836824,
"JNSM SPARK muticolor Soft Adjustable Bath Cap for Toddler/Baby/Kids, 1-2 Years",https://www.indiamart.com/proddetail/soft-adjustable-bath-cap-for-toddler-baby-kids-2853672174597.html?pos=4&kwd=baby brush and swab&tags=BA||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Jnsm Spark,https://www.indiamart.com/jnsm-spark/?pos=4&kwd=baby brush and swab&tags=BA||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Dabholi,Surat,"3rd Floor Flat-302, Shukan Valley BLDG-F, OPP Hari Darshan, Dabholi Road, Dabholi, Surat - 395004, Dist.Surat, Gujarat",8045166587,
"MAJESTIQUE Multicolor CMB545 BABY GROOMING KIT WITH SOFT TOWEL, Packaging Type: POUCH, 3-12 Months",https://www.indiamart.com/proddetail/cmb545-baby-grooming-kit-with-soft-towel-2853131877855.html?pos=5&kwd=baby brush and swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Briota Brands Private Limited,https://www.indiamart.com/briota-brands/?pos=5&kwd=baby brush and swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Pitampura,New Delhi,"50, 1st Floor, Sharda Niketan Pitampura, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",8043843967,
Baby Plastic Grooming Toy Set,https://www.indiamart.com/proddetail/baby-plastic-grooming-toy-set-25736131391.html?pos=6&kwd=baby brush and swab&tags=CC||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Little Kingdom Baby Product,https://www.indiamart.com/little-kingdombaby-product/?pos=6&kwd=baby brush and swab&tags=CC||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Bawana,New Delhi,"Plot No. 16, PKT-G, Sector-3, DSIIDC, Bawana, North West Delhi, Bawana, New Delhi - 110039, Dist.Delhi, Delhi",8047648589,
"Paper stick 100 cotton swabs flat box for hygiene packet, For Home, Non-Sterile",https://www.indiamart.com/proddetail/paper-stick-100-cotton-swabs-flat-box-for-hygiene-packet-2853477133088.html?pos=7&kwd=baby brush and swab&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Tulsi Hygiene Care,https://www.indiamart.com/tulsihygiene-care/?pos=7&kwd=baby brush and swab&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Mota Varachha,Surat,"Ground Floor, Plot No-31, Sarjan Bungalows, Mota Varachha, Mota Varachha, Surat - 394101, Dist.Surat, Gujarat",7949089997,
Baby Cotton Buds,https://www.indiamart.com/proddetail/baby-cotton-buds-25130146733.html?pos=8&kwd=baby brush and swab&tags=||||8237.554|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Flosee Enterprise,https://www.floseeenterprise.co.in/?pos=8&kwd=baby brush and swab&tags=||||8237.554|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Sector 27,Gandhinagar,"Plot No E/159, GIDC Electronic Estate, Sector 26, Ghandhinagar, Sector 27, Gandhinagar - 382027, Gujarat",8048980880,
Silicone Baby Toothbrush,https://www.indiamart.com/proddetail/silicone-baby-toothbrush-2854238911348.html?pos=9&kwd=baby brush and swab&tags=||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,VN Enterprise,https://www.indiamart.com/vn-enterprise-new-delhi/?pos=9&kwd=baby brush and swab&tags=||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,,New Delhi,"Wz-1013d, Gali No-13, Sadh Nagar, Palam Colony, New Delhi - 110045, Dist.Delhi, Delhi",8045734282,
Baby Cotton Swab,https://www.indiamart.com/proddetail/baby-cotton-swab-2849014134188.html?pos=10&kwd=baby brush and swab&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,Dev Enterprise,https://www.magicindustries.co.in/?pos=10&kwd=baby brush and swab&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:189958|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9668|v=4,False,Pipodara,Surat,"Block No 293/a Building No-c, Ground Floor, Bajrang Aasteed, Kanyasi Road, Pipodara, Pipodara, Surat - 394110, Dist.Surat, Gujarat",8048958269,
