product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Baby Silicone Teether,https://www.indiamart.com/proddetail/baby-silicone-teether-2852304894348.html?pos=1&kwd=baby care products&tags=A|PL|||8211.142|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=1&kwd=baby care products&tags=A|PL|||8211.142|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
"Lecole White Baby Care Products, Packaging Type: Bottle, 2 Year",https://www.indiamart.com/proddetail/baby-care-products-2851691005291.html?pos=2&kwd=baby care products&tags=A||||8741.987|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Lecole India (OPC) Private Limited,https://www.lecole.in/?pos=2&kwd=baby care products&tags=A||||8741.987|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Nanhera,Ambala,"15/3, Kuldeep Nagar, Nanhera Road, Nanhera, Ambala Cantt, Nanhera, Ambala - 133004, Dist.Ambala, Haryana",8045909824,
Private Label Plastic Baby Care Products,https://www.indiamart.com/proddetail/baby-care-products-25557698191.html?pos=3&kwd=baby care products&tags=A||||8817.752|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Sage Herbals Private Limited,https://www.sageherbals.in/?pos=3&kwd=baby care products&tags=A||||8817.752|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,TRUE,Colony,Hapur,"A-8, Upsidc Industrial Area, M.g.road, Phase-ii Nimri Colony,, Colony, Hapur - 245101, Dist.Hapur, Uttar Pradesh",8046031505,
"Baby Care Products Third Party Manufacturing, 1-2 Years",https://www.indiamart.com/proddetail/baby-care-products-third-party-manufacturing-26471424662.html?pos=4&kwd=baby care products&tags=A||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Harrods Health Private Limited,https://www.indiamart.com/harrods-health/?pos=4&kwd=baby care products&tags=A||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Baldev Nagar,Ambala,"237/6 Sultanpur Chowk Jadot Road,Sultanpur Chowk Jadot Road Ambala City,237/6 Sultan Pur Chowk Jadot Road, Baldev Nagar, Ambala - 134007, Dist.Ambala, Haryana",8048979184,
"Baby Oil, Packaging Type: Bottle",https://www.indiamart.com/proddetail/baby-oil-17483057788.html?pos=5&kwd=baby care products&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Bo International,https://www.boessentialoil.com/?pos=5&kwd=baby care products&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,TRUE,Udyog Vihar Phase 5,Gurugram,"884, Udyog Vihar, Sector 19, Udyog Vihar Phase 5, Udyog Vihar Phase 5, Gurugram - 122016, Dist.Gurgaon, Haryana",8048960874,
"Cream Lotion Kids Personal Care, Packaging Size: 100 gm",https://www.indiamart.com/proddetail/kids-personal-care-2853004106312.html?pos=6&kwd=baby care products&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Healthbest Private Limited,https://www.indiamart.com/healthbest/?pos=6&kwd=baby care products&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Makarba,Ahmedabad,"Ground Floor, Office no. 10, Palladium, Block B, Corporate Road, Makarba, Makarba, Ahmedabad - 382210, Dist.Ahmedabad, Gujarat",8048213932,
Baby Care Products Third Party Manufacturing,https://www.indiamart.com/proddetail/baby-care-products-third-party-manufacturing-21623502573.html?pos=7&kwd=baby care products&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Pharmakon Health And Beauty Care Private Limited,https://www.cosmeticthirdpartymanufacturer.com/?pos=7&kwd=baby care products&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Bawana,New Delhi,"Floor Ground, Plot No. 159, PKT F Sec 3, Dsidc Bhawana, Bawana, New Delhi - 110039, Dist.Delhi, Delhi",8048967800,
"Herbal Baby Skin Care, Packaging Size: 100 mL",https://www.indiamart.com/proddetail/herbal-baby-skin-care-2850821564248.html?pos=8&kwd=baby care products&tags=A||||8223.226|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Nikole Kozmetics Private Limited,https://www.indiamart.com/nikolekozmetics/?pos=8&kwd=baby care products&tags=A||||8223.226|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,,Thane,"Bunglow No 4, Landmark Complex, Service Road , Louiswadi, Thane - 400604, Dist.Thane, Maharashtra",8047631491,
"Life Purified White Herbal Baby Care, Packaging Type: Bottle, Newly Born",https://www.indiamart.com/proddetail/herbal-baby-care-2853296582230.html?pos=9&kwd=baby care products&tags=A||||8663.873||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Sririshya Naturals,https://www.indiamart.com/sririshya-naturals-bengaluru/?pos=9&kwd=baby care products&tags=A||||8663.873||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Mico Layout,Bengaluru,"B3-604, L & T South City, Bannerghatta Road, Arekere, Mico Layout, Urban,, Mico Layout, Bengaluru - 560076, Dist.Bengaluru, Karnataka",7942962540,
"White ICEBERG BABY WIPES, 3-12 Months",https://www.indiamart.com/proddetail/iceberg-baby-wipes-27572431488.html?pos=10&kwd=baby care products&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,Rush Products,https://www.icebergwetwipe.com/?pos=10&kwd=baby care products&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:137678|mtp:G|qry_typ:P|lang:en|wc:3|flavl:10|cs:9697|v=4,FALSE,Industrial Estate,Ahmedabad,"77-78,GOPALCHARAN INDUSTRIAL GLOBE ROAD NO : 5, Industrial Estate, Ahmedabad - 382430, Dist.Ahmedabad, Gujarat",8046043334,
