product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Polyester Sky Blue Baby Carrier Bag,https://www.indiamart.com/proddetail/sky-blue-baby-carrier-bag-2851647537555.html?pos=1&kwd=baby carrier&tags=A||||8783.355|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Om Shiv International,https://www.indiamart.com/omshivinternational/?pos=1&kwd=baby carrier&tags=A||||8783.355|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Baghpat,Aminagar Sarai,"170, Gauspur, Baghpat, Baghpat, Aminagar Sarai - 250606, Dist.Bagpat, Uttar Pradesh",8048616452,
Oscar Soft Fabric Baby Pillow Set,https://www.indiamart.com/proddetail/baby-pillow-set-13874920555.html?pos=2&kwd=baby carrier&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=2&kwd=baby carrier&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
Polyester 4-in-1 Adjustable Baby Carrier BAG,https://www.indiamart.com/proddetail/4-in-1-adjustable-baby-carrier-bag-2851497298973.html?pos=3&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=3&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
"Red & Black Plastic Baby Carrier Bag, Age Group: 3-12 Months, Packaging Type: LDPE",https://www.indiamart.com/proddetail/baby-carrier-bag-2854257770530.html?pos=4&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Nimesh Enterprises,https://www.indiamart.com/nimesh-enterprises/?pos=4&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Rajpur Khurd,New Delhi,"A- 8, Rajpur Khurd, Tivoli Garden, Rajpur Khurd, New Delhi - 110068, Dist.Delhi, Delhi",8047634050,
Front And Back Baby Carrier,https://www.indiamart.com/proddetail/front-and-back-baby-carrier-20710882430.html?pos=5&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,National Overseas,https://www.indiamart.com/nationaltraders-vishwashnagar/?pos=5&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Shahdara,New Delhi,"1/99, Gali No. 3, Vishwas Nagar, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",8046047673,
Baby Carrier Bag,https://www.indiamart.com/proddetail/baby-carrier-bag-23160857688.html?pos=6&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Melvis,https://www.indiamart.com/melvis/?pos=6&kwd=baby carrier&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Swaroop Nagar,New Delhi,"First Floor, House Number 185/12, Block-B, Yadav Market Road Chowk, Swaroop Nagar,, Swaroop Nagar, New Delhi - 110042, Dist.Delhi, Delhi",8047632851,
multy Soft Fabric Kangaroo Bag Baby Carrier,https://www.indiamart.com/proddetail/kangaroo-bag-baby-carrier-2852512135012.html?pos=7&kwd=baby carrier&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=7&kwd=baby carrier&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
Polyester Baby Carry Bag,https://www.indiamart.com/proddetail/baby-carry-bag-2852519465291.html?pos=8&kwd=baby carrier&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Concept Enterprise,https://www.cartforbaby.com/?pos=8&kwd=baby carrier&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Dabholi,Surat,"17, Bhumi Park Society, Near Dabholi Road, Katargam, Dabholi, Surat - 395004, Dist.Surat, Gujarat",8047546659,
"Multicolor Cotton Baby Carrier, Age Group: 3-12 Months, Packaging Type: Plastic Bag",https://www.indiamart.com/proddetail/cotton-baby-carrier-2853670550673.html?pos=9&kwd=baby carrier&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Nipika Vrapped Gifting,https://www.indiamart.com/nipika-vrapped-gifting/?pos=9&kwd=baby carrier&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,Bengaluru Urban,Bengaluru,"9/1, 23rd Cross Road, Magadi Road, KP Agrahara, Bengaluru Urban, Bengaluru - 560023, Dist.Bengaluru, Karnataka",7949328723,
"polyster 4 IN 1 Maroon Baby Polyester Carrier Bag, Age Group: 3M-24Month",https://www.indiamart.com/proddetail/4-in-1-soft-structured-baby-carrier-bag-2852590159633.html?pos=10&kwd=baby carrier&tags=A||||9189.305|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,Sudhanjali Enterprises,https://www.indiamart.com/sudhanjalienterprises/?pos=10&kwd=baby carrier&tags=A||||9189.305|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:21807|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9600|v=4,False,,Prayagraj,"H No-10/7, Basahi, Nataka Babura, Khain, Prayagraj - 212307, Dist.Allahabad, Uttar Pradesh",7942964273,
