product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Velvet Mix Newborn Baby blanket,https://www.indiamart.com/proddetail/newborn-baby-blanket-27262907730.html?pos=1&kwd=baby cellular blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Sundar Garments,https://www.sundargarment.com/?pos=1&kwd=baby cellular blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Kondithop,Chennai,"No-9 Murugesan Street Near Kondithope Park, Kondithop, Chennai - 600079, Dist.Chennai, Tamil Nadu",8048266539,
"Multicolor Baby Cotton Muslin Swaddle, Size: Singe",https://www.indiamart.com/proddetail/baby-cotton-muslin-swaddle-2849329098130.html?pos=2&kwd=baby cellular blanket&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,ShanBuyers,https://www.indiamart.com/shanbuyers/?pos=2&kwd=baby cellular blanket&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Dahisar East,Mumbai,"316, Floor No. 3rd, Sarita Building, Prabhat Ind Complex, Road Western Express Highway, Toll Naka, Dahisar, Dahisar East, Mumbai - 400068, Dist.Mumbai, Maharashtra",8047670828,
"Cellular Baby Blankets, Length:30 - 60 Inch",https://www.indiamart.com/proddetail/cellular-baby-blanket-12429961862.html?pos=3&kwd=baby cellular blanket&tags=BB||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Harshit International,https://www.indiamart.com/harshitinternational/?pos=3&kwd=baby cellular blanket&tags=BB||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Huda,Panipat,"Urban Estate, Sector- 12, 600, Near SD Vidya Mandir, Huda, Panipat - 132103, Dist.Panipat, Haryana",8046047820,
"Velvet 6 colours Baby Blanket, Size: Singe, 1 Yr To 5 Yr",https://www.indiamart.com/proddetail/baby-blanket-2851815080288.html?pos=4&kwd=baby cellular blanket&tags=BB||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,EEDDO,https://www.indiamart.com/eeddo/?pos=4&kwd=baby cellular blanket&tags=BB||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Chhipa Bakhal,Indore,"23/1, 2nd Floor, Chhipa Bakhal, Chhipa Bakhal, Indore - 452002, Dist.Indore, Madhya Pradesh",8048212052,
"Oscar Pink Baby Blanket, 0-18 Months",https://www.indiamart.com/proddetail/baby-blanket-22609165355.html?pos=5&kwd=baby cellular blanket&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=5&kwd=baby cellular blanket&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
"Many Colour Available Printed Baby Wrap Blanket, 0-12 Months",https://www.indiamart.com/proddetail/baby-wrap-blanket-22683937473.html?pos=6&kwd=baby cellular blanket&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Shree Balaji Infant Wear,https://www.indiamart.com/chhotejanab/?pos=6&kwd=baby cellular blanket&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Pahari Dhiraj,New Delhi,"1583- 84, Hathi Khana, Aziz Ganj, Bahadur Garh Road, Pahari Dhiraj, New Delhi - 110006, Dist.Delhi, Delhi",8047639754,
"Pink Plain Polo Fabric Hooded Baby Blanket, Size: 30x36cm(LXW)",https://www.indiamart.com/proddetail/polo-fabric-hooded-baby-blanket-2851749099073.html?pos=7&kwd=baby cellular blanket&tags=BA||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,S.R Woollen Textile,https://www.indiamart.com/srwoollentextile/?pos=7&kwd=baby cellular blanket&tags=BA||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Old Ludhiana,Ludhiana,"435, Chauri Sarak, Bazzrian Mohalla, Old Ludhiana, Ludhiana - 141008, Dist.Ludhiana, Punjab",7942873909,
"White Cotton Baby Monthly Milestone Blanket, Size: Singe",https://www.indiamart.com/proddetail/baby-monthly-milestone-blanket-2853493000373.html?pos=8&kwd=baby cellular blanket&tags=BA||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Shri Shri Fashion,https://www.indiamart.com/shri-shri-fashion/?pos=8&kwd=baby cellular blanket&tags=BA||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Varachha,Surat,"A-231, Narayan Nagar, Near Nalanda School, Punagam,, Varachha, Surat - 395010, Dist.Surat, Gujarat",7942712235,
Cellular Baby Blanket,,Uncle Benit Global Inc,https://www.indiamart.com/unclebenitglobal/?pos=9&kwd=baby cellular blanket&tags=BA||||8661.854||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,Mundian,Ludhiana,"Opposite Fortis Hospital, NH-95 Chandigarh Road, Mundian Khurd, Mundian, Ludhiana - 141110, Dist.Ludhiana, Punjab",8046075831,
Fleece Polar Baby Blanket,https://www.indiamart.com/proddetail/fleece-polar-baby-blanket-15783938388.html?pos=10&kwd=baby cellular blanket&tags=BB||||8661.854|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,Gopal Darshan Textile,https://www.indiamart.com/gopal-darshan-textiles/?pos=10&kwd=baby cellular blanket&tags=BB||||8661.854|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99818|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9615|v=4,False,,Ludhiana,"3929/3 Hargobind Pura 4, Ludhiana - 141008, Dist.Ludhiana, Punjab",8048956657,
