product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Cloth Baby Diapers, Age Group: 3-12 Months",https://www.indiamart.com/proddetail/cloth-baby-diapers-2852958691588.html?pos=1&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Bikauaa Private Limited,https://www.indiamart.com/bikauaa/?pos=1&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Nangloi,New Delhi,"H.NO-C-64/2 ,KH-12/7/1, Amanpuri Nangloi West, Nangloi, New Delhi - 110041, Dist.Delhi, Delhi",7942796091,
Chinmay Kids Adjustable Baby Cloth Diapers Combo,https://www.indiamart.com/proddetail/adjustable-baby-cloth-diapers-combo-24195791088.html?pos=2&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Chinmay Kids,https://www.indiamart.com/chinmaykids/?pos=2&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Nayagaon,New Delhi,"C-99, Street No. 4, First Pusta, Nayagaon, New Delhi - 110053, Dist.Delhi, Delhi",8046054858,
"Kids Cloth Diapers, Size: Medium, Age Group: 0 to 24",https://www.indiamart.com/proddetail/kids-cloth-diapers-24926317162.html?pos=3&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,R B Enterprises,https://www.indiamart.com/rbenterpriseskondalinewdelhi/?pos=3&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Gharoli,New Delhi,"Ground, 58 F/F/R/S Brahman Basti, Kondli Main Road, Kondli Gharoli,, Gharoli, New Delhi - 110094, Dist.Delhi, Delhi",7942535965,
"Baby reusable cloth diapers, Medium, Age Group: Newly Born",https://www.indiamart.com/proddetail/baby-reusable-cloth-diapers-2854764146733.html?pos=4&kwd=baby cloth diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Sidhshlok Enterprises,https://www.indiamart.com/sidhshlokenterprises/?pos=4&kwd=baby cloth diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Mulund West,Mumbai,"A-9, Chagpar Khimaji, R R T Road, Mumbai Suburban, Mulund West, Mumbai - 400080, Dist.Mumbai, Maharashtra",7942832648,
"baby printed button CLOTH diapers, Medium",https://www.indiamart.com/proddetail/baby-printed-button-cloth-diapers-24764653762.html?pos=5&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=5&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
Reusable Baby Cloth Diapers,https://www.indiamart.com/proddetail/reusable-baby-cloth-diapers-2853365778855.html?pos=6&kwd=baby cloth diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Shubh Swasan (i) Private Limited,https://www.waterproofbreathablefabric.com/?pos=6&kwd=baby cloth diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Kilpauk,Chennai,"No. 9/32, Branson Garden Street, Kilpauk, Kilpauk, Chennai - 600010, Dist.Chennai, Tamil Nadu",8046047088,
Baby Cloth Diapers,https://www.indiamart.com/proddetail/baby-cloth-diapers-2853164140412.html?pos=7&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Hetampuria Tex Fab,https://www.indiamart.com/hetampuria-tex-fab/?pos=7&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,Chandni Chowk,New Delhi,"1 BAGH DIWAR (DHARAMSHALA) FATEHPURI, Chandni Chowk, New Delhi - 110006, Dist.Delhi, Delhi",7942814797,
"Honeyscoop Printed Red Cloth Diaper, Age Group: 3-12 Months",https://www.indiamart.com/proddetail/honeyscoop-printed-red-cloth-diaper-2852549776062.html?pos=8&kwd=baby cloth diapers&tags=A||||8823.154|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Shri Anant International,https://www.indiamart.com/shrianantinternational/?pos=8&kwd=baby cloth diapers&tags=A||||8823.154|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,DayalBagh,Agra,"No.02,House 2,Alkapuri Phase Ii,Agra, DayalBagh, Agra - 282005, Dist.Agra, Uttar Pradesh",7942721451,
Reusable Pink Baby Cloth Diapers,https://www.indiamart.com/proddetail/reusable-pink-baby-cloth-diapers-2850156900191.html?pos=9&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Priyanshi International,https://www.indiamart.com/priyanshi-international-uttarpradesh/?pos=9&kwd=baby cloth diapers&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,,New Delhi,"3,PROP NO S228,SCHOOL BLOCK,SHAKARPUR UGF, 3, Prop No S228, School Block, Shakarpur,110092, New Delhi - 110092, Dist.Delhi, Delhi",7942676139,
"Baby Printed Cloth Diaper, Age Group: 1to2 Years",https://www.indiamart.com/proddetail/baby-printed-organic-cloth-diapers-2853453191212.html?pos=10&kwd=baby cloth diapers&tags=A||||9189.305|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,Sudhanjali Enterprises,https://www.indiamart.com/sudhanjalienterprises/?pos=10&kwd=baby cloth diapers&tags=A||||9189.305|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:55657|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9702|v=4,False,,Prayagraj,"H No-10/7, Basahi, Nataka Babura, Khain, Prayagraj - 212307, Dist.Allahabad, Uttar Pradesh",7942964273,
