product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Multicolor Baby Comforter,https://www.indiamart.com/proddetail/baby-comforter-2854456693933.html?pos=1&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Pawansut Enterprises,https://www.indiamart.com/pawansutenterprises-panipat/?pos=1&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,Netaji Colony,Panipat,"179 Virat Nagar,,Model Town,Panipat, Netaji Colony, Panipat - 132103, Dist.Panipat, Haryana",7942956898,
Printed Multicolor Micro Kids Print Comforter,https://www.indiamart.com/proddetail/micro-kids-print-comforter-12299912491.html?pos=2&kwd=baby comforter&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Vicky Garments,https://www.hotellinenmanufacturer.com/?pos=2&kwd=baby comforter&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,Jhotwara,Jaipur,"No. 82, Ganga Vihar Colony, Nagal Jaisa Bohra Dadi Ka Phatak, Jhotwara, Jaipur - 302012, Dist.Jaipur, Rajasthan",8046042378,
Organic Baby soft Comforter,https://www.indiamart.com/proddetail/baby-soft-comforter-2852593419562.html?pos=3&kwd=baby comforter&tags=BA||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Tetra Clothing,https://www.tetraclothing.in/?pos=3&kwd=baby comforter&tags=BA||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,True,Gopichettipalaiyam,Chennai,"No. 59/28, Balu Building, Gopichettipalaiyam, Chennai - 638476, Dist.Chennai, Tamil Nadu",8048957951,
TexKing Blue Toys Design Cotton Kids Single Bed Comforter,https://www.indiamart.com/proddetail/toys-design-cotton-kids-single-bed-comforter-2854267068930.html?pos=4&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Sri Siddhivinayak Associates,https://www.indiamart.com/sri-siddhivinayak-associates-panipat/?pos=4&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,,Panipat,"7,Hali Park Shopping Complex,Industrial Area,Panipat, Panipat - 132103, Dist.Panipat, Haryana",8045736424,
"Oscar Red & White Soft Baby Blanket Double Layer, 0-2 Years, Size: 28 X 39",https://www.indiamart.com/proddetail/soft-baby-blanket-double-layer-13255708855.html?pos=5&kwd=baby comforter&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=5&kwd=baby comforter&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
Cotton Blue Baby Comforter 2 layer,https://www.indiamart.com/proddetail/baby-comforter-2-layer-2853000227988.html?pos=6&kwd=baby comforter&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=6&kwd=baby comforter&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
"Cotton Multicolor Hand Block Print Baby Quilts, 40x60, Jaipuri Designs",https://www.indiamart.com/proddetail/hand-block-print-baby-quilts-2852946997730.html?pos=7&kwd=baby comforter&tags=BA||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Veer Handircrafts,https://www.veerhandicrafts.com/?pos=7&kwd=baby comforter&tags=BA||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,True,Shyam Nagar,Jaipur,"Basement, 192/331, Sector 19, Kumbha Marg, Shyam Nagar, Jaipur - 302029, Dist.Jaipur, Rajasthan",8043851762,
Printed Multicolor Cotton Baby Comforter,https://www.indiamart.com/proddetail/cotton-baby-comforter-2854268065091.html?pos=8&kwd=baby comforter&tags=A||||8838.804|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,Fabric Fusion,https://www.indiamart.com/fabric-fusion-up/?pos=8&kwd=baby comforter&tags=A||||8838.804|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,,Aligarh,"Duplex No 1, Next to Green Park Masjid, Green Park Colony, Aligarh - 202001, Uttar Pradesh",8044560687,
Super soft Baby Quilt high quality 100% cotton baby blanket Quilted soft comforter for baby,https://www.indiamart.com/proddetail/super-soft-baby-quilt-high-quality-100-cotton-baby-blanket-quilted-soft-comforter-for-baby-19129133973.html?pos=9&kwd=baby comforter&tags=BB||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,DVK Handicraft Private Limited,https://www.dvkhandicraft.net/?pos=9&kwd=baby comforter&tags=BB||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,True,Vaishali Nagar,Jaipur,"B-24, Ground Floor Lalrpura Aayodhya Nagar Vaisha Gandhi Path, Vaishali Nagar, Vaishali Nagar, Jaipur - 302021, Dist.Jaipur, Rajasthan",8048608928,
SS 2 Cotton Comforters,https://www.indiamart.com/proddetail/cotton-comforters-2853998489955.html?pos=10&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,GNK Enterprises,https://www.gnkenterprises.in/?pos=10&kwd=baby comforter&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55652|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9601|v=4,False,Panipat N.S.M.,Panipat,"Shop No. 219, New Sabji Mandi, Panipat N.S.M., Panipat - 132103, Dist.Panipat, Haryana",8048610352,
