product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Multicolor Rectangular Cotton Baby Pillow,https://www.indiamart.com/proddetail/cotton-baby-pillow-26673167073.html?pos=1&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Verma Enterprises,https://www.styaloindia.com/?pos=1&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Samaypur,New Delhi,"Plot No.180/1-B, Kh.No. 955/1, 1st, Block-C, Raja Vihar, Siraspur, Badli, North West Delhi, Samaypur, New Delhi - 110042, Dist.Delhi, Delhi",8047654672,
Craftx Multicolor Baby Cotton Pillow,https://www.indiamart.com/proddetail/baby-cotton-pillow-21916209530.html?pos=2&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Craftx Inc,https://www.indiamart.com/missru-trading-company/?pos=2&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Bawana,New Delhi,"N-191, Sec-02, Bawana Industrial Area, Bawana, New Delhi - 110084, Dist.Delhi, Delhi",8048952385,
Pink Rectangular Baby Elephant Pillow,https://www.indiamart.com/proddetail/baby-elephant-pillow-2853999243197.html?pos=3&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Kapil Enterprises,https://www.indiamart.com/kapilenterprisesnew-delhi/?pos=3&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Vijay Vihar,New Delhi,"Ground Floor, E-25, Vijay Vihar, Near Badi Masjid, Rohini Sector 7, North West Delhi, Vijay Vihar, New Delhi - 110085, Dist.Delhi, Delhi",7949092118,
Baby Pillow With Hole,https://www.indiamart.com/proddetail/baby-pillow-with-hole-19620402562.html?pos=4&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Shree Balaji Infant Wear,https://www.indiamart.com/chhotejanab/?pos=4&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Pahari Dhiraj,New Delhi,"1583- 84, Hathi Khana, Aziz Ganj, Bahadur Garh Road, Pahari Dhiraj, New Delhi - 110006, Dist.Delhi, Delhi",8047639754,
Newborn Baby Pillow,https://www.indiamart.com/proddetail/newborn-baby-pillow-2852383167433.html?pos=5&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=5&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
Baby Neck Pillow,https://www.indiamart.com/proddetail/baby-neck-pillow-2852001622748.html?pos=6&kwd=baby cotton pillow&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,SMR Merchandise LLP,https://www.smrmerchandise.com/?pos=6&kwd=baby cotton pillow&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Vasundhara,Ghaziabad,"R - 312, Vvip Addresses, Raj Nagar Extension, Vasundhara, Ghaziabad - 201017, Dist.Ghaziabad, Uttar Pradesh",8048604571,
Red Baby Feeding Pillow,https://www.indiamart.com/proddetail/baby-feeding-pillow-16151219991.html?pos=7&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Prince International Soft Toys,https://www.princeinternationals.com/?pos=7&kwd=baby cotton pillow&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Mukundpur,New Delhi,"Plot No. 8 , Gali No. 3, Mukundpur Village, Near Shiv Mandir, Mukundpur, New Delhi - 110042, Dist.Delhi, Delhi",8048976675,
"Multicolor Wing Shape Baby Adjustable Head,Shoulder Protection Pillow with Straps",https://www.indiamart.com/proddetail/baby-adjustable-head-shoulder-protection-pillow-with-straps-22055190212.html?pos=8&kwd=baby cotton pillow&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Divinext Imex,https://www.divinextimex.com/?pos=8&kwd=baby cotton pillow&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Katragam,Surat,"Sy No 106/1-2 Plot No 2/3,302 3rd Floor,shreeji Complex,shriji Nagar Society 1 Ved Road, Katragam, Surat - 395004, Dist.Surat, Gujarat",7942538402,
Buckwheat Hull Bolster Support Pillow Pain Relief Pillow With Removable/Washable Cotton Cover,https://www.indiamart.com/proddetail/buckwheat-hull-bolster-support-pillow-pain-relief-pillow-with-removable-washable-cotton-cover-21152658948.html?pos=9&kwd=baby cotton pillow&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=9&kwd=baby cotton pillow&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
grey U Baby Safety Pillow,https://www.indiamart.com/proddetail/baby-safety-pillow-23116509297.html?pos=10&kwd=baby cotton pillow&tags=A||||9045.955|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,Divya Soft Toys,https://www.divyasofttoys.com/?pos=10&kwd=baby cotton pillow&tags=A||||9045.955|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:191315|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9648|v=4,False,Sanigawan,Kanpur,"Global Hospital, Plot No. 52, Araji No. 266, Sanigawan Road, Swarn Jayanti Vistar Part-1, Sanigawan, Kanpur - 208021, Uttar Pradesh",8046078101,
