product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Baby Cotton Buds,https://www.indiamart.com/proddetail/baby-cotton-buds-25130146733.html?pos=1&kwd=baby cotton swab&tags=BA||||8237.554|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Flosee Enterprise,https://www.floseeenterprise.co.in/?pos=1&kwd=baby cotton swab&tags=BA||||8237.554|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Sector 27,Gandhinagar,"Plot No E/159, GIDC Electronic Estate, Sector 26, Ghandhinagar, Sector 27, Gandhinagar - 382027, Gujarat",8048980880,
"Paper stick 100 cotton swabs flat box for hygiene packet, For Home, Non-Sterile",https://www.indiamart.com/proddetail/paper-stick-100-cotton-swabs-flat-box-for-hygiene-packet-2853477133088.html?pos=2&kwd=baby cotton swab&tags=CC||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Tulsi Hygiene Care,https://www.indiamart.com/tulsihygiene-care/?pos=2&kwd=baby cotton swab&tags=CC||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Mota Varachha,Surat,"Ground Floor, Plot No-31, Sarjan Bungalows, Mota Varachha, Mota Varachha, Surat - 394101, Dist.Surat, Gujarat",7949089997,
Baby Cotton Swab,https://www.indiamart.com/proddetail/baby-cotton-swab-2849014134188.html?pos=3&kwd=baby cotton swab&tags=CC||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Dev Enterprise,https://www.magicindustries.co.in/?pos=3&kwd=baby cotton swab&tags=CC||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Pipodara,Surat,"Block No 293/a Building No-c, Ground Floor, Bajrang Aasteed, Kanyasi Road, Pipodara, Pipodara, Surat - 394110, Dist.Surat, Gujarat",8048958269,
FC91 BABY COTTON SWABS,https://www.indiamart.com/proddetail/fc91-baby-cotton-swabs-2853131884397.html?pos=4&kwd=baby cotton swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Briota Brands Private Limited,https://www.indiamart.com/briota-brands/?pos=4&kwd=baby cotton swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Pitampura,New Delhi,"50, 1st Floor, Sharda Niketan Pitampura, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",8043843967,
"Greeniecan Premium Eco Friendly Cotton Buds, For Personal, Packaging Type: Recycled Craft Paper Box",https://www.indiamart.com/proddetail/greeniecan-premium-eco-friendly-cotton-buds-22711489997.html?pos=5&kwd=baby cotton swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Greeniecan India,https://www.greeniecan.co.in/?pos=5&kwd=baby cotton swab&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,True,,New Delhi,"Ground Floor, House No- B-7/182, Phase Iv, Aaya Nagar, New Delhi - 110047, Dist.Delhi, Delhi",8048265707,
Homeoculture Bamboo Baby Cotton Swab Wood Sticks - Soft Cotton Buds - 0.5,https://www.indiamart.com/proddetail/homeoculture-bamboo-baby-cotton-swab-wood-sticks-soft-cotton-buds-0-5-2851117471397.html?pos=6&kwd=baby cotton swab&tags=||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Ebiz Shapers,https://www.indiamart.com/ebizshapers/?pos=6&kwd=baby cotton swab&tags=||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Sagar Pur,New Delhi,"Rz-133/91, Gali No-2, East Sagar Pur, South West Delhi, Sagar Pur, New Delhi - 110046, Dist.Delhi, Delhi",,
"Non-Sterile Cotton Ear Buds Cotton Swab, 100 sticks",https://www.indiamart.com/proddetail/cotton-ear-buds-cotton-swab-2854593015662.html?pos=7&kwd=baby cotton swab&tags=||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Shinex Hygiene,https://www.indiamart.com/shinex-hygiene-rajkot/?pos=7&kwd=baby cotton swab&tags=||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Vavdi,Rajkot,"Plot No 46, Sardar Industrial Area, Near Shreeji Metal, Kothariya Solvent, Vavdi, Rajkot - 360022, Dist.Rajkot, Gujarat",8044564946,
Cotton Swab Plastic Stick,https://www.indiamart.com/proddetail/cotton-swab-plastic-stick-22770356973.html?pos=8&kwd=baby cotton swab&tags=||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Yasharyn Mediaid Solutions,https://www.eminentconceptint.in/?pos=8&kwd=baby cotton swab&tags=||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Basant City,Ludhiana,"Hb 89 G.T. Road East, Street No.4 Opp. Nishat Bagh Colony, Bhattian, Basant City, Ludhiana - 141006, Dist.Ludhiana, Punjab",8048987580,
"Paper Stick 80s Cotton Buds/ Swabs, Polybag, For Professional, Medium",https://www.indiamart.com/proddetail/paper-stick-80s-cotton-buds-swabs-polybag-27502993055.html?pos=9&kwd=baby cotton swab&tags=||||8032.138|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Shubhang Products Co.,https://www.shivarchcottonbuds.com/?pos=9&kwd=baby cotton swab&tags=||||8032.138|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,True,,Gondal,"At - Moviya Tal - Gondal, Plot No 1 Part B Godown No 3, Survey No 921 Paiki 1, Vasavad Road, Moviya, Gondal - 360330, Dist.Rajkot, Gujarat",8048978700,
"Lens Cleaning Cotton Swab Buds, Packaging Type: Polibag",https://www.indiamart.com/proddetail/lens-cleaning-cotton-swab-buds-24604668991.html?pos=10&kwd=baby cotton swab&tags=||||8769.508|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,Vee M Automation Technology,https://www.indiamart.com/vee-m-automation-technology/?pos=10&kwd=baby cotton swab&tags=||||8769.508|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98914|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9611|v=4,False,Sector 19,Faridabad,"89XL - H7X, Tigaon Ballabgarh Road Near Shiv Bed College, Sector 19, Faridabad - 121002, Dist.Faridabad, Haryana",8046079820,
