product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
7 Soft Baby Pants Style Diapers with Wetness Indicator & Medium- L (30 Pieces),https://www.indiamart.com/proddetail/7-soft-baby-pants-style-diapers-with-wetness-indicator-medium-l-30-pieces-26063514348.html?pos=1&kwd=baby diaper pants&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,M. D. Hygiene Private Limited,https://www.mdhygieneindia.com/?pos=1&kwd=baby diaper pants&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,True,Tadkeshwar,Surat,"Block No. 959, Kim Mandvi Road, Tadkeshwar, Surat - 394170, Dist.Surat, Gujarat",8046050788,
"Plain Baby Diaper Pants, Size: Medium",https://www.indiamart.com/proddetail/baby-diaper-pants-2851612701488.html?pos=2&kwd=baby diaper pants&tags=A||||8559.269|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Soch Care,https://www.sochcare.co.in/?pos=2&kwd=baby diaper pants&tags=A||||8559.269|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Mayur Nagar,Indore,"401 Block - O Shalimar Palms, Mayur Nagar, Indore - 452001, Dist.Indore, Madhya Pradesh",8048611870,
Nonwoven Baby Diaper Pants,https://www.indiamart.com/proddetail/baby-diaper-pants-2851551082812.html?pos=3&kwd=baby diaper pants&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Kshristi Enterprises,https://www.indiamart.com/kshristi-enterprises/?pos=3&kwd=baby diaper pants&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Sahibabad,Ghaziabad,"S 57 Harsha campound mohan nagar industrial area Ghaziabad Uttar Pradesh, Sahibabad, Ghaziabad - 201005, Dist.Ghaziabad, Uttar Pradesh",8046078120,
"Baby Diaper Pants, Size: Medium, Packaging Size: Small",https://www.indiamart.com/proddetail/baby-diaper-pants-2852420240455.html?pos=4&kwd=baby diaper pants&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Glowlyf Tradelink Private Limited,https://www.indiamart.com/glowlyftradelinkprivatelimited/?pos=4&kwd=baby diaper pants&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,GIDC,Rajkot,"Gidc 2, Plot No 136, Opp. R M Steel, Aji Industrial Estate, Rajkot Industrial Area Dhamalpar, GIDC, Rajkot - 360003, Dist.Rajkot, Gujarat",7942711689,
"Baby Diaper Pants, Age Group: 3-12 Months",https://www.indiamart.com/proddetail/baby-diaper-pants-25365144130.html?pos=5&kwd=baby diaper pants&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Shree Balasaheb Enterprises,https://www.indiamart.com/shreebalasahebenterprises/?pos=5&kwd=baby diaper pants&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Kailashpuri,Indore,"35 Kelashpuri Colony Khazrana, Kailashpuri, Indore - 452016, Dist.Indore, Madhya Pradesh",8048955175,
Printed Baby Diaper Pants,https://www.indiamart.com/proddetail/baby-diaper-pants-2852943454833.html?pos=6&kwd=baby diaper pants&tags=A||||9228.171||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Evergreen Care,https://www.indiamart.com/evergreencare-faizabad/?pos=6&kwd=baby diaper pants&tags=A||||9228.171||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Faizabad Cantt,Faizabad,"Near Raebareilly Bypass, Faizabad Cantt, Faizabad - 224202, Uttar Pradesh",8046054746,
Baby Diaper Pants,https://www.indiamart.com/proddetail/baby-diaper-pants-2853697894330.html?pos=7&kwd=baby diaper pants&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=7&kwd=baby diaper pants&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
"Printed Baby Diaper Pants, Large",https://www.indiamart.com/proddetail/baby-diaper-pants-2853717099155.html?pos=8&kwd=baby diaper pants&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Sri Rajbhan Enterprises,https://www.indiamart.com/srirajbhanenterprises/?pos=8&kwd=baby diaper pants&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,,New Delhi,"Flat No 18, Ganga Apartment, Alaknanda, New Delhi - 110019, Dist.Delhi, Delhi",7942956951,
"Baby Diaper Pant, Size: XL, Small",https://www.indiamart.com/proddetail/baby-diaper-pant-23123274191.html?pos=9&kwd=baby diaper pants&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Easeplus Healthcare Private Limited,https://www.ezoyplus.in/?pos=9&kwd=baby diaper pants&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,DD Nagar,Gwalior,"T 1298 K-61,Vrikampur Chouraha,Satabdipuram D D Nagar,Gwalior, DD Nagar, Gwalior - 474005, Dist.Gwalior, Madhya Pradesh",8048265864,
"Printed Kids Diaper Pants, XL",https://www.indiamart.com/proddetail/kids-diaper-pants-2854237197533.html?pos=10&kwd=baby diaper pants&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,Pleasure Paradise,https://www.wonderfeel.in/?pos=10&kwd=baby diaper pants&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:179372|mtp:S|qry_typ:P|lang:en|wc:3|flavl:10|cs:9706|v=4,False,Sector 137,Noida,"11, T12 1105, Paras Tierea, Sector 137, Sector 137, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8048612980,
