product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Firstin Born Baby Diapers, Cotton Padded Underwear - Muslin Multi-time Reusable Diaper Manufacturer",https://www.indiamart.com/proddetail/firstin-born-baby-diapers-cotton-padded-underwear-muslin-multi-time-reusable-diaper-manufacturer-20962097497.html?pos=1&kwd=baby diapers&tags=A|PL|||8668.838|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Sri Kalyan Export Private Limited,https://www.firstinbabydress.com/?pos=1&kwd=baby diapers&tags=A|PL|||8668.838|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Vilarasampatti,Erode,"192/4, Ishwarya Garden, Sengodampalayam, Villarasampatti Post, Erode,, Vilarasampatti, Erode - 638107, Dist.Erode, Tamil Nadu",8046030291,
New Born Baby Diapers,https://www.indiamart.com/proddetail/new-born-baby-diapers-2854228376012.html?pos=2&kwd=baby diapers&tags=|PL|||8747.223|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Pioneer Hygiene Industries LLP,https://www.pioneerhygiene.co.in/?pos=2&kwd=baby diapers&tags=|PL|||8747.223|Price|product|||LSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,True,,Sonipat,"Kila No. 95//1/1, 12/13, 19 And 22/1/1, Akbarpur Barota, Sonipat - 131103, Dist.Sonipat, Haryana",8045731181,
"Baby Diaper Pant, Size: XL, Small",https://www.indiamart.com/proddetail/baby-diaper-pant-23123274191.html?pos=3&kwd=baby diapers&tags=A|PL|||8830.388|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Easeplus Healthcare Private Limited,https://www.ezoyplus.in/?pos=3&kwd=baby diapers&tags=A|PL|||8830.388|Price|product|||SSlc|rsf:pl-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,DD Nagar,Gwalior,"T 1298 K-61,Vrikampur Chouraha,Satabdipuram D D Nagar,Gwalior, DD Nagar, Gwalior - 474005, Dist.Gwalior, Madhya Pradesh",8048265864,
"Nonwoven Pant Diapers Xl Size Baby Diaper, Age Group: 2 years & above, Packaging Size: 50 Pieces in 1 Packet",https://www.indiamart.com/proddetail/xl-size-baby-diaper-27207318062.html?pos=4&kwd=baby diapers&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,M. D. Hygiene Private Limited,https://www.mdhygieneindia.com/?pos=4&kwd=baby diapers&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,True,Tadkeshwar,Surat,"Block No. 959, Kim Mandvi Road, Tadkeshwar, Surat - 394170, Dist.Surat, Gujarat",8046050788,
"Printed Baby Diaper Pants, Small",https://www.indiamart.com/proddetail/baby-diaper-pants-2854365659991.html?pos=5&kwd=baby diapers&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Raws N Greens Healthcare Private Limited,https://www.rawsngreens.com/?pos=5&kwd=baby diapers&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Saravanampatti,Coimbatore,"No.24 B Vky Vilankurichi Road, Chitra Nagar SARAVANAMPATTI, Saravanampatti, Coimbatore - 641035, Dist.Coimbatore, Tamil Nadu",7942799211,
"Aarvi Cotton Baby Diapers, Size: Medium",https://www.indiamart.com/proddetail/baby-diapers-23304326955.html?pos=6&kwd=baby diapers&tags=A||||8584.299|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Naturo-Health Organic Enterprises,https://www.indiamart.com/naturohealthorganicenterprises/?pos=6&kwd=baby diapers&tags=A||||8584.299|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Edayarpalayam,Coimbatore,"B83, Anna Nagar, Housing Unit Edayarpalayam, Edayarpalayam, Coimbatore - 641025, Dist.Coimbatore, Tamil Nadu",8047632292,
"Nonwoven Baby diapers, Small",https://www.indiamart.com/proddetail/baby-diapers-2853457735962.html?pos=7&kwd=baby diapers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Shree Balaji Enterprises,https://www.indiamart.com/shree-balaji-enterprises-maharashtra/?pos=7&kwd=baby diapers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Parvat Patiya,Surat,"LA Citadel Complex, G-59, Ground Floor, Near Kangaru Circle, Puna Patiya, Parvat Patiya, Surat - 395010, Dist.Surat, Gujarat",8048987419,
Baby Diaper,https://www.indiamart.com/proddetail/baby-diaper-2852907059591.html?pos=8&kwd=baby diapers&tags=A||||9228.171|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Evergreen Care,https://www.indiamart.com/evergreencare-faizabad/?pos=8&kwd=baby diapers&tags=A||||9228.171|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Faizabad Cantt,Faizabad,"Near Raebareilly Bypass, Faizabad Cantt, Faizabad - 224202, Uttar Pradesh",8046054746,
Pamper Kids Diaper,https://www.indiamart.com/proddetail/pamper-kids-diaper-2854237197455.html?pos=9&kwd=baby diapers&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,Pleasure Paradise,https://www.wonderfeel.in/?pos=9&kwd=baby diapers&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Sector 137,Noida,"11, T12 1105, Paras Tierea, Sector 137, Sector 137, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8048612980,
"Baby Diaper Pants, Size: Medium",https://www.indiamart.com/proddetail/baby-diaper-pants-24809199088.html?pos=10&kwd=baby diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,The Exultant Enterprises,https://www.theexultantenterprises.com/?pos=10&kwd=baby diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:4167|mtp:S|qry_typ:P|lang:en|wc:2|flavl:10|cs:9598|v=4,False,Velacheri,Chennai,"Building No. 13, New Secreterary Colony 6th Street,, Velacheri, Chennai - 600042, Dist.Chennai, Tamil Nadu",8048960064,
