product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Baby Fleece Blanket,https://www.indiamart.com/proddetail/baby-fleece-blanket-2854537929630.html?pos=1&kwd=baby fleece blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Parass Trading,https://www.indiamart.com/parasstrading/?pos=1&kwd=baby fleece blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Chembur,Mumbai,"Room no 3, First Floor, Plot no 39, Next to Shivaji Nagar police station,Kherwadi Plot no 39, Chembur, Mumbai - 400071, Dist.Mumbai, Maharashtra",8047631170,
Floral Print Velvet Baby Fleece Blanket,https://www.indiamart.com/proddetail/baby-fleece-blanket-26275248388.html?pos=2&kwd=baby fleece blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Verma Enterprises,https://www.styaloindia.com/?pos=2&kwd=baby fleece blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Samaypur,New Delhi,"Plot No.180/1-B, Kh.No. 955/1, 1st, Block-C, Raja Vihar, Siraspur, Badli, North West Delhi, Samaypur, New Delhi - 110042, Dist.Delhi, Delhi",8047654672,
Velvet Mix Newborn Baby blanket,https://www.indiamart.com/proddetail/newborn-baby-blanket-27262907730.html?pos=3&kwd=baby fleece blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Sundar Garments,https://www.sundargarment.com/?pos=3&kwd=baby fleece blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Kondithop,Chennai,"No-9 Murugesan Street Near Kondithope Park, Kondithop, Chennai - 600079, Dist.Chennai, Tamil Nadu",8048266539,
"Sage Green Baby Fleece Blanket, 1 Year, Size: 30x30 cm",https://www.indiamart.com/proddetail/sage-green-baby-fleece-blanket-2851612834697.html?pos=4&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Raj Industries,https://www.indiamart.com/raj-industries-punjab/?pos=4&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,,Ludhiana,"H. No B 12 629, Kucha Anayat, Nr Div No 2 Brown Road, Ludhiana - 141008, Dist.Ludhiana, Punjab",7942800347,
Plain Multicolor Polar Pink Fleece Baby Blanket,https://www.indiamart.com/proddetail/polar-pink-fleece-baby-blanket-2854167929455.html?pos=5&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Sai Trading Company,https://www.indiamart.com/sai-tradingcompany-ludhiana/?pos=5&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Chaura Bazar Area,Ludhiana,"Mochpura Bazar, No. 139 Block Viii, Rajesh Shawls, Chaura Bazar Area, Ludhiana - 141008, Dist.Ludhiana, Punjab",8045736579,
"BABYZONE Pink Soft Fleece Baby Blanket, 0-1 Year, Size: 26*36",https://www.indiamart.com/proddetail/soft-fleece-baby-blanket-23893634233.html?pos=6&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Aggarwal Creations,https://www.aggarwalcreations.com/?pos=6&kwd=baby fleece blanket&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Ramesh Nagar,Ludhiana,"Geeta Nagar, Street No. 7, Tajpur Road, Ramesh Nagar, Ludhiana - 141008, Dist.Ludhiana, Punjab",8048962321,
"Red Printed Baby Soft Fleece Blanket, Newly Born, Size: 20x30cm",https://www.indiamart.com/proddetail/baby-soft-fleece-blanket-26249773091.html?pos=7&kwd=baby fleece blanket&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Jessa Ram Khushi Ram,https://www.jessaramkhushiram.com/?pos=7&kwd=baby fleece blanket&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Old Housing Board Colony,Panipat,"Gaba Building, Pachranga Bazar, Old Housing Board Colony, Panipat - 132103, Dist.Panipat, Haryana",8043864954,
Printed Baby Fleece Blanket,https://www.indiamart.com/proddetail/printed-baby-fleece-blanket-2852593534873.html?pos=8&kwd=baby fleece blanket&tags=A||||8747.203||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Supercloudy Fashion World Private Limited,https://www.indiamart.com/supercloudyfashionworld/?pos=8&kwd=baby fleece blanket&tags=A||||8747.203||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Huda,Panipat,"Vpo Kurar, Near Jagmehar Hatchery, Huda, Panipat - 132103, Dist.Panipat, Haryana",8047303410,
Printed Baby Fleece Blanket,https://www.indiamart.com/proddetail/baby-fleece-blanket-20967303055.html?pos=9&kwd=baby fleece blanket&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Mahalaxmi Woollen Processors,https://www.mahalaxmiwoollen.in/?pos=9&kwd=baby fleece blanket&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Desraj Colony,Panipat,"Desraj Colony, Desraj Colony, Panipat - 132103, Dist.Panipat, Haryana",8047645393,
"Single Butterthief Pink Kids Printed Fleece Glow Radium Blanket, Size: 100x150 cm",https://www.indiamart.com/proddetail/butterthief-pink-kids-printed-fleece-glow-radium-blanket-2851230947030.html?pos=10&kwd=baby fleece blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,Instabuyz,https://www.indiamart.com/instabuyz/?pos=10&kwd=baby fleece blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99819|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9616|v=4,False,Paschim Vihar,New Delhi,"GH-4/319, Meera Apartments, Paschim Vihar, West Delhi, Paschim Vihar, New Delhi - 110063, Dist.Delhi, Delhi",8047696143,
