product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Baby Wooden Hair Brush, More than 12 months",https://www.indiamart.com/proddetail/baby-wooden-hair-brush-2854575390330.html?pos=1&kwd=baby hair brushes&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,IM Corporation,https://www.imcorporation.in/?pos=1&kwd=baby hair brushes&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Okhla Industrial Estate,New Delhi,"DDA Shed Okhla Industrial Area Phase-1 Delhi C-77 Delhi South Delhi Ground Floor, Okhla Industrial Estate, New Delhi - 110020, Dist.Delhi, Delhi",8048263469,
Baby Care Products Kit 10 Pieces,https://www.indiamart.com/proddetail/baby-care-products-kit-10-pieces-2854218775130.html?pos=2&kwd=baby hair brushes&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,BABYHOLIC,https://www.babyholic.in/?pos=2&kwd=baby hair brushes&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,,Surat,"Ground Floor, Plot No. F/56/, And F/57, Laxmi Narayan Industrial Estate, Udhana, Kailash Fashion, Surat - 394210, Dist.Surat, Gujarat",8045732096,
"Pink Plastic Baby Hair Brush, 1-2 Years",https://www.indiamart.com/proddetail/baby-hair-brush-2852390119830.html?pos=3&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Vijay Brush Co.,https://www.vijaybrush.com/?pos=3&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Sharma Estate,Mumbai,"23/A/606, Sneh Co-Op Hsg Sty Ltd, Bimbisar Nagar, Goregaon, Mumbai Suburban, Sharma Estate, Mumbai - 400063, Dist.Mumbai, Maharashtra",7942871572,
Baby Hair Brush Comb,https://www.indiamart.com/proddetail/baby-hair-brush-comb-2853943500530.html?pos=4&kwd=baby hair brushes&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,The Creators,https://www.indiamart.com/thecreators-newdelhi/?pos=4&kwd=baby hair brushes&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Sultanpuri,New Delhi,"275-76, Block P-3, Sultanpuri North West Delhi, Sultanpuri, New Delhi - 110086, Dist.Delhi, Delhi",8047549858,
Detangling Kids Gentle Tangle Wet Dry Bristles Handle Massage Detangling Comb Hair Brush,https://www.indiamart.com/proddetail/detangling-kids-gentle-tangle-wet-dry-bristles-handle-massage-detangling-comb-hair-brush-25945966612.html?pos=5&kwd=baby hair brushes&tags=BA||||8355.778|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Rightbrain Creations Private Limited,https://www.rbcpvtltd.com/?pos=5&kwd=baby hair brushes&tags=BA||||8355.778|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Rishabhdev,Rishabhdeo,"Ground Floor, 01, Laxmi Devi W/o Bihari Lal Jain, Pagaliyaji Road, Rishabhdev, Rishabhdeo - 313802, Dist.Udaipur, Rajasthan",8046062538,
Hair Curler Brush & Comb,https://www.indiamart.com/proddetail/hair-curler-brush-comb-2854982041955.html?pos=6&kwd=baby hair brushes&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,RAF India,https://www.rafindia.co.in/?pos=6&kwd=baby hair brushes&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Pydhonie,Mumbai,"425, Ibrahim Rehmatulla Road, Pydhonie, Mumbai - 400003, Dist.Mumbai, Maharashtra",8047635175,
Baby Hair Brush,https://www.indiamart.com/proddetail/baby-hair-brush-2849393485548.html?pos=7&kwd=baby hair brushes&tags=BA||||8860.933|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Indian Turf,https://www.indiamart.com/indianturf-dehradun/?pos=7&kwd=baby hair brushes&tags=BA||||8860.933|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Chukkuwala,Dehradun,"56, Neshvilla Road,, Chukkuwala, Dehradun - 248001, Dist.Dehradun, Uttarakhand",8046062814,
"NEW TRENDY BABY HAIR BRUSH TOOL SET, 3-12 Months",https://www.indiamart.com/proddetail/new-trendy-baby-hair-brush-tool-set-2854763984255.html?pos=8&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Fatema Collection,https://www.indiamart.com/fatemacollection-mumbai/?pos=8&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Mazgaon,Mumbai,"2nd Floor, Room No.202, Audumber Building, Seth Motishah Cross Lane, Byculla East, Mazgaon, Mumbai - 400027, Dist.Mumbai, Maharashtra",7948549397,
"Remonde Plastic Flat Hair Brush, For Home",https://www.indiamart.com/proddetail/flat-hair-brush-3741662948.html?pos=9&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Remonde Plasmetiks,https://www.remondeplasmetiks.com/?pos=9&kwd=baby hair brushes&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Goregaon East,Mumbai,"50/51, Jagat Satguru Industrial Estate, 1st Floor, Vishweshwar Road Off Aarey Road, Goregaon East, Mumbai - 400063, Dist.Mumbai, Maharashtra",8046041673,
Blue Plastic Hair Brush,https://www.indiamart.com/proddetail/blue-plastic-hair-brush-26196143688.html?pos=10&kwd=baby hair brushes&tags=BB||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Bhojane Brothers,https://www.indiamart.com/bhojanebrothers-mumbai/?pos=10&kwd=baby hair brushes&tags=BB||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:98611|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Dadar,Mumbai,"210, 2nd Floor, Shree Hari Bldg, Shankar Palav Marg, Dadar, Dadar, Mumbai - 400014, Dist.Mumbai, Maharashtra",8043863052,
