product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Flannel Unisex Pink Printed Newborn Baby Hospital Kit, Age Group: 0-3 Months",https://www.indiamart.com/proddetail/pink-printed-newborn-baby-hospital-kit-2851752512197.html?pos=1&kwd=baby healthcare kit&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Guild Corporation,https://www.indiamart.com/guildcorporation/?pos=1&kwd=baby healthcare kit&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Sanwariya Nagar,Indore,"32, Bijasan Colony, Airport Road, Sanwariya Nagar, Indore - 452005, Dist.Indore, Madhya Pradesh",8047662733,
"Blue Pink Baby Care Kit, Box Packing",https://www.indiamart.com/proddetail/baby-care-kit-2852872270833.html?pos=2&kwd=baby healthcare kit&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Urbancube,https://www.indiamart.com/urbancube/?pos=2&kwd=baby healthcare kit&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Kamla Nagar,New Delhi,"Ground Floor, 14 UA, Jawahar Nagar, Kamla Nagar, New Delhi - 110007, Dist.Delhi, Delhi",8048980014,
New Born Baby Kits New Born Baby Kits New Born Baby KitsNew Born Baby KitsNew Born Baby Kits,https://www.indiamart.com/proddetail/new-born-baby-kits-new-born-baby-kits-new-born-baby-kitsnew-born-baby-kitsnew-born-baby-kits-22364815673.html?pos=3&kwd=baby healthcare kit&tags=BA||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,A R Enterprises,https://www.indiamart.com/vinaytextilesindore/?pos=3&kwd=baby healthcare kit&tags=BA||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Tilak Nagar,Indore,"81, Tilak Nagar Extension, Tilak Nagar, Indore - 452018, Dist.Indore, Madhya Pradesh",8048972129,
"Asha hbyc kit, Child Age Group: 0-3 Yrs",https://www.indiamart.com/proddetail/asha-hbyc-kit-2852773563991.html?pos=4&kwd=baby healthcare kit&tags=A||||8810.737|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Shah Wooden Arts,https://www.shahwoodenarts.com/?pos=4&kwd=baby healthcare kit&tags=A||||8810.737|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Saharanpur,Saharanpur,"Plot No. 36, Near Hojkhedi Road, Aamwala, Saharanpur, Saharanpur - 247001, Dist.Saharanpur, Uttar Pradesh",7942960054,
"Baby Kit Premium 7 Piece Set (White), For Gifting",https://www.indiamart.com/proddetail/baby-kit-premium-7-piece-set-white-2854885190233.html?pos=5&kwd=baby healthcare kit&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Patoliya Exports Private Limited,https://www.indiamart.com/patoliya-exports-ahmedabad/?pos=5&kwd=baby healthcare kit&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,OPP GVMM,Ahmedabad,"B-62, Bileshwar Industrial Estate, OPP GVMM, Ahmedabad - 382415, Dist.Ahmedabad, Gujarat",8044458925,
Baby Care Kit Set,https://www.indiamart.com/proddetail/baby-care-kit-set-2854218696712.html?pos=6&kwd=baby healthcare kit&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,BABYHOLIC,https://www.babyholic.in/?pos=6&kwd=baby healthcare kit&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,,Surat,"Ground Floor, Plot No. F/56/, And F/57, Laxmi Narayan Industrial Estate, Udhana, Kailash Fashion, Surat - 394210, Dist.Surat, Gujarat",8045732096,
"Asha Programme, Ecd Kits, Hbyc Kit, Hbnc Kit, For Personal, Child Age Group: 0-3 Yrs",https://www.indiamart.com/proddetail/asha-programme-ecd-kits-hbyc-kit-hbnc-kit-2851902132362.html?pos=7&kwd=baby healthcare kit&tags=A||||8752.144|Price|product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,OSR Medplus,https://www.indiamart.com/osr-medplus/?pos=7&kwd=baby healthcare kit&tags=A||||8752.144|Price|product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Badli,New Delhi,"Kh.No-22/25/2,Gali No-4, Industrial Area Village, Samaipur, Badli, New Delhi - 110042, Dist.Delhi, Delhi",8046056352,
Girl & Boy Newly Born Baby Care Kit ICDS,https://www.indiamart.com/proddetail/baby-care-kit-icds-5360693430.html?pos=8&kwd=baby healthcare kit&tags=A||||8601.347||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Jackson Care Product,https://www.jacksoncare.in/?pos=8&kwd=baby healthcare kit&tags=A||||8601.347||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Jaisinghpura Khor,Jaipur,"No. 199, Rishi Galav Nagar, Jaisinghpura Khor, Jaipur - 302002, Dist.Jaipur, Rajasthan",8048965113,
TEN piece plastic baby grooming and healthcare kit in a gift pack medium sized packaging,https://www.indiamart.com/proddetail/ten-piece-plastic-baby-grooming-and-healthcare-kit-in-a-gift-pack-medium-sized-packaging-2854983287433.html?pos=9&kwd=baby healthcare kit&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Nipika Vrapped Gifting,https://www.indiamart.com/nipika-vrapped-gifting/?pos=9&kwd=baby healthcare kit&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Bengaluru Urban,Bengaluru,"9/1, 23rd Cross Road, Magadi Road, KP Agrahara, Bengaluru Urban, Bengaluru - 560023, Dist.Bengaluru, Karnataka",7949328723,
Baby Care Kit 10 pcs,https://www.indiamart.com/proddetail/baby-care-kit-10-pcs-2854721492697.html?pos=10&kwd=baby healthcare kit&tags=BA||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,Om Deal Online,https://www.indiamart.com/om-deal-online/?pos=10&kwd=baby healthcare kit&tags=BA||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:45463|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-1|cs:9695|v=4,False,Sector 93,Gurugram,"114, IMT Road, Government High School, Hayatpur, Sector 93, Gurugram - 122505, Dist.Gurgaon, Haryana",7942836824,
