product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"900ml Natural Laundry Liquid Detergent, Newly Born",https://www.indiamart.com/proddetail/900ml-natural-baby-laundry-liquid-detergent-25971189530.html?pos=1&kwd=baby laundry liquid&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Windmills Nature Lab Private Limited,https://www.indiamart.com/windmills-nature-lab/?pos=1&kwd=baby laundry liquid&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,,Mumbai,"1st Floor, 107/108, Raheja Plaze, Veera Desai Road, Andheri West Mumbai, Mumbai Suburban, Mumbai - 400053, Dist.Mumbai, Maharashtra",8044017492,
"citrus Light Brown Baby Laundry Detergent Liquid, Packaging Type: Plastic Bottle, Packaging Size: 1 L",https://www.indiamart.com/proddetail/baby-laundry-detergent-liquid-26198954133.html?pos=2&kwd=baby laundry liquid&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,M/S Marjan Industries,https://www.marjanindustry.com/?pos=2&kwd=baby laundry liquid&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,Okhla Industrial Estate,New Delhi,"Z-20 2nd Floor, Okhla Industrial Area Phase-2, New Delhi,, Okhla Industrial Estate, New Delhi - 110020, Dist.Delhi, Delhi",8045908643,
Lavender Laundry Liquid Pod,https://www.indiamart.com/proddetail/laundry-liquid-pod-2850573508862.html?pos=3&kwd=baby laundry liquid&tags=BB||||8692.544|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Yantai Eco Friendly Products Private Limited,https://www.indiamart.com/yantaiecofriendlyproducts/?pos=3&kwd=baby laundry liquid&tags=BB||||8692.544|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,Rampura,Alwar,"Plot No 591,592,593, RIICO Industrial Area, Bhiwadi, Rampura, Alwar - 301019, Dist.Alwar, Rajasthan",7942538068,
Baby Laundry Detergent Liquid,https://www.indiamart.com/proddetail/baby-laundry-detergent-liquid-2854331608012.html?pos=4&kwd=baby laundry liquid&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Nexton International,https://www.nextoninternational.com/?pos=4&kwd=baby laundry liquid&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,Dimond Park,Surat,"PLOT NO-73, SURYAKIRAN SOCIETY, CHIKUWADI, NANA VARACHHA, Surat, Dimond Park, Surat - 395006, Dist.Surat, Gujarat",8047306796,
"Satol Satfab Universal Liquid Detergent With Booster& Ob 25ltr., Packaging Type: Can, Packaging Size: 25kg",https://www.indiamart.com/proddetail/satol-satfab-universal-liquid-detergent-with-booster-ob-25ltr-24033253088.html?pos=5&kwd=baby laundry liquid&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Divya Traders,https://www.indiamart.com/divya-tradersdelhi/?pos=5&kwd=baby laundry liquid&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,Paschim Vihar,New Delhi,"BA/49A, Janak Puri, West, Paschim Vihar, New Delhi - 110058, Dist.Delhi, Delhi",8046059659,
Jasmine Baby Laundry Detergent Liquid,https://www.indiamart.com/proddetail/baby-laundry-detergent-liquid-24164212062.html?pos=6&kwd=baby laundry liquid&tags=BA||||8507.67|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Bell Communication Systems,https://www.indiamart.com/bellcommunicationsystems/?pos=6&kwd=baby laundry liquid&tags=BA||||8507.67|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,Edappally,Ernakulam,"21/163 15th Cross Road, Giri Nagar Kadavanthra, Edappally, Ernakulam - 682020, Dist.Ernakulam, Kerala",8046063700,
"Eco Blends Baby Liquid Detergent, 500 ml",https://www.indiamart.com/proddetail/eco-blends-baby-liquid-detergent-2854233226491.html?pos=7&kwd=baby laundry liquid&tags=BB||||8357.81|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Vertida Chemicals India Private Limited,https://www.indiamart.com/vertidachemicalsindia/?pos=7&kwd=baby laundry liquid&tags=BB||||8357.81|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,,Udupi,"4-176C Amba Road Kidiyoor Village, Udupi - 576103, Dist.Udupi, Karnataka",8046032885,
"Saram's Organic Washing Liquid, 1 L",https://www.indiamart.com/proddetail/saram-s-organic-washing-liquid-2850111089488.html?pos=8&kwd=baby laundry liquid&tags=BB||||8584.299|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Saram Home Products,https://www.indiamart.com/saram-home-products/?pos=8&kwd=baby laundry liquid&tags=BB||||8584.299|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,,Coimbatore,"3 Sri Senthur Garden, Varathaiyangarpalayam, Coimbatore - 641110, Dist.Coimbatore, Tamil Nadu",7942803661,
"Laundry Liquid Concentarte 5X, Packaging Type: HDPE carboy, Packaging Size: 50 kg",https://www.indiamart.com/proddetail/laundry-liquid-concentarte-5x-24363572273.html?pos=9&kwd=baby laundry liquid&tags=CC||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Swadesh International,https://www.swadeshinternational.in/?pos=9&kwd=baby laundry liquid&tags=CC||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,True,Rakhial,Ahmedabad,"H-1, Ground Floor, Sumel 7, Soni Ni Chawl, Rakhial, Ahmedabad - 380023, Dist.Ahmedabad, Gujarat",8048983551,
"Baby Laundry Detergent Liquid, Packaging Size: 1 Ltr",https://www.indiamart.com/proddetail/baby-laundry-detergent-liquid-19823347973.html?pos=10&kwd=baby laundry liquid&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,Shaifali Traders,https://www.shopphiez.com/?pos=10&kwd=baby laundry liquid&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:185084|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9654|v=4,False,PATPARGANJ,New Delhi,"Plot No 10, main road patparganj ganj, PATPARGANJ, New Delhi - 110091, Dist.Delhi, Delhi",8046033629,
