product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Multicolor Baby Electric Nail Trimmer,https://www.indiamart.com/proddetail/baby-electric-nail-trimmer-2849179212830.html?pos=1&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Buyerzone Enterprise,https://www.thebuyerzone.in/?pos=1&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Katargam,Surat,"Plot No.247-1st Floor, Above E-Com Courier,Near Laxmi Residency, Katargam Vastadevadi Road, Katargam, Surat - 395004, Dist.Surat, Gujarat",8048966965,
"Red Baby Nail Trimmer, For Manual",https://www.indiamart.com/proddetail/baby-nail-trimmer-2848950077662.html?pos=2&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Glorious Enterprise,https://www.indiamart.com/glorious-enterprisesurat/?pos=2&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Varachha Road,Surat,"2nd Floor, Plot No.126, Shraddha Raw House, Varachha Road, Sarthana Community Hall, Nana Varachha, Varachha Road, Surat - 395006, Dist.Surat, Gujarat",8047805064,
Blue Baby Nail Trimmer,https://www.indiamart.com/proddetail/blue-baby-nail-trimmer-2854774035062.html?pos=3&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Dass Enterprise,https://www.indiamart.com/dassenterprise/?pos=3&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,,Surat,"First Floor Shop No-111 Yogi Chowk The Galleria, Surat - 395010, Dist.Surat, Gujarat",7949340419,
New Baby Nail File,https://www.indiamart.com/proddetail/new-baby-nail-file-2851620556688.html?pos=4&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Bosig Mart,https://www.indiamart.com/bosigmart/?pos=4&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Dabholi Village,Surat,"27, Hari Om Nagar Society, Jahangirpura, Dabholi Village, Surat - 395005, Dist.Surat, Gujarat",7942837519,
"Blue Baby Nail Trimmer, Packaging Type: Bottle, 3-12 Months",https://www.indiamart.com/proddetail/baby-nail-trimmer-2854028353012.html?pos=5&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Shree Lalankrupa Enterprise,https://www.indiamart.com/shree-lalankrupa-enterprise/?pos=5&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Punagam,Surat,"132 Punagam Gautam Park Soc Chorasi Surat, Punagam, Surat - 395010, Dist.Surat, Gujarat",8044562706,
"Blue Automatic Baby Nail Trimmer, Electric, 3-12 Months",https://www.indiamart.com/proddetail/automatic-baby-nail-trimmer-2853948136212.html?pos=6&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Manisha Enterprise,https://www.indiamart.com/manishaenterprisesurat/?pos=6&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Amroli,Surat,"GF C-75, Somnath Adarshnagar 1, Chprabhata Road, Amroli, Amroli, Surat - 394107, Dist.Surat, Gujarat",7949372906,
Multicolor Baby Nail Trimmer Set,https://www.indiamart.com/proddetail/baby-nail-trimmer-set-2852086422273.html?pos=7&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Indiab2btrade,https://www.indiab2btrade.com/?pos=7&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Mota Varachha,Surat,"Ground Floor, Shop No. F/22, Shivdhara Complex, L.P Savani School,Near To Maharaja Farm,, Mota Varachha, Surat - 394105, Dist.Surat, Gujarat",8043816125,
"Rapid Multicolor Baby Nail Trimmer, Packaging Type: Box, Newly Born",https://www.indiamart.com/proddetail/baby-nail-trimmer-2853189638191.html?pos=8&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Rapid Import & Export,https://www.indiamart.com/rapidimportexport/?pos=8&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Dabholi,Surat,"Shade No 19, Nilkanth Park, Nr. Silver Stone Villa, Tulsi Chowk Dabholi Gam, Ved Road, Dabholi, Surat - 395004, Dist.Surat, Gujarat",7942960616,
"INFINITYKART BLUE Baby Nail Trimmer, Packaging Type: Box, 1-2 Years",https://www.indiamart.com/proddetail/baby-nail-trimmer-2853761129573.html?pos=9&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,INFINITYKART,https://www.indiamart.com/99-enterprises-surat/?pos=9&kwd=baby nail clippers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Katargam,Surat,"2nd, 201, Neminath Apartment, Sumal Dairy Road, Nita Textile Store, Katargam,, Katargam, Surat - 395004, Dist.Surat, Gujarat",7942710832,
dual tone Baby Nail Cutter,https://www.indiamart.com/proddetail/baby-nail-cutter-27452252248.html?pos=10&kwd=baby nail clippers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,Sameer Collection,https://www.sameercollection.in/?pos=10&kwd=baby nail clippers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:208877|mtp:S|qry_typ:P|lang:en|wc:3|flavl:3|cs:9662|v=4,False,Princess Dock,Mumbai,"A-1901, Ansari Heights, Umar Kokil Marg, Princess Dock, Mumbai - 400009, Dist.Mumbai, Maharashtra",8046070689,
