product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"AAditya White Baby Silicone Nipple, Packaging Type: Box, 1-2 Years",https://www.indiamart.com/proddetail/baby-silicone-nipple-22513633397.html?pos=1&kwd=baby nipples&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Aditya Polymers,https://www.aadityapolymers.com/?pos=1&kwd=baby nipples&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Gokhiware,Vasai,"106, A V Udhyog No. 3, Near Rajprabha Near Golani, Gokhiware, Vasai - 401208, Dist.Thane, Maharashtra",8048987383,
Bonny Products Transparent Bonne Bottle Nipples,https://www.indiamart.com/proddetail/bonne-bottle-nipples-10699311312.html?pos=2&kwd=baby nipples&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Bonny Products Private Limited,https://www.feedingbottles.com/?pos=2&kwd=baby nipples&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Sector 63,Noida,"D240, Sector 63, Sector 63, Noida - 201307, Dist.Gautam Budh Nagar, Uttar Pradesh",8046040824,
Transparent Baby Dolphin Anti Colic Nipples for Baby,https://www.indiamart.com/proddetail/baby-dolphin-anti-colic-nipples-for-baby-2853639925873.html?pos=3&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=3&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
Silicone Baby Fruit Feeder,https://www.indiamart.com/proddetail/silicone-baby-fruit-feeder-2852001275312.html?pos=4&kwd=baby nipples&tags=A||||8624.416|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Dayawanti Traders,https://www.indiamart.com/dayawati-trader/?pos=4&kwd=baby nipples&tags=A||||8624.416|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Indira Colony,Hisar,"Plot No. 137 Dhani Kishandutt, Near Asha High School, Nancy Beauty Parlour, Indira Colony, Indira Colony, Hisar - 125001, Dist.Hisar, Haryana",7942701403,
"White Baby Feeding Silicone Nipple, 3 Months",https://www.indiamart.com/proddetail/baby-feeding-silicone-nipple-25599636191.html?pos=5&kwd=baby nipples&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Silicone Products (India),https://www.indiamart.com/silicone-products-india/?pos=5&kwd=baby nipples&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Borivali,Mumbai,"102, Aadinath Park Chs, 51 St Road, Shimpoli, Borivali West, Mumbai Suburban, Borivali, Mumbai - 400092, Dist.Mumbai, Maharashtra",8047652110,
Bos Medicare Baby Nipple,https://www.indiamart.com/proddetail/bos-medicare-baby-nipple-25013868873.html?pos=6&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Bos Medicare Surgical,https://www.bosmedicare.com/?pos=6&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Kishan Ganj,New Delhi,"Shop No 155, Kishan Ganj Market, Old Rohtak Road, Kishan Ganj, Kishan Ganj, New Delhi - 110007, Dist.Delhi, Delhi",7942826425,
"Claoberry Transparent Wide Mouth Nipple, Packaging Type: Box, Newly Born",https://www.indiamart.com/proddetail/wide-mouth-nipple-2852884150212.html?pos=7&kwd=baby nipples&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Paras Enterprises,https://www.claoberry.com/?pos=7&kwd=baby nipples&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Raj Nagar Extension,Ghaziabad,"KH.NO.-2565,VILLAGE KARHERA,MOHAN NAGAR,Ghaziabad, Raj Nagar Extension, Ghaziabad - 201007, Dist.Ghaziabad, Uttar Pradesh",8043862487,
"Royal Baby Baby Nipple, 3-12 Months",https://www.indiamart.com/proddetail/royal-baby-baby-nipple-23634256855.html?pos=8&kwd=baby nipples&tags=BA||||8741.812|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Royal Baby Products (India),https://www.indiamart.com/royal-baby-products/?pos=8&kwd=baby nipples&tags=BA||||8741.812|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Sarhaul,Gurugram,"Ground Floor, M-2/22, Dlf City Phase II, Dlf City Phase II, Sarhaul, Gurugram - 122008, Dist.Gurgaon, Haryana",8048613476,
"BPA Free Baby Fast Flow Nipples, Packaging Type: Box, 3-12 Months",https://www.indiamart.com/proddetail/bpa-free-baby-fast-flow-nipples-2851497399230.html?pos=9&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=9&kwd=baby nipples&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
Baby Peristaltic Nipple,https://www.indiamart.com/proddetail/baby-peristaltic-nipple-13989028488.html?pos=10&kwd=baby nipples&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,Gujarat Polymers,https://www.indiamart.com/gujaratpolymers-maharashtra/?pos=10&kwd=baby nipples&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55653|mtp:G|qry_typ:P|lang:en|wc:2|flavl:6|cs:9596|v=4,False,Andheri West,Mumbai,"No. 602, Centre Square, SV Road, Andheri West, Andheri West, Mumbai - 400058, Dist.Mumbai, Maharashtra",8046078043,
