product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Foam Little monkeys Baby Knee Pads for Crawling,https://www.indiamart.com/proddetail/little-monkeys-baby-knee-pads-for-crawling-2851558424455.html?pos=1&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=1&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
Baby Knee Pad,https://www.indiamart.com/proddetail/baby-knee-pad-2855061456033.html?pos=2&kwd=baby pad&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Dealsup,https://www.indiamart.com/dealsup-north-delhi/?pos=2&kwd=baby pad&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,,New Delhi,"Kamal Pur Majra, Khasra No. 7/14, Kamal Vihar, Village Burari North Delhi, New Delhi - 110084, Dist.Delhi, Delhi",7942532252,
"Baby Slap Pad, Newly Born",https://www.indiamart.com/proddetail/baby-slap-pad-2854792927988.html?pos=3&kwd=baby pad&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,M A Enterprises,https://www.maenterprisess.com/?pos=3&kwd=baby pad&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,azadpur delhi,New Delhi,"Plot No 32b bassment Rameswar nagar Azadpur, azadpur delhi, New Delhi - 110033, Dist.Delhi, Delhi",7949326748,
"Cotton Baby Knee Pads, Hand Wash",https://www.indiamart.com/proddetail/baby-knee-pads-22066231633.html?pos=4&kwd=baby pad&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,J L Trading Company,https://www.jltrading.in/?pos=4&kwd=baby pad&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Shastri Nagar,New Delhi,"E2/253, 3rd Floor, ICICI Bank Building, Shastri Nagar, New Delhi - 110052, Dist.Delhi, Delhi",8048956600,
Babies Knee Pad,https://www.indiamart.com/proddetail/babies-knee-pad-2854730792873.html?pos=5&kwd=baby pad&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,M. G. L. & Co.,https://www.kbamkay.com/?pos=5&kwd=baby pad&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,,Mumbai,"2 Nd Floor Office No 8 Abdul Rehman Street 1115 Sufarwala Building, Mumbai - 400003, Dist.Mumbai, Maharashtra",7942867468,
"Prima Baby Organic Cotton Pads, For Domestic, Packaging Size: 60 Pad",https://www.indiamart.com/proddetail/prima-baby-organic-cotton-pads-2854907129948.html?pos=6&kwd=baby pad&tags=A||||8211.142||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Mahendra Enterprises & Suppliers,https://www.indiamart.com/mahendra-enterprises-suppliers/?pos=6&kwd=baby pad&tags=A||||8211.142||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,,Mumbai,"5, Jaydabi Chawl, Hanuman Nagar, P. N Road, Mumbai Suburban,, Mumbai - 400078, Dist.Mumbai, Maharashtra",7949330192,
"Multicolor Cotton Baby Knee Pad, Newly Born",https://www.indiamart.com/proddetail/baby-knee-pad-26468994455.html?pos=7&kwd=baby pad&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Alesso(A Brand Of Awxoqom),https://www.ashoppersvillage.com/?pos=7&kwd=baby pad&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Singanpor,Surat,"Plot No 30,gr Floor, Vijayraj Row House, Near Vijayraj Circle,singanpore Causeway Road,katargam, Singanpor, Surat - 395004, Dist.Surat, Gujarat",8048957223,
Baby Slapped pad,https://www.indiamart.com/proddetail/baby-slapped-pad-24032420930.html?pos=8&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,J&D Sales,https://www.indiamart.com/j-d-sales/?pos=8&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Azadpur,New Delhi,"Ga-12,G/F,Gopal Nagar Azadpur,New Delhi, Azadpur, New Delhi - 110033, Dist.Delhi, Delhi",7942545246,
"Black,Red cotton Baby Knee Pad",https://www.indiamart.com/proddetail/baby-knee-pad-27444061330.html?pos=9&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Inquantity,https://www.indiamart.com/inquantity/?pos=9&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Shahdara,New Delhi,"1/6258, East Rohtash Nagar, Shahdara, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",8047620719,
Baby water pad,https://www.indiamart.com/proddetail/baby-water-pad-26050278962.html?pos=10&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,Zipker International,https://www.hotnix.in/?pos=10&kwd=baby pad&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:55654|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9603|v=4,False,Bawana,New Delhi,"2838 arya smaj road,gaffar market, karolbag New Delhi, Bawana, New Delhi - 110039, Dist.Delhi, Delhi",8047653260,
