product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Printed Baby Soft Foam Mat,https://www.indiamart.com/proddetail/baby-soft-foam-mat-2852113955330.html?pos=1&kwd=baby soft mat&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Ragun Care Private Limited,https://www.indiamart.com/raguncare/?pos=1&kwd=baby soft mat&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Changodar,Ahmedabad,"Second Floor 237 Sarkhej Bavla Road Shree Sharan Business Park Changodar, Changodar, Ahmedabad - 382213, Dist.Ahmedabad, Gujarat",8043802755,
"Foam Multicolor Baby Learning Mat, Mat Size: 200*150*0.6, Printed",https://www.indiamart.com/proddetail/baby-learning-mat-2852595224855.html?pos=2&kwd=baby soft mat&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Swastika Enterprises,https://www.indiamart.com/swastikaenterprises-pune/?pos=2&kwd=baby soft mat&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Hadapsar,Pune,"Ground Floor, Shop No D-10 A, Ganga Florentina, Mohmadwadi Road, Hadapsar, Hadapsar, Pune - 412308, Dist.Pune, Maharashtra",7942713872,
Multicolor Kids Play Mat 4 Ft x 6 Ft,https://www.indiamart.com/proddetail/kids-play-mat-4-ft-x-6-ft-26243611591.html?pos=3&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Paramount Foams Private Limited.,https://www.paramountfoams.co.in/?pos=3&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Pitampura,New Delhi,"350, 2nd Floor, Tarun Enclave, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",8043815404,
"XPE SHEETS Multicolor Baby Soft Mat, Mat Size: 5*7 Ft, Cartoon Cariture",https://www.indiamart.com/proddetail/baby-soft-mat-27600260948.html?pos=4&kwd=baby soft mat&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Lakshmi Furnishing,https://www.indiamart.com/lakshmi-furnishing/?pos=4&kwd=baby soft mat&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Huda,Panipat,"50, Kataria Colony, Gali No. 7, Near Gangapuri Road, Huda, Panipat - 132103, Dist.Panipat, Haryana",8047654543,
Rubber Baby Mat,https://www.indiamart.com/proddetail/baby-mat-23829148488.html?pos=5&kwd=baby soft mat&tags=A||||9839.57|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Dave Waterproof Works,https://www.indiamart.com/davewaterproofworks-kolkata/?pos=5&kwd=baby soft mat&tags=A||||9839.57|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Kalighat,Kolkata,"2nd Floor, Building No.43, B.B. Ganguly Street, Bowbazar, Kalighat, Kolkata - 700012, Dist.Kolkata, West Bengal",8046039325,
"Multicolor Medifit Waterproof Foldable Baby Play Mat, Size/Dimension: 5x6",https://www.indiamart.com/proddetail/medifit-waterproof-foldable-baby-play-mat-2853072747373.html?pos=6&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Sumit Footcare,https://www.sumitfootcare.com/?pos=6&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Pitampura,New Delhi,"A-105, Mangolpuri Industrial Area, Phase 2, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",8047631737,
Multicolor Baby Play Mats,https://www.indiamart.com/proddetail/baby-play-mats-27622362173.html?pos=7&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Gunjan Associates,https://www.gunjaneva.com/?pos=7&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Pitampura,New Delhi,"B 18, Mangolpuri Industrial Area, Phase 2 Mangolpuri, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",8048968082,
EVA Multicolor Baby Mat Soft Mat Double Side Baby Play Floor Mat,https://www.indiamart.com/proddetail/baby-mat-soft-mat-double-side-baby-play-floor-mat-25562076497.html?pos=8&kwd=baby soft mat&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Homeza Sales,https://www.homezasales.com/?pos=8&kwd=baby soft mat&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Katargam,Surat,"Plot No-A/22, Ground Floor, Madhav Park Society, Singanpore Char Rasta, Ved Road,, Katargam, Surat - 395004, Dist.Surat, Gujarat",8047656895,
Waterproof Red Kids Mat,https://www.indiamart.com/proddetail/kids-mat-2853664105955.html?pos=9&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Kriti Enterprises,https://www.indiamart.com/kriti-enterprisesnewdelhi/?pos=9&kwd=baby soft mat&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,Laxmi Nagar,New Delhi,"D-139, F.F, Gali No.6 Laxmi Nagar East Delhi, Laxmi Nagar, New Delhi - 110092, Dist.Delhi, Delhi",8047655853,
"Pink Baby Soft Cotton Mat, Newly Born",https://www.indiamart.com/proddetail/pink-baby-soft-cotton-mat-27405069873.html?pos=10&kwd=baby soft mat&tags=A||||8228.275|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,Born Baby,https://www.indiamart.com/born-baby-ahmedabad/?pos=10&kwd=baby soft mat&tags=A||||8228.275|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:84283|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0-2|cs:9700|v=4,False,,Ahmedabad,"708, Mahalaxmi Complex, Gheekanta GPO, Ahmedabad - 380001, Dist.Ahmedabad, Gujarat",7949331255,
