product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Zigzag Baby Walkers,https://www.indiamart.com/proddetail/zigzag-baby-walkers-2851850970430.html?pos=1&kwd=baby walkers&tags=A||||8752.144||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Ekta Cycle Industries,https://www.indiamart.com/ektacycleindustries/?pos=1&kwd=baby walkers&tags=A||||8752.144||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Mandawali,New Delhi,"C84 A, Patparganj opposite tarawati hospital, Mandawali, New Delhi - 110092, Dist.Delhi, Delhi",8046055583,
"2 Feet Iron CP Child Walker, 4",https://www.indiamart.com/proddetail/cp-child-walker-23975884312.html?pos=2&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Physio Lifecare,https://www.indiamart.com/physiolifecare/?pos=2&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,True,Pitampura,New Delhi,"254, Sainik Vihar, Rani Bagh, Pitampura, Pitampura, New Delhi - 110034, Dist.Delhi, Delhi",7942561971,
"Iron & PVC Baby Walkers, Four to Twelve Months, 6 Wheels",https://www.indiamart.com/proddetail/baby-walkers-2852838460612.html?pos=3&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Pinksara Khilonewala,https://www.indiamart.com/pinksarakhilonewala/?pos=3&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Karawal Nagar,New Delhi,"A-25/A, Second, Prop No. 38, Kesho Ram Park, South-West Delhi, Karawal Nagar, New Delhi - 110059, Dist.Delhi, Delhi",8045909104,
"Raja coting baby Walker, 6",https://www.indiamart.com/proddetail/raja-coting-baby-walker-2850708048991.html?pos=4&kwd=baby walkers&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Kusum Enterprrises,https://www.indiamart.com/kusum-enterprises-delhi/?pos=4&kwd=baby walkers&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Saboli,New Delhi,"D-1/419, K H. No. 769, Halifax No. 13 Ashok Nagar, Saboli, New Delhi - 110093, Dist.Delhi, Delhi",8048969783,
Snail Adjustable Baby Walker,https://www.indiamart.com/proddetail/snail-adjustable-baby-walker-2854075204830.html?pos=5&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Neelam Enterprises,https://www.indiamart.com/neelam-enterprisesdelhi/?pos=5&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,North East,New Delhi,"Gf,Pradhan Parshadi Lal Market,Main Tukmirpur Road,Karawal Nagar, North East, New Delhi - 110094, Dist.Delhi, Delhi",7942814861,
"Sky pink Adjustable Baby Walker, 20 inches",https://www.indiamart.com/proddetail/adjustable-baby-walker-2852991861088.html?pos=6&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Rocky India,https://www.indiamart.com/rocky-india/?pos=6&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Brahampuri,New Delhi,"Ground Floor, I-36/10, Gali No. 10, Brahampuri, Brahampuri, New Delhi - 110053, Dist.Delhi, Delhi",7942708012,
Baby Walkers,https://www.indiamart.com/proddetail/baby-walkers-22157509291.html?pos=7&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Vikas Enterprises,https://www.indiamart.com/vikasenterprises-shahdara/?pos=7&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Geeta Colony,New Delhi,"No. 7/37, Geeta Colony, 7 Block, Gurudwara Road, Geeta Colony, New Delhi - 110031, Dist.Delhi, Delhi",8048614370,
"15 Inch Kia Baby Walker, 6",https://www.indiamart.com/proddetail/kia-baby-walker-2852426736388.html?pos=8&kwd=baby walkers&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Redplus Toys LLP,https://www.redplustoys.com/?pos=8&kwd=baby walkers&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Loni,Ghaziabad,"Plot No B-9, Sector-A7, Part-1, Ambey Chowk Tronica City, Loni, Loni, Ghaziabad - 201102, Dist.Ghaziabad, Uttar Pradesh",7942868116,
"5 Plastic Baby walker, 6, f28",https://www.indiamart.com/proddetail/baby-walker-20280716273.html?pos=9&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Swing 'N' Fly (A Brand of Zen Marketing),https://www.indiamart.com/zenmarketing-sahibabad/?pos=9&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Alipur,New Delhi,"Ground Floor, Kh No 55/17/2, Pawan Triveni Colony, Village Bakhtawarpur triveni colony, Alipur, New Delhi - 110036, Dist.Delhi, Delhi",7942559295,
Baby Walker Gol Grip Single Horn Sada,https://www.indiamart.com/proddetail/baby-walker-gol-grip-single-horn-sada-2851972107988.html?pos=10&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,Priya Industries,https://www.indiamart.com/priyaindustries-new-delhi/?pos=10&kwd=baby walkers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22735|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9602|v=4,False,Gandhi Nagar,New Delhi,"9/3363, Gali No.8, Dharampura, Gandhi Nagar, Delhi, Gandhi Nagar, New Delhi - 110031, Dist.Delhi, Delhi",8046053493,
