product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Cotton Baby Hooded Wrapper, Size: Medium",https://www.indiamart.com/proddetail/baby-hooded-wrapper-2851308925355.html?pos=1&kwd=baby wraps&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Vardan Home Furnishings,https://www.vardanhomefurnishings.com/?pos=1&kwd=baby wraps&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Chowk,Panipat,"Pehlwan Chowk, Vardan Home Furnishings, Kutani Road, Chowk, Panipat - 132103, Dist.Panipat, Haryana",7942957417,
"Sivam Export Printed Canada Muslin Swaddles, 0 - 2 Years, Size: 120 X 120 cm",https://www.indiamart.com/proddetail/canada-muslin-swaddles-23927365855.html?pos=2&kwd=baby wraps&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Sivam Export,https://www.indiamart.com/sivamexport-karur/?pos=2&kwd=baby wraps&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,,Karur,"6/1 Thiru Nagar,3rd Street, Karur - 639002, Dist.Karur, Tamil Nadu",8046050918,
"Multicolor Kolaco swaddle - Cotton - easy to wrap velcro swaddle, Size: Medium",https://www.indiamart.com/proddetail/kolaco-swaddle-cotton-easy-to-wrap-velcro-swaddle-2854307149848.html?pos=3&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Sidhshlok Enterprises,https://www.indiamart.com/sidhshlokenterprises/?pos=3&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Mulund West,Mumbai,"A-9, Chagpar Khimaji, R R T Road, Mumbai Suburban, Mulund West, Mumbai - 400080, Dist.Mumbai, Maharashtra",7942832648,
Multicolor Organic Muslin Baby Swaddle Wrap,https://www.indiamart.com/proddetail/organic-muslin-baby-swaddle-wrap-23850865191.html?pos=4&kwd=baby wraps&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Meenu's Manchesters,https://www.hotelbedsheet.in/?pos=4&kwd=baby wraps&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Edayankattuvalsu,Erode,"26, Nggo Colony, 1, Edayankattuvalsu, Erode - 638009, Dist.Erode, Tamil Nadu",8048609221,
"mix color Baby Muslin Wraps, Size: Medium",https://www.indiamart.com/proddetail/baby-muslin-wraps-2854017934812.html?pos=5&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Parass Trading,https://www.indiamart.com/parasstrading/?pos=5&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Chembur,Mumbai,"Room no 3, First Floor, Plot no 39, Next to Shivaji Nagar police station,Kherwadi Plot no 39, Chembur, Mumbai - 400071, Dist.Mumbai, Maharashtra",8047631170,
"Multicolor Baby Cotton Muslin Swaddle, Size: Singe",https://www.indiamart.com/proddetail/baby-cotton-muslin-swaddle-2849329098130.html?pos=6&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,ShanBuyers,https://www.indiamart.com/shanbuyers/?pos=6&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Dahisar East,Mumbai,"316, Floor No. 3rd, Sarita Building, Prabhat Ind Complex, Road Western Express Highway, Toll Naka, Dahisar, Dahisar East, Mumbai - 400068, Dist.Mumbai, Maharashtra",8047670828,
"Cotton Soft Fabric Kids Wrapper Set, Size: Medium",https://www.indiamart.com/proddetail/kids-wrapper-set-2852890103497.html?pos=7&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,World 4 Kids,https://www.world4kids.in/?pos=7&kwd=baby wraps&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Masjid,Mumbai,"Shop No 32 Sheriff Devji Street, Chakla, Masjid, Mumbai - 400003, Dist.Mumbai, Maharashtra",8048965492,
"Multicolor Cotton Baby Sleeping Bags, Packaging Type: Box",https://www.indiamart.com/proddetail/baby-sleeping-bags-15275273933.html?pos=8&kwd=baby wraps&tags=A||||8706.263||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Saravana Traders,https://www.indiamart.com/saravana-traders-karur/?pos=8&kwd=baby wraps&tags=A||||8706.263||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,True,Lvb Nagar,Karur,"No. 71, Lvb Nagar, Karur - 639002, Dist.Karur, Tamil Nadu",8048958966,
"Muslin White Newborn Baby Swaddle Wrap, Size: Medium",https://www.indiamart.com/proddetail/newborn-baby-swaddle-wrap-2855090864148.html?pos=9&kwd=baby wraps&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Tetra Clothing,https://www.tetraclothing.in/?pos=9&kwd=baby wraps&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,True,Gopichettipalaiyam,Chennai,"No. 59/28, Balu Building, Gopichettipalaiyam, Chennai - 638476, Dist.Chennai, Tamil Nadu",8048957951,
"Print NEWBORN Cotton Muslin Blanket, Size: Singe",https://www.indiamart.com/proddetail/newborn-cotton-muslin-blanket-2853644302412.html?pos=10&kwd=baby wraps&tags=A||||8231.259|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,Hemp Ecotex,https://www.indiamart.com/hempecotex/?pos=10&kwd=baby wraps&tags=A||||8231.259|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22737|mtp:S|qry_typ:P|lang:en|wc:2|flavl:4|cs:9604|v=4,False,Val,Bhiwandi,"1st Floor, H. No 1661/12 Gala No 106, BL-K, Dharam Complex, Phase-I, Rahnal Village, Val, Bhiwandi - 421302, Maharashtra",7949092530,
