product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Bio Relief Oil, Grade Standard: A",https://www.indiamart.com/proddetail/bio-relief-oil-20271216348.html?pos=1&kwd=bio oil&tags=BA||||8740.707|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Lafiya Biotech,https://www.lafiyabiotech.com/?pos=1&kwd=bio oil&tags=BA||||8740.707|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Sector 63,Sas Nagar,"plot No 79 Phase 9 Industrial Area, Sector 63, Sas Nagar - 140603, Dist.Mohali, Punjab",8048609236,
"100ml Intense Repair Bio Hair Oil, Bottle",https://www.indiamart.com/proddetail/100ml-intense-repair-bio-hair-oil-2851227111688.html?pos=2&kwd=bio oil&tags=BA||||8681.79|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Ayushman Ayurveda,https://www.indiamart.com/ayushmanayurveda/?pos=2&kwd=bio oil&tags=BA||||8681.79|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Vikas Colony,Nabha,"115,Vikas Colony,Patiala, Vikas Colony, Nabha - 147201, Dist.Patiala, Punjab",7942831096,
"Bio Oil, Packaging Size: 60 Ml",https://www.indiamart.com/proddetail/bio-oil-23520969697.html?pos=3&kwd=bio oil&tags=BB||||8752.144||product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Amrit Pharma,https://www.indiamart.com/amrit-pharma-new-delhi/?pos=3&kwd=bio oil&tags=BB||||8752.144||product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,,New Delhi,"663/8, GOVINDPURI Kalkaji, New Delhi - 110019, Dist.Delhi, Delhi",7942649275,
BIO OIL,https://www.indiamart.com/proddetail/bio-oil-19549556430.html?pos=4&kwd=bio oil&tags=BB||||8752.144||product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Jagdamba Medical Store,https://www.indiamart.com/jagdambamedicalstore/?pos=4&kwd=bio oil&tags=BB||||8752.144||product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Milap Bhawan,New Delhi,"Ground Floor Plot No. 1706/7 Bhagirath Palace,Chandni Chowk, Milap Bhawan, New Delhi - 110006, Dist.Delhi, Delhi",8043885954,
"Bio Oil, Packaging Size: 60ml",https://www.indiamart.com/proddetail/bio-oil-2854755723630.html?pos=5&kwd=bio oil&tags=BA||||8752.144|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Mathur Healthcare,https://www.indiamart.com/mathur-healthcare/?pos=5&kwd=bio oil&tags=BA||||8752.144|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,,New Delhi,"Wz-34/15 Vishnu Garden New Delhi, New Delhi - 110018, Dist.Delhi, Delhi",8048370730,7085
Tera Bio Karanja Oil,https://www.indiamart.com/proddetail/tera-bio-karanja-oil-24932462273.html?pos=6&kwd=bio oil&tags=BA||||8954.051|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,Terra Bio Naturals Private Limited,https://www.indiamart.com/terra-bio-naturals-private-limited/?pos=6&kwd=bio oil&tags=BA||||8954.051|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Pammal,Chennai,"No.5 ,Second Floor, Pozhichalur Main Road,, Pammal, Chennai - 600074, Dist.Chennai, Tamil Nadu",8048250235,757
"95% Pure Transparent Bio Oil, Grade: A Grade, Packaging Size: 500ml",https://www.indiamart.com/proddetail/95-pure-transparent-bio-oil-2851289951855.html?pos=7&kwd=bio oil&tags=BB||||7937.187|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,KAI Corporation,https://www.indiamart.com/kaicorporation/?pos=7&kwd=bio oil&tags=BB||||7937.187|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Anjani Nagar,Bhuj,"Hina Park 1 Plot No. 29 Surlpd B/h. Yatimkhana Kachchh, Anjani Nagar, Bhuj - 370001, Dist.Kachchh, Gujarat",7942830132,
Bio Oil,,Sarange Agriculture,https://www.indiamart.com/sarange-agriculture/?pos=8&kwd=bio oil&tags=B||||8559.269||product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,,Indore,"109,Tilak Nagar,Indore,Indore, Indore - 452018, Dist.Indore, Madhya Pradesh",8047311015,6068
Bio Oil,,Qaadir Trading,https://www.indiamart.com/qaadir-trading/?pos=9&kwd=bio oil&tags=BA||||8723.301|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Bhopal,Bhopal,"SHOP NO 45, AZAD MARKET GALI NO 1, Bhopal, Bhopal, Bhopal - 462001, Dist.Bhopal, Madhya Pradesh",8048250277,871
bio powar oil,,Vikas Autoparts,https://www.indiamart.com/vikas-autoparts/?pos=10&kwd=bio oil&tags=BB||||8223.226|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:105829|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9651|v=4,False,Thane West,Thane,"Shop No. 21, Road No. 27 Opposite ITI College, Wagle Estate, Thane West, Thane - 400604, Dist.Thane, Maharashtra",8048263062,443
