product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Disposable Baby Diaper, Age Group: Newly Born",https://www.indiamart.com/proddetail/disposable-baby-diaper-12769162091.html?pos=1&kwd=disposable baby diapers&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Madhav Overseas Corporation,https://www.madhavoverseascorporation.net/?pos=1&kwd=disposable baby diapers&tags=A||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Atal Khel Parisar Main Road,Indore,"Madhav Corporate Scheme No 78 , Sector D ,Plot No 4,, Atal Khel Parisar Main Road, Indore - 452010, Dist.Indore, Madhya Pradesh",8048980263,
"Disposable Baby Diapers, Age Group: 1-2 Years, Size: Medium",https://www.indiamart.com/proddetail/disposable-baby-diapers-2852152378655.html?pos=2&kwd=disposable baby diapers&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Easeplus Healthcare Private Limited,https://www.ezoyplus.in/?pos=2&kwd=disposable baby diapers&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,DD Nagar,Gwalior,"T 1298 K-61,Vrikampur Chouraha,Satabdipuram D D Nagar,Gwalior, DD Nagar, Gwalior - 474005, Dist.Gwalior, Madhya Pradesh",8048265864,
"Disposable Baby Diapers, Age Group: 3to12 Months, Size: Medium",https://www.indiamart.com/proddetail/disposable-baby-diapers-2854236951255.html?pos=3&kwd=disposable baby diapers&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Pleasure Paradise,https://www.wonderfeel.in/?pos=3&kwd=disposable baby diapers&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Sector 137,Noida,"11, T12 1105, Paras Tierea, Sector 137, Sector 137, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8048612980,
"White Printed Disposable Baby Diaper, Age Group: 3-12 Months, Size: Large",https://www.indiamart.com/proddetail/white-printed-disposable-baby-diaper-2852539928288.html?pos=4&kwd=disposable baby diapers&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Glowlyf Tradelink Private Limited,https://www.indiamart.com/glowlyftradelinkprivatelimited/?pos=4&kwd=disposable baby diapers&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,GIDC,Rajkot,"Gidc 2, Plot No 136, Opp. R M Steel, Aji Industrial Estate, Rajkot Industrial Area Dhamalpar, GIDC, Rajkot - 360003, Dist.Rajkot, Gujarat",7942711689,
Disposable Baby Diapers,https://www.indiamart.com/proddetail/disposable-baby-diapers-2853135445133.html?pos=5&kwd=disposable baby diapers&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Jayshi Healthcare Private Limited,https://www.freesteps.in/?pos=5&kwd=disposable baby diapers&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,,Gurugram,"Near Khasi Ram Medical, Gurugram ,HR, 413/4, Jacubpura, Gurugram, New Railway Road near Jeevan multi specialist hospital, Gurugram - 122001, Dist.Gurgaon, Haryana",8045909409,
"Cotton Disposable Loose Baby Diaper (LARGE), Age Group: 1-2 Years, Packaging Size: 500",https://www.indiamart.com/proddetail/loose-baby-diaper-large-24257063630.html?pos=6&kwd=disposable baby diapers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,M. D. Hygiene Private Limited,https://www.mdhygieneindia.com/?pos=6&kwd=disposable baby diapers&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,True,Tadkeshwar,Surat,"Block No. 959, Kim Mandvi Road, Tadkeshwar, Surat - 394170, Dist.Surat, Gujarat",8046050788,
"Bella Happy Baby Diapers Large 80 Pcs, Age Group: 5 Year",https://www.indiamart.com/proddetail/bella-happy-baby-diapers-large-80-pcs-27627308933.html?pos=7&kwd=disposable baby diapers&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,TZMO India South Private Limited,https://www.indiamart.com/tzmoindiasouth/?pos=7&kwd=disposable baby diapers&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,New Timber Yard Layout,Bengaluru,"No.2, 1st Floor, Featherlite Building, Mysore Road, New Timber Yard Layout, New Timber Yard Layout, Bengaluru - 560026, Dist.Bengaluru, Karnataka",8048619127,
"Mix Day Night Care Baby Diapers (Small, Medium, Large), Packaging Type: Pouches, Age Group: 3-12 Months",https://www.indiamart.com/proddetail/day-night-care-baby-diapers-small-medium-large-2851616726548.html?pos=8&kwd=disposable baby diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,MSND Manufacturing,https://www.indiamart.com/msnd-manufacturing/?pos=8&kwd=disposable baby diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Mandoli,New Delhi,"Ground Floor at C-2/80, floor-Kh. No. 34/1/1, G/F, Gali No.2, Harsh Vihar,, Mandoli, New Delhi - 110093, Dist.Delhi, Delhi",8046032266,
BUNNYPOKOPANTS Nonwoven Baby Diaper Pant,https://www.indiamart.com/proddetail/baby-diaper-pant-23265599455.html?pos=9&kwd=disposable baby diapers&tags=A||||9228.171|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,Evergreen Care,https://www.indiamart.com/evergreencare-faizabad/?pos=9&kwd=disposable baby diapers&tags=A||||9228.171|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Faizabad Cantt,Faizabad,"Near Raebareilly Bypass, Faizabad Cantt, Faizabad - 224202, Uttar Pradesh",8046054746,
"Disposable Baby Diapers, Age Group: 1to2 Years, Size: Medium",https://www.indiamart.com/proddetail/disposable-baby-diapers-26885298573.html?pos=10&kwd=disposable baby diapers&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,M S Enterprises,https://www.indiamart.com/m-senterprisesmumbai/?pos=10&kwd=disposable baby diapers&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26674|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9605|v=4,False,Andheri East,Vasai,"1st Floor, Gala No 113, Rajprabha Industrial Enclave No 6, Boidapada, Vasai East Palghar, Andheri East, Vasai - 401208, Dist.Thane, Maharashtra",8048974810,
