product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"7 soft Nonwoven Pant Style Disposable Baby Diaper, Size: Extra Large, Packaging Size: 26 Pieces",https://www.indiamart.com/proddetail/pant-style-disposable-baby-diaper-26211966755.html?pos=1&kwd=disposable diaper&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,M. D. Hygiene Private Limited,https://www.mdhygieneindia.com/?pos=1&kwd=disposable diaper&tags=A||||8230.883|Price|product|||LSlc|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,True,Tadkeshwar,Surat,"Block No. 959, Kim Mandvi Road, Tadkeshwar, Surat - 394170, Dist.Surat, Gujarat",8046050788,
"50+ Fluff Pulp Disposable Diaper, Size: Adult",https://www.indiamart.com/proddetail/disposable-diaper-2850511781430.html?pos=2&kwd=disposable diaper&tags=A||||8211.142||product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Shree Surgicals,https://www.indiamart.com/shreesurgicalsmumbai/?pos=2&kwd=disposable diaper&tags=A||||8211.142||product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Parel,Mumbai,"Shop No. 8,Atit Shopping Enterprise Pvt Ltd,J P Road,Mumbai, Parel, Mumbai - 400053, Dist.Mumbai, Maharashtra",7942817071,
Disposable Adult Diaper,https://www.indiamart.com/proddetail/disposable-adult-diaper-2854287632848.html?pos=3&kwd=disposable diaper&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,BM Hygienecare LLP,https://www.bmhygienecare.com/?pos=3&kwd=disposable diaper&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Dhokaliya,Rajkot,"Madhapar Chowkdi Rajkot- Jamnagar Highway, Dhokaliya, Rajkot - 360007, Dist.Rajkot, Gujarat",8047642184,
Disposable Diaper,https://www.indiamart.com/proddetail/disposable-diaper-16589078197.html?pos=4&kwd=disposable diaper&tags=A||||8703.834|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Kamal Healthcare Products Private Limited,https://www.avmsuperdry.in/?pos=4&kwd=disposable diaper&tags=A||||8703.834|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Ezhil Nagar,Thoothukudi,"2nd Floor, No. 180, North Cotton Road, Ezhil Nagar, Thoothukudi - 628001, Dist.Tuticorin, Tamil Nadu",8048605186,
"Protective Underwear Non Woven Disposable Adult Diaper, Size: Xl",https://www.indiamart.com/proddetail/disposable-adult-diaper-2852110900091.html?pos=5&kwd=disposable diaper&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Shriv Medicare Private Limited,https://www.shrivmedicare.com/?pos=5&kwd=disposable diaper&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Noombal,Chennai,"Plot No.2, Survey No. 15/2B, Vada Noombal Road, Perumalagaram, Tiruverkadu, Noombal, Chennai - 600077, Dist.Chennai, Tamil Nadu",8043830699,
"Disposable Baby Diapers, Age Group: 1to2 Years, Size: Large",https://www.indiamart.com/proddetail/disposable-baby-diapers-2854570905673.html?pos=6&kwd=disposable diaper&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Easeplus Healthcare Private Limited,https://www.ezoyplus.in/?pos=6&kwd=disposable diaper&tags=A||||8830.388|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,DD Nagar,Gwalior,"T 1298 K-61,Vrikampur Chouraha,Satabdipuram D D Nagar,Gwalior, DD Nagar, Gwalior - 474005, Dist.Gwalior, Madhya Pradesh",8048265864,
"Disposable Baby Diapers, Age Group: 1-2 Years, Size: Medium",https://www.indiamart.com/proddetail/disposable-baby-diapers-2852538473397.html?pos=7&kwd=disposable diaper&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,PAC Healthcare & Surgicals,https://www.healthcaredealer.in/?pos=7&kwd=disposable diaper&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Borivali West,Mumbai,"5, Bill Berry Apartment, I. C. Colony, Borivali West, Mumbai - 400103, Dist.Mumbai, Maharashtra",8048960800,
"XXL Disposable Baby Diaper, Age Group: 1-2 Years",https://www.indiamart.com/proddetail/xxl-disposable-baby-diaper-2851359747933.html?pos=8&kwd=disposable diaper&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Aglodia Corporation,https://www.aglodiacorp.com/?pos=8&kwd=disposable diaper&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Goregaon West,Mumbai,"315/2512 motilal nagar 2 MG road Goregaon west, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942842515,
"Pant & Pull Up Pull Ups Disposable Adult Diaper in Delhi, Size: M-l-xl",https://www.indiamart.com/proddetail/disposable-adult-diaper-in-delhi-2850469866991.html?pos=9&kwd=disposable diaper&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Recherche World,https://www.rechercheworld.co.in/?pos=9&kwd=disposable diaper&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Pandav Nagar,New Delhi,"Near Gurudwara, Ground Floor, A-13-14, Gali No.01, Pandav Nagar, East Delhi, Pandav Nagar, New Delhi - 110092, Dist.Delhi, Delhi",8047312171,
DISPOSABLE ADULT DIAPER STICKY TYPES.,https://www.indiamart.com/proddetail/disposable-adult-diaper-sticky-types-24385224897.html?pos=10&kwd=disposable diaper&tags=A||||8503.868|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,Fasten Medical Private Limited,https://www.indiamart.com/fasten-medical/?pos=10&kwd=disposable diaper&tags=A||||8503.868|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:26680|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8395|v=4,False,Karukutty,Kochi,"2/290a,ground Floor, Fasten Medical Pvt Ltd, Aseezi Nagar Road, Mambra, Karukutty, ,, Karukutty, Kochi - 683576, Dist.Ernakulam, Kerala",8048617782,
