product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Red Three fourth sleeve Feeding Kurti Feeding Dress, Size: XXL",https://www.indiamart.com/proddetail/feeding-kurti-feeding-dress-2852611818855.html?pos=1&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Namokar Enterprises,https://www.indiamart.com/namokarenterprises/?pos=1&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Mansarovar,Jaipur,"119/67, Thadi Market, Agarwal Farm, Mansarovar, Mansarovar, Jaipur - 302020, Dist.Jaipur, Rajasthan",8047530717,
Green Feeding Dress,https://www.indiamart.com/proddetail/feeding-dress-10785533891.html?pos=2&kwd=feeding dress&tags=A||||8601.347|Price|product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Jaipuri Bandhej,https://www.jaipuribandhej.net/?pos=2&kwd=feeding dress&tags=A||||8601.347|Price|product|||LSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Vidhyadhar Nagar,Jaipur,"Laxmi Niwas, 42-A, Hans Vatika Naya Khera, Vidhyadhar Nagar, Vidhyadhar Nagar, Jaipur - 302039, Dist.Jaipur, Rajasthan",8048619795,
"Multicolor Half Cotton Feeding Dress, Size: Free",https://www.indiamart.com/proddetail/cotton-feeding-dress-2852798499997.html?pos=3&kwd=feeding dress&tags=A||||8626.744|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Rainbow Creations,https://www.indiamart.com/rainbowcreations/?pos=3&kwd=feeding dress&tags=A||||8626.744|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Renganatha Puram,Tiruppur,"No. 7- 24, murugasamy layout 1street, Renganatha Puram, Tiruppur - 641607, Dist.Coimbatore, Tamil Nadu",8048955272,
Feeding Dress,https://www.indiamart.com/proddetail/feeding-dress-2853132531133.html?pos=4&kwd=feeding dress&tags=A||||8601.347|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Runway Enterprises,https://www.indiamart.com/runwayenterprises/?pos=4&kwd=feeding dress&tags=A||||8601.347|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Jamna Puri,Jaipur,"Plot No 133, Benar Road, Scheme Shri Jorawar Nagar,, Jamna Puri, Jaipur - 302039, Dist.Jaipur, Rajasthan",7942718276,
Pink Feeding Maxi Dress,https://www.indiamart.com/proddetail/feeding-maxi-dress-23033263091.html?pos=5&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Mudrika Fashions (A Brand of Silver Organisation),https://www.indiamart.com/silverorganisation/?pos=5&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Luniawas,Jaipur,"A-1, Kanji Nagar, Luniawas, Jaipur - 302031, Dist.Jaipur, Rajasthan",8046042577,
Feeding Dress,https://www.indiamart.com/proddetail/feeding-dress-2851639917973.html?pos=6&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Hkf Jaipur Industries Private Limited,https://www.hkfjaipurindustries.com/?pos=6&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Sanganer Shri Rampura,Jaipur,"PLOT NO. 72, 1ST FLOOR, GOPI NAGAR, RAILWAY STATION ROAD,, Sanganer Shri Rampura, Jaipur - 302029, Dist.Jaipur, Rajasthan",8047674124,
Ladies Hosiery Cotton Feeding Nighty,https://www.indiamart.com/proddetail/ladies-hosiery-cotton-feeding-nighty-2853761695455.html?pos=7&kwd=feeding dress&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Aggarwal & Sons,https://www.indiamart.com/aggarwal-sons-dehli/?pos=7&kwd=feeding dress&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Karawal Nagar,New Delhi,"H No.-3 G/f Kh No.-5/27/1 ,Main Road Kamal Vihar Nr Police Station, Karawal Nagar, New Delhi - 110094, Dist.Delhi, Delhi",7942804253,
"3/4 Sleeve Feeding Anarkali Kurtis, XL",https://www.indiamart.com/proddetail/feeding-anarkali-kurtis-2852226385833.html?pos=8&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Luxury Fashion,https://www.indiamart.com/luxury-fashion/?pos=8&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Sanganer Bazar,Jaipur,"Plot No 13, Suraj Nagar, Dadabadi, Sanganer,, Sanganer Bazar, Jaipur - 302029, Dist.Jaipur, Rajasthan",7942707166,
Cotton Ladies Feeding Dress,https://www.indiamart.com/proddetail/ladies-feeding-dress-2854258268630.html?pos=9&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Pooja Trends,https://www.indiamart.com/poojatrends-jaipur/?pos=9&kwd=feeding dress&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Sanganer Jaipur,Jaipur,"Nk Tower , Shop no. 3 Nagar Nigam Road, Sanganer Jaipur, Jaipur - 302029, Dist.Jaipur, Rajasthan",8048211271,
"Small Ladies Short Cotton Kurtis, Printed",https://www.indiamart.com/proddetail/ladies-short-cotton-kurtis-2854860804555.html?pos=10&kwd=feeding dress&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,Fashion Gaon,https://www.indiamart.com/fashiongaon/?pos=10&kwd=feeding dress&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:190782|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9656|v=4,False,Shashwat Plaza Parvat Patiya,Surat,"Shashwat Plaza, Puna Brts,Canal Road, 7600124242, Shashwat Plaza Parvat Patiya, Surat - 395010, Dist.Surat, Gujarat",7942710160,
