product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Little One Orange 500gm Suction Plates Babies, 3-12 Months",https://www.indiamart.com/proddetail/500gm-suction-plates-babies-26634104962.html?pos=1&kwd=feeding set&tags=A||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Anand Enterprises,https://www.indiamart.com/anand-enterprisesfaridabad/?pos=1&kwd=feeding set&tags=A||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Sect,Faridabad,"72 Kheri Road Kastori Faridabad, Sect, Faridabad - 121002, Dist.Faridabad, Haryana",7942703101,
Blue Silicon baby feeding set,https://www.indiamart.com/proddetail/silicon-baby-feeding-set-2854472687162.html?pos=2&kwd=feeding set&tags=A||||7981.7773|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Shreeji Enterprise,https://www.indiamart.com/shreejienterprisegandhidham/?pos=2&kwd=feeding set&tags=A||||7981.7773|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Golden Heights,Gandhidham,"108, Golden Height, Opposite Hotel Shiv Grand, Behind Petrol Pump, Golden Heights, Gandhidham - 370201, Dist.Kachchh, Gujarat",7942553471,
PP Feeding Cup Milk/Medicine,,Kapoor Agencies,https://www.sagarproducts.co.in/?pos=3&kwd=feeding set&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Shahdara,New Delhi,"Iv/1697,Mahavir Block,Bhola Nath Nagar,Shahdar, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",8046069171,
"Baby Feeding Set For Kids And Toddlers,Children Children Dinnerware Set 8175",https://www.indiamart.com/proddetail/baby-feeding-set-for-kids-and-toddlers-children-children-dinnerware-set-8175-2853261534712.html?pos=4&kwd=feeding set&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Deodap,https://www.indiamart.com/deodap/?pos=4&kwd=feeding set&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Rajkot,Rajkot,"plot No. 9 Behind Patanjali Werhouse, Ruda Transport, Saat Hanuman Ahemdabad Road, Rajkot, Rajkot - 360005, Dist.Rajkot, Gujarat",8048972316,
Silicone Baby Feeding Set Of 8 Pcs,,ABK Impex,https://www.indiamart.com/abk-impex-delhi/?pos=5&kwd=feeding set&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Wazirpur Industrial Area,New Delhi,"C-56/2, First Floor, Wazirpur Industrial Area Road, New Delhi, Wazirpur Industrial Area, New Delhi - 110052, Dist.Delhi, Delhi",7942821519,
"Silicone Baby Feeding Set, 6pcs Baby Feeding Product,Suction Plate, Bowl,Cup, Spoon, Fork",https://www.indiamart.com/proddetail/silicone-baby-feeding-set-6pcs-baby-feeding-product-suction-plate-bowl-cup-spoon-fork-2854759955833.html?pos=6&kwd=feeding set&tags=BB||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Tallin Sales,https://www.indiamart.com/tallin-sales/?pos=6&kwd=feeding set&tags=BB||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Singanpor,Surat,"Lakshmi Enclave Basement near Gajera School, Singanpor, Surat - 395004, Dist.Surat, Gujarat",7942542891,
White 10 Months Feeding Set Silicone Plate,https://www.indiamart.com/proddetail/10-months-feeding-set-silicone-plate-2852885366230.html?pos=7&kwd=feeding set&tags=BA||||8457.459|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,B4brain Labs LLP,https://www.indiamart.com/b4brainlabs/?pos=7&kwd=feeding set&tags=BA||||8457.459|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Palazhi,Kozhikode,"Door No 12/478, C/o Ahamed Shafi E P, Ariyayil Potta Vellayikode, Perumanna, Palazhi, Kozhikode - 673019, Dist.Kozhikode, Kerala",7942721906,
"Lilly Ware Baby Feeding Plate, 1-2 Years",https://www.indiamart.com/proddetail/baby-feeding-plate-2853129355333.html?pos=8&kwd=feeding set&tags=BA||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,G's Grace,https://www.indiamart.com/gsgrace/?pos=8&kwd=feeding set&tags=BA||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,New Industrial Township 5,Faridabad,"Ground Floor 19 Block G, NIT 5, New Industrial Township 5, Faridabad - 121001, Dist.Faridabad, Haryana",7942723249,
Feeding Toddler Bowl,https://www.indiamart.com/proddetail/feeding-toddler-bowl-23948426091.html?pos=9&kwd=feeding set&tags=BA||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Madhav Enterprise,https://www.indiamart.com/madhav-enterpriserajkot-gujarat/?pos=9&kwd=feeding set&tags=BA||||8038.093|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Kothariya,Rajkot,"New Ganeshnagar Streetno-5, Near Bapa Sitaram Chowk , Kothariya Main Road, Ganesh Marbel Street,, Kothariya, Rajkot - 360002, Dist.Rajkot, Gujarat",8048613186,
Yellow Printed Baby Feeding Set,https://www.indiamart.com/proddetail/printed-baby-feeding-set-2852681277991.html?pos=10&kwd=feeding set&tags=BA||||8752.144|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,Diamond Cubik,https://www.indiamart.com/diamond-cubik/?pos=10&kwd=feeding set&tags=BA||||8752.144|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:68319|mtp:S|qry_typ:P|lang:en|wc:2|flavl:3|cs:9608|v=4,False,Punjabi Bagh,New Delhi,"House No 8, Temp Road NO. 22, Punjabi Bagh East, North West, Punjabi Bagh, New Delhi - 110026, Dist.Delhi, Delhi",7942716381,
