product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Black And Blue 3.15ft 8 Wheel Baby Stroller,https://www.indiamart.com/proddetail/8-wheel-baby-stroller-2852721419830.html?pos=1&kwd=folding stroller&tags=A||||8785.791|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Falguni Baby Product,https://www.indiamart.com/falguni-baby-product/?pos=1&kwd=folding stroller&tags=A||||8785.791|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,,Ghaziabad,"E - 19, Sector A - 7 P - 1, Tronica City, Ghaziabad - 201102, Dist.Ghaziabad, Uttar Pradesh",8045731457,
"Black Alloy Baby Folding Stroller Pram, Age Group: 1-3 years, Packaging Type: Carton Box",https://www.indiamart.com/proddetail/baby-folding-stroller-pram-2853643799997.html?pos=2&kwd=folding stroller&tags=A||||8206.45|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,APDD E Commerce India LLP,https://www.indiamart.com/apddecommerceindia/?pos=2&kwd=folding stroller&tags=A||||8206.45|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Vishnu Nagar,Palghar,"2ndFloor, Block No.301,D-Wing, Jivadani Complex, Mahim Road, National Cooperative Bank, Vishnu Nagar, Vishnu Nagar, Palghar - 401404, Dist.Thane, Maharashtra",8047307898,
Zippie Voyage - Early Intervention Stroller,https://www.indiamart.com/proddetail/zippie-voyage-early-intervention-stroller-22242706362.html?pos=3&kwd=folding stroller&tags=BA||||8663.873||product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,KTWO Healthcare Private Limited,https://www.theprosthesis.com/?pos=3&kwd=folding stroller&tags=BA||||8663.873||product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Bilekahalli,Bengaluru,"No. 93, 2nd floor, 6th Cross, 2nd Stage, BTM Layout, Bilekahalli, Bengaluru - 560076, Dist.Bengaluru, Karnataka",8048989676,
"Blue Metal & Cloth Pram (Cutie Dlx.) Crome Wheel, Age Group: Newly Born, Packaging Type: Box",https://www.indiamart.com/proddetail/cloth-baby-pram-crome-2850512777233.html?pos=4&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Steel Art (A Brand Of Mittal Enterprises),https://www.indiamart.com/mittalentps-delhi/?pos=4&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Mundka,New Delhi,"Ground Floor, Plot At Khasra No. 66/22, Gali No. 2, Mundka, Mundka, New Delhi - 110041, Dist.Delhi, Delhi",8046044378,
"Mild Steel,Polyester Cotton Baby Dyna Pram Deluxe With Reversible Handle, 6",https://www.indiamart.com/proddetail/baby-dyna-pram-deluxe-with-reversible-handle-21911570433.html?pos=5&kwd=folding stroller&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,New Natraj Industries,https://www.indiamart.com/newnatrajindustries/?pos=5&kwd=folding stroller&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Andheri,Mumbai,"2nd,47 A,VEERA DESAI ROAD,GHANSHYAM INDUSTRIAL ESTATE,ANDHERI WEST, Andheri, Mumbai - 400053, Dist.Mumbai, Maharashtra",8048609903,
"Pink Plastic Baby Folding Stroller, Age Group: 3-12 Months, Packaging Type: Cartoon",https://www.indiamart.com/proddetail/baby-folding-stroller-2854781841297.html?pos=6&kwd=folding stroller&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=6&kwd=folding stroller&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
PATOYS | Asalvo Spain 14221 Double Stroller - Black,https://www.indiamart.com/proddetail/patoys-asalvo-spain-14221-double-stroller-black-2851579840833.html?pos=7&kwd=folding stroller&tags=BA||||8793.739|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Patoys,https://www.indiamart.com/patoys/?pos=7&kwd=folding stroller&tags=BA||||8793.739|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Krishna Nagar,Mathura,"Ground Floor Shop No - 3 Krishna Nagar Krishna Plaza, Krishna Nagar, Mathura - 281004, Dist.Mathura, Uttar Pradesh",,
Red And Black 2 Side Baby Seaters,https://www.indiamart.com/proddetail/2-side-kids-stroller-2854745876912.html?pos=8&kwd=folding stroller&tags=BB||||8230.883|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Shree Shree Khilona,https://www.indiamart.com/shreeshree-khilona/?pos=8&kwd=folding stroller&tags=BB||||8230.883|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Turava Compound Heera Bagh,Surat,"Lower Ground Floor, Shop No-L/9 To L/13, Sarthi CO-OP Housing Society LTD, Varachha Main Road, Turava Compound Heera Bagh, Surat - 395006, Dist.Surat, Gujarat",7949322132,
Polyester Baby Stroller,https://www.indiamart.com/proddetail/baby-stroller-20830363362.html?pos=9&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Gupta Plastic Works,https://www.indiamart.com/guptaplasticworks/?pos=9&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,Azadpur,New Delhi,"A-80/1, G.T. Karnal Road, Industrial Area, Azadpur, New Delhi - 110033, Dist.Delhi, Delhi",8046032300,
"Multicolor 2.5 Feet Baby Stroller Pram, 8 Wheel, Packaging Type: Box Packing",https://www.indiamart.com/proddetail/baby-stroller-pram-2854219439473.html?pos=10&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,Indial Premium Products,https://www.indiamart.com/indial-premium-products/?pos=10&kwd=folding stroller&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:104570|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:8343|v=4,False,,New Delhi,"68, K Block, Jahangirpuri North West Delhi, New Delhi - 110033, Dist.Delhi, Delhi",8045732973,
