product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Adults & Patients Pull Ups Friends Easy Adult Diapers Large,https://www.indiamart.com/proddetail/friends-easy-adult-diapers-large-2850127040191.html?pos=1&kwd=friends adult diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Recherche World,https://www.rechercheworld.co.in/?pos=1&kwd=friends adult diapers&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Pandav Nagar,New Delhi,"Near Gurudwara, Ground Floor, A-13-14, Gali No.01, Pandav Nagar, East Delhi, Pandav Nagar, New Delhi - 110092, Dist.Delhi, Delhi",8047312171,
"Friends Adult Diapers, Size: Medium",https://www.indiamart.com/proddetail/friends-adult-diapers-2850791515933.html?pos=2&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Shree Surgicals,https://www.indiamart.com/shreesurgicalsmumbai/?pos=2&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Parel,Mumbai,"Shop No. 8,Atit Shopping Enterprise Pvt Ltd,J P Road,Mumbai, Parel, Mumbai - 400053, Dist.Mumbai, Maharashtra",7942817071,
"Friends Large Pull Ups Adult Diaper, 10 Pic",https://www.indiamart.com/proddetail/friends-large-pull-ups-adult-diaper-26403635797.html?pos=3&kwd=friends adult diapers&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Novelty Hosiery,https://www.indiamart.com/novelty-hosiery/?pos=3&kwd=friends adult diapers&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Chokshi Bazar,Vadodara,"M G Road 00 Laheripura Gate Nr Angadiya Gali, Chokshi Bazar, Vadodara - 390001, Dist.Vadodara, Gujarat",7942565948,
"Friends Adult Diapers, Size: Large",https://www.indiamart.com/proddetail/friends-adult-diapers-2852883815330.html?pos=4&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,S N Surgicals,https://www.indiamart.com/snsurgicals-mumbai/?pos=4&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Dahisar,Mumbai,"Shop No. G-16, Sai Krupa Mall, LT Road, Opp Railway Station, Dahisar West Suburban, Dahisar, Mumbai - 400068, Dist.Mumbai, Maharashtra",7942968320,
"Stick On Friends Adult Diapers Medium, Waist Size: 29""-40'', 1",https://www.indiamart.com/proddetail/friends-adult-diapers-medium-20085049062.html?pos=5&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||SSnp|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,PAC Healthcare & Surgicals,https://www.healthcaredealer.in/?pos=5&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||SSnp|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Borivali West,Mumbai,"5, Bill Berry Apartment, I. C. Colony, Borivali West, Mumbai - 400103, Dist.Mumbai, Maharashtra",8048960800,
Friends Adult Diapers Pants Xl,https://www.indiamart.com/proddetail/friends-adult-diapers-pants-xl-2853951653791.html?pos=6&kwd=friends adult diapers&tags=A||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Jindal Tradelinks,https://www.indiamart.com/jindaltradelinksnagpur/?pos=6&kwd=friends adult diapers&tags=A||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Sitabuldi,Nagpur,"House No. 330, Jindal House, Sitabuldi, Nagpur - 440012, Dist.Nagpur, Maharashtra",7942536296,
Friends Adult Diapers,https://www.indiamart.com/proddetail/friends-adult-diapers-2852623891773.html?pos=7&kwd=friends adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Chris Merchant Private Limited,https://www.chrismerchant.co.in/?pos=7&kwd=friends adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Koyambedu,Chennai,"No. 5, Poonamalee High Road, Koyambedu, Chennai - 600107, Dist.Chennai, Tamil Nadu",8048956521,
"Belted Undergarments Friends Adult Diapers, Waist Size: 38-60 inches, Size: Large",https://www.indiamart.com/proddetail/friends-adult-diapers-21048860262.html?pos=8&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||LSnp|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Maxtech,https://www.maxtechhealth.in/?pos=8&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||LSnp|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Rani Sati Marg,Mumbai,"Shop No. 10, Pragati Shopping Centre Manchu Bhai Road, Rani Sati Marg, Mumbai - 400097, Dist.Mumbai, Maharashtra",8048970842,
"Friends Adult Diaper, Size: Medium",https://www.indiamart.com/proddetail/friends-adult-diaper-2850802807833.html?pos=9&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Fine Health Care,https://www.indiamart.com/fine-health-care/?pos=9&kwd=friends adult diapers&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Kandivali East Mumbai Suburban,Mumbai,"GR19, Wing-J, Shree Gokul Garden CHS LTD, Thakur Complex, W E Highway, NR Camre School, Kandivali East Mumbai Suburban, Mumbai - 400101, Dist.Mumbai, Maharashtra",7949324611,
"Briefs Friends Disposable Adult Diaper, Size: Large",https://www.indiamart.com/proddetail/friends-disposable-adult-diaper-2853156175755.html?pos=10&kwd=friends adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,Murugan Surgicals,https://www.murugansurgicals.co.in/?pos=10&kwd=friends adult diapers&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1-br|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:184743|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9912|v=4,False,Mint Building,Chennai,"Old No.34/35 Newno.87, Walltax Road, Mint Building, Chennai - 600001, Dist.Chennai, Tamil Nadu",8048974268,
