product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Printed Glass Baby Feeding Bottle, 3-12 Months",https://www.indiamart.com/proddetail/printed-glass-baby-feeding-bottle-23215958162.html?pos=1&kwd=glass baby feeding bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Shri Siddhivinayak Traders,https://www.indiamart.com/shrisiddhivinayaktraders-firozpur/?pos=1&kwd=glass baby feeding bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Basti Nizamdin,Firozpur,"No.94, Anand Avenue, Backside Marked Office, Malwal Road, Firozpur City, Basti Nizamdin, Firozpur - 152002, Dist.Firozpur, Punjab",8046066644,
"Transparent Glass Baby Feeding Bottle with silicone cover, Capacity: 150 mL",https://www.indiamart.com/proddetail/glass-baby-feeding-bottle-with-silicone-cover-2855096770155.html?pos=2&kwd=glass baby feeding bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Shraddha Saburi,https://www.indiamart.com/shraddhasaburi/?pos=2&kwd=glass baby feeding bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Cantonment Area,Firozpur,"263, Suji Bazar, M/s Shraddha Saburi, Ferozepur Cantt, Cantonment Area, Firozpur - 152001, Dist.Firozpur, Punjab",8048979628,
Baby Glass Feeding Bottle 120ml With Sleeve (Cover),https://www.indiamart.com/proddetail/baby-glass-feeding-bottle-120ml-with-sleeve-cover-2854979627573.html?pos=3&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=3&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
"Transparent Plastic Feeding Bottle, Capacity: 200 mL, Baby",https://www.indiamart.com/proddetail/baby-feeding-bottle-2854899842891.html?pos=4&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Dua Traders,https://www.indiamart.com/duatraders-delhi/?pos=4&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Mandoli,New Delhi,"Plot No. 8, Kh No. 4/24, Mela Ram Vatika, E-block, JR Complex No. 4, Mandoli, Sevadham, Mandoli, New Delhi - 110093, Dist.Delhi, Delhi",8048971741,
"URBAN CUBE Transparent Glass Baby Feeding Bottle, 3-12 Months",https://www.indiamart.com/proddetail/glass-baby-feeding-bottle-26438729997.html?pos=5&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Urbancube,https://www.indiamart.com/urbancube/?pos=5&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||SSnp|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Kamla Nagar,New Delhi,"Ground Floor, 14 UA, Jawahar Nagar, Kamla Nagar, New Delhi - 110007, Dist.Delhi, Delhi",8048980014,
"750ml Gloory Borosilicate Glass Water Bottle, For Home",https://www.indiamart.com/proddetail/750ml-gloory-borosilicate-glass-water-bottle-2849817200255.html?pos=6&kwd=glass baby feeding bottle&tags=BA||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Excel Industries,https://www.borosilicateglassindia.com/?pos=6&kwd=glass baby feeding bottle&tags=BA||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Gandhi Nagar,Ambala,"2/14/4, Punjabi Bagh, Near Drum Factory, Gandhi Nagar, Ambala - 133001, Dist.Ambala, Haryana",7942797708,
Multicolored Baby Feeding Bottle Cover,https://www.indiamart.com/proddetail/multicolored-baby-feeding-bottle-cover-20730819712.html?pos=7&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,National Overseas,https://www.indiamart.com/nationaltraders-vishwashnagar/?pos=7&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Shahdara,New Delhi,"1/99, Gali No. 3, Vishwas Nagar, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",8046047673,
"Transparent Borosilicate Glass Baby Feeding Bottle, Capacity: 100 mL",https://www.indiamart.com/proddetail/borosilicate-glass-baby-feeding-bottle-2854399303591.html?pos=8&kwd=glass baby feeding bottle&tags=A||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Myson Exports Assistance,https://www.indiamart.com/myson-exports-assistance/?pos=8&kwd=glass baby feeding bottle&tags=A||||8741.987|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Sadar Bazar,Ambala,"Shop No 4, Ist Floor, 5507-11/5555 Anaj Mandi, Nicholson Road, Ambala Cantt, Sadar Bazar, Ambala - 133001, Dist.Ambala, Haryana",8046073164,
Transparent SKYBLUE - Baby Glass Feeding Bottle - 120ml,https://www.indiamart.com/proddetail/skyblue-baby-glass-feeding-bottle-120ml-2853805041433.html?pos=9&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=9&kwd=glass baby feeding bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
300 Ml Baby Milk Glass Bottle,https://www.indiamart.com/proddetail/300-ml-baby-milk-glass-bottle-23552281188.html?pos=10&kwd=glass baby feeding bottle&tags=A||||8861.147|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,Eagle Glass Deco Private Limited,https://www.indiamart.com/eagleglassdeco/?pos=10&kwd=glass baby feeding bottle&tags=A||||8861.147|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:443896|mtp:S|qry_typ:P|lang:en|wc:4|flavl:0|cs:9663|v=4,True,Sukhmalpur Nizamabad,Firozabad,"C-19, 20, Industrial Estate Bhau Ka Nagla, Sukhmalpur Nizamabad, Firozabad - 283203, Dist.Firozabad, Uttar Pradesh",8047631366,
