product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Colorless Babuline Carminative Water 200ml, Packaging Type: Plastic Bottle",https://www.indiamart.com/proddetail/babuline-carminative-water-200ml-25996472862.html?pos=1&kwd=gripe mixture&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Babuline Pharma Pvt. Ltd.,https://www.babuline.net/?pos=1&kwd=gripe mixture&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Mazgaon,Mumbai,"406, 4th Floor, Gulab Building, 237 P D Mello Road, Fort, Mazgaon, Mumbai - 400001, Dist.Mumbai, Maharashtra",8048964178,
"Gripe Mixture Syrup, Newly Born",https://www.indiamart.com/proddetail/gripe-mixture-syrup-2854708535773.html?pos=2&kwd=gripe mixture&tags=A||||9110.092|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Barkat Homeo Hall,https://www.indiamart.com/barkathomeohall/?pos=2&kwd=gripe mixture&tags=A||||9110.092|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,,Lucknow,"292/84, Shop No.B-3, UGF, Victoria Street, Chowk, Lucknow - 226003, Dist.Lucknow, Uttar Pradesh",8041015114,
"Mayons Gripe Mixture, 1 month",https://www.indiamart.com/proddetail/mayons-gripe-mixture-2849503461455.html?pos=3&kwd=gripe mixture&tags=BB||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Mayons Pharmaceuticals Private Limited,https://www.mayonspharma.com/?pos=3&kwd=gripe mixture&tags=BB||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Kalmana,Nagpur,"1 Khasra No. 75/1 Plot No. 17, Mayons Pharmaceuticals Pvt. Ltd, Old Kamptee Road Kalmana, Octroi Nak A No. 4, Kalmana, Nagpur - 440026, Dist.Nagpur, Maharashtra",8046036132,
"Wheezal White 150ml Baby Bliss Gripe Mixture, Packaging Type: Box, Newly Born",https://www.indiamart.com/proddetail/150ml-baby-bliss-gripe-mixture-2850652604648.html?pos=4&kwd=gripe mixture&tags=BA||||8954.051|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Starmed Pharmacy,https://www.indiamart.com/starmedpharmacy-chennai/?pos=4&kwd=gripe mixture&tags=BA||||8954.051|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Selaivayal,Chennai,"Plot No 52, Parthasarathy Street, KK Thazhai, MMC Post, Chennai, Selaivayal, Chennai - 600051, Dist.Chennai, Tamil Nadu",7942959094,
"Transparent HL Gripe Mixture Water, Packaging Type: Box, 3-12 Months",https://www.indiamart.com/proddetail/hl-gripe-mixture-water-2852385334830.html?pos=5&kwd=gripe mixture&tags=BA||||9520.041|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,New Reasonable Homoeo Pharmacy,https://www.indiamart.com/newreasonable-homoeo-pharmacy/?pos=5&kwd=gripe mixture&tags=BA||||9520.041|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Bakarganj,Patna,"1, Sabjibagh, Bakarganj, Patna - 800004, Dist.Patna, Bihar",7942705401,
Gripe Mixture,,Jai Maa Tara Distributors,https://www.indiamart.com/jai-maatara-homeohall/?pos=6&kwd=gripe mixture&tags=BB||||9842.824|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,DR A K JHA CLINIC,Hooghly,"No. 674, Sri Krishna Nagar, Rishra, P. O. Pravashnagar, Near Jhaji Mor, Hooghly, West Bengal 712249 Rishra, DR A K JHA CLINIC, Hooghly - 712249, Dist.Hooghly, West Bengal",8047763809,
"Gripe Mixture Syrup, Packaging Type: Bottle, 1-2 Years",https://www.indiamart.com/proddetail/gripe-mixture-syrup-9370402562.html?pos=7&kwd=gripe mixture&tags=CC||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Medilife Impex Private Limited,https://www.indiamart.com/medilifeimpex/?pos=7&kwd=gripe mixture&tags=CC||||8876.815|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Nildoh,Nagpur,"M-30, Opposite Candico, MIDC Industrial Area Nildoh, Hingna, Nildoh, Nagpur - 440016, Dist.Nagpur, Maharashtra",8048969098,
"Aammi White Baby Gripe Mixture, Packaging Type: Bottle, Newly Born",https://www.indiamart.com/proddetail/baby-gripe-mixture-2853269539712.html?pos=8&kwd=gripe mixture&tags=CC||||8584.299|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Aammii Tharcharbu Santhai,https://www.indiamart.com/aammii-tharcharbu-santhai/?pos=8&kwd=gripe mixture&tags=CC||||8584.299|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Selvapuram,Coimbatore,"69 Nsk Street, Selvapuram, Selvapuram, Coimbatore - 641026, Dist.Coimbatore, Tamil Nadu",7949222295,
"Black Allen Gripe Mixture Syrup, Packaging Type: Bottle, Newly Born",https://www.indiamart.com/proddetail/allen-gripe-mixture-syrup-2853663295230.html?pos=9&kwd=gripe mixture&tags=CC||||8601.347||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Shekhawat Homoeo Store,https://www.indiamart.com/shekhawathomoeostore/?pos=9&kwd=gripe mixture&tags=CC||||8601.347||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Nahri Ka Naka,Jaipur,"B-1 Maharana Pratap Marg Near Panchmukhi Hanuman Colony, Nahri Ka Naka, Nahri Ka Naka, Jaipur - 302016, Dist.Jaipur, Rajasthan",7949372489,
"Ayurvedic Gripe Water, Packaging Type: Bottle",https://www.indiamart.com/proddetail/ayurvedic-gripe-water-2852688982497.html?pos=10&kwd=gripe mixture&tags=||||8754.115|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,Stelvedic(A Division of Stellar Bio Labs),https://www.stelvedic.in/?pos=10&kwd=gripe mixture&tags=||||8754.115|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:193016|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9645|v=4,False,Sector 8,Panchkula,"Plot No 340 Industrail Area Phase 2 Stellar Biolabs, Sector 8, Panchkula - 134112, Dist.Panchkula, Haryana",7942717030,
