product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"GRIPE-WATER, More than 12 months, Packaging Size: 130 ml",https://www.indiamart.com/proddetail/gripe-water-130ml-2853437476391.html?pos=1&kwd=gripe water&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Shived Life Medicare,https://www.indiamart.com/shivedlifemedicare/?pos=1&kwd=gripe water&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Bopal,Ahmedabad,"A-117, Sobo Centre Gala Gymkhana Rad, Bopal, Ahmedabad - 380058, Dist.Ahmedabad, Gujarat",7942553059,
"Babuline Natural Gripe Water, Packaging Type: Bottle",https://www.indiamart.com/proddetail/natural-gripe-water-4835131388.html?pos=2&kwd=gripe water&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Babuline Pharma Pvt. Ltd.,https://www.babuline.net/?pos=2&kwd=gripe water&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Mazgaon,Mumbai,"406, 4th Floor, Gulab Building, 237 P D Mello Road, Fort, Mazgaon, Mumbai - 400001, Dist.Mumbai, Maharashtra",8048964178,
"SHB Mother Sparsh Ayurvedic Gripe Water, Packaging Type: Bottle, 3-12 Months",https://www.indiamart.com/proddetail/mother-sparsh-ayurvedic-gripe-water-22904103233.html?pos=3&kwd=gripe water&tags=A||||8580.032|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Sri Herbasia Biotech Private Limited,https://www.mamalovesgummies.com/?pos=3&kwd=gripe water&tags=A||||8580.032|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Industrial Area,Amritsar,"36,INDUSTRIAL AREA,BALKALAN,AMRITSAR, Industrial Area, Amritsar - 143001, Dist.Amritsar, Punjab",8047647032,
"Woodwards Gripe Water, Newly Born, Packaging Size: 130ml",https://www.indiamart.com/proddetail/woodwards-gripe-water-2850225882962.html?pos=4&kwd=gripe water&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,New Mahalaxmi Agenciy,https://www.newmahalaxmiagency.in/?pos=4&kwd=gripe water&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Sadashiv Peth,Pune,"S.N.837, Shop No.1A/1B, Ground Floor, Off Kumthekar Road, Sadashiv Peth, Sadashiv Peth, Pune - 411030, Dist.Pune, Maharashtra",7942816563,
"Lexine Herbal Gripe Water, Packaging Type: Box, 3-12 Months",https://www.indiamart.com/proddetail/gripe-water-26168032030.html?pos=5&kwd=gripe water&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Lexine Technochem Private Limited,https://www.lexine.in/?pos=5&kwd=gripe water&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,True,Sayajigunj,Vadodara,"Opposite World Trade Center, 202, 2nd Flower, Sayajigunj, Sayajigunj, Vadodara - 390005, Dist.Vadodara, Gujarat",7942564658,
"Ayurvedic Gripe Water, Packaging Type: Bottle",https://www.indiamart.com/proddetail/ayurvedic-gripe-water-2852688982497.html?pos=6&kwd=gripe water&tags=A||||8754.115|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Stelvedic(A Division of Stellar Bio Labs),https://www.stelvedic.in/?pos=6&kwd=gripe water&tags=A||||8754.115|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Sector 8,Panchkula,"Plot No 340 Industrail Area Phase 2 Stellar Biolabs, Sector 8, Panchkula - 134112, Dist.Panchkula, Haryana",7942717030,
"Gripe Water, Packaging Size: 100 ml",https://www.indiamart.com/proddetail/100-ml-gripe-water-23642575648.html?pos=7&kwd=gripe water&tags=A||||8810.737|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Varah Healthcare,https://www.varahhealth.in/?pos=7&kwd=gripe water&tags=A||||8810.737|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Haqikatnagar,Saharanpur,"81 C, U.P.S.I.D.C, Pilakhani, Haqikatnagar, Saharanpur - 247001, Dist.Saharanpur, Uttar Pradesh",8046038683,
"Woodwards Gripe Water, Newly Born, Packaging Size: 150 ml",https://www.indiamart.com/proddetail/woodwards-gripe-water-25327131291.html?pos=8&kwd=gripe water&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Omkar Pharma And General Stores,https://www.indiamart.com/omkarpharma-generalstores/?pos=8&kwd=gripe water&tags=A||||8211.142|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,,Mumbai,"23, Atul Tower, Mathuradas Road, Kandivali West, Mumbai Suburban, Mumbai - 400067, Dist.Mumbai, Maharashtra",7949328509,
"Matsya Veda Herbal Gripe Water, Packaging Type: Bottle",https://www.indiamart.com/proddetail/herbal-gripe-water-16912206491.html?pos=9&kwd=gripe water&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Matsyaveda Herbals LLP,https://www.indiamart.com/matsyaveda/?pos=9&kwd=gripe water&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Bhikaji Cama Place,New Delhi,"34, Mohammadpur, Bhikaji Cama Place, Bhikaji Cama Place, New Delhi - 110066, Dist.Delhi, Delhi",8048955087,
Ayurveda Doctors Gripe Water,https://www.indiamart.com/proddetail/ayurveda-doctors-gripe-water-23230262130.html?pos=10&kwd=gripe water&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,Goodluck Ayurveda Private Limited,https://www.goodluckayurveda.co.in/?pos=10&kwd=gripe water&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:41613|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0-1|cs:8387|v=4,False,Naharpur Village,New Delhi,"A-1/2, Sector 7, Rohini, Naharpur Village, New Delhi - 110085, Dist.Delhi, Delhi",8048957123,
