product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Fleece mulitucolor Baby Hooded Blanket,https://www.indiamart.com/proddetail/baby-hooded-blanket-2853285398948.html?pos=1&kwd=hooded baby blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Parass Trading,https://www.indiamart.com/parasstrading/?pos=1&kwd=hooded baby blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Chembur,Mumbai,"Room no 3, First Floor, Plot no 39, Next to Shivaji Nagar police station,Kherwadi Plot no 39, Chembur, Mumbai - 400071, Dist.Mumbai, Maharashtra",8047631170,
"Multicolor Bamboo Cotton ( Muslin Cotton) Hooded Baby Blanket, Size: Singe",https://www.indiamart.com/proddetail/hooded-baby-blanket-2854212150173.html?pos=2&kwd=hooded baby blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Verma Enterprises,https://www.styaloindia.com/?pos=2&kwd=hooded baby blanket&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Samaypur,New Delhi,"Plot No.180/1-B, Kh.No. 955/1, 1st, Block-C, Raja Vihar, Siraspur, Badli, North West Delhi, Samaypur, New Delhi - 110042, Dist.Delhi, Delhi",8047654672,
"Blue And White Plain Velvet Hooded Baby Blanket, 1 Year, Size: 65x65cm",https://www.indiamart.com/proddetail/plain-velvet-hooded-baby-blanket-2851612204748.html?pos=3&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Raj Industries,https://www.indiamart.com/raj-industries-punjab/?pos=3&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,,Ludhiana,"H. No B 12 629, Kucha Anayat, Nr Div No 2 Brown Road, Ludhiana - 141008, Dist.Ludhiana, Punjab",7942800347,
Polyester Pink Hooded Baby Blanket,https://www.indiamart.com/proddetail/hooded-baby-blanket-2853737613991.html?pos=4&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Aggarwal Creations,https://www.aggarwalcreations.com/?pos=4&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Ramesh Nagar,Ludhiana,"Geeta Nagar, Street No. 7, Tajpur Road, Ramesh Nagar, Ludhiana - 141008, Dist.Ludhiana, Punjab",8048962321,
"Woolen Printed Red Hooded Baby Blanket, Size: Double",https://www.indiamart.com/proddetail/printed-red-hooded-baby-blanket-2854158143391.html?pos=5&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Sai Trading Company,https://www.indiamart.com/sai-tradingcompany-ludhiana/?pos=5&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Chaura Bazar Area,Ludhiana,"Mochpura Bazar, No. 139 Block Viii, Rajesh Shawls, Chaura Bazar Area, Ludhiana - 141008, Dist.Ludhiana, Punjab",8045736579,
Kids and New born baby Microfiber Towel,https://www.indiamart.com/proddetail/kids-and-new-born-baby-microfiber-towel-2854645326533.html?pos=6&kwd=hooded baby blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Sundar Garments,https://www.sundargarment.com/?pos=6&kwd=hooded baby blanket&tags=A||||8954.051|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Kondithop,Chennai,"No-9 Murugesan Street Near Kondithope Park, Kondithop, Chennai - 600079, Dist.Chennai, Tamil Nadu",8048266539,
Polyester Blue Hooded Baby Blanket,https://www.indiamart.com/proddetail/blue-hooded-baby-blanket-2854141119791.html?pos=7&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Universal Traders,https://www.indiamart.com/universaltraderspunjab/?pos=7&kwd=hooded baby blanket&tags=A||||8661.854|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Iqbal Ganj,Ludhiana,"B-X- 435, Telian Street, Near Iqbal Ganj Chowk, Iqbal Ganj, Ludhiana - 141008, Dist.Ludhiana, Punjab",8045731865,
"Oscar Assorted Baby Hooded Blanket Cum Wrap, 0-2 Years, Size: 60 X 60 Inches",https://www.indiamart.com/proddetail/baby-hooded-blanket-cum-wrap-11829417330.html?pos=8&kwd=hooded baby blanket&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=8&kwd=hooded baby blanket&tags=A||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
"Cartoon Baby Hooded Blanket, Size: Singe, 0-2",https://www.indiamart.com/proddetail/baby-hooded-blanket-2851789151030.html?pos=9&kwd=hooded baby blanket&tags=A||||8661.854||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,A K Davinder Hosiery,https://www.nnhgroups.com/?pos=9&kwd=hooded baby blanket&tags=A||||8661.854||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Madhopuri,Ludhiana,"873, Tilak Nagar, (Ganji Chhapri), Madhopuri, Ludhiana - 141008, Dist.Ludhiana, Punjab",8048607076,
Cotton Pink Baby Hooded Blanket,https://www.indiamart.com/proddetail/baby-hooded-blanket-2852703647862.html?pos=10&kwd=hooded baby blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=10&kwd=hooded baby blanket&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:99820|mtp:S|qry_typ:P|lang:en|wc:3|flavl:0|cs:9608|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
