product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Nutrimed Medomil SF Stage 1 Infant Formula, Age Group: 0-6 Months, Packaging Type: Tin",https://www.indiamart.com/proddetail/medomil-sf-stage-1-infant-formula-2851941623762.html?pos=1&kwd=infant products&tags=A||||8769.479|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Nutrimed Dairy LLP,https://www.indiamart.com/nurtimed-dairy/?pos=1&kwd=infant products&tags=A||||8769.479|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,Ballabhgarh,Ballabhgarh,"Plot No. 88, Sector 68, IMT, Ballabhgarh, Ballabhgarh - 121004, Dist.Faridabad, Haryana",7942873455,
Third Party Manufacturer Infant Milk Powder - Kidofeed,https://www.indiamart.com/proddetail/third-party-manufacturer-infant-milk-powder-kidofeed-2853747634748.html?pos=2&kwd=infant products&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Marcan Healthcare Private Limited,https://www.indiamart.com/marcanhealthcare/?pos=2&kwd=infant products&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,www.marcanhealthcare.com Moraiya,Ahmedabad,"28, Sanket Estate, Okzursanand, Pharmez, www.marcanhealthcare.com Moraiya, Ahmedabad - 382213, Dist.Ahmedabad, Gujarat",7949224603,
Low Birth Weight Infant Milk Formula,https://www.indiamart.com/proddetail/low-birth-weight-infant-milk-formula-2853162286973.html?pos=3&kwd=infant products&tags=BB||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Estrellas Life Sciences Private Limited,https://www.estrellaslifesciences.in/?pos=3&kwd=infant products&tags=BB||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,TRUE,Thaltej,Ahmedabad,"D-607,608,609 Swati clover, Shilaj circle, S.P ring road,, Thaltej, Ahmedabad - 380059, Dist.Ahmedabad, Gujarat",7949341722,
"Spray Dried Milfor infant formula, Age Group: From Birth To 6 Months, Packaging Type: 400g tin",https://www.indiamart.com/proddetail/milfor-infant-formula-2851355280830.html?pos=4&kwd=infant products&tags=BA||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Lead Care International,https://www.indiamart.com/leadcareinternational/?pos=4&kwd=infant products&tags=BA||||8663.873|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,Bommanahalli,Bengaluru,"26/1, Hosur Road, 1st & 2nd Floor Ibis Hotel Regus Business Centre, Bommanahalli, Bengaluru - 560068, Dist.Bengaluru, Karnataka",8046045560,
"Wippee Non Woven Baby Wet Wipes With Lid, Number of Wipes: 10",https://www.indiamart.com/proddetail/baby-wet-wipes-with-lid-17603600548.html?pos=5&kwd=infant products&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,NRV Global Solutions & Services,https://www.visionwetwipes.com/?pos=5&kwd=infant products&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,Hari Nagar,New Delhi,"F-47B, MIG Flats, Hari Nagar, Hari Nagar, New Delhi - 110064, Dist.Delhi, Delhi",8048964379,
"Cotton Girl Infant month group top, Age Group: 0-3 Months",https://www.indiamart.com/proddetail/infant-month-group-top-2853896075330.html?pos=6&kwd=infant products&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Shubhagya Creation,https://www.indiamart.com/shubhagyacreation/?pos=6&kwd=infant products&tags=A||||8785.791|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,Indirapuram,Ghaziabad,"Amrapali Village Am Block Flat No 604 6th Floor Indirapuram Village Makanpur Nayaykhand Ii, Indirapuram, Ghaziabad - 201014, Dist.Ghaziabad, Uttar Pradesh",7942613379,
"Infant Products, Powder,Paste Or Liquid, Packaging Type: Bottle,Packets Etc",https://www.indiamart.com/proddetail/infant-products-16218610612.html?pos=7&kwd=infant products&tags=BB||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Bo International,https://www.boessentialoil.com/?pos=7&kwd=infant products&tags=BB||||8741.812|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,TRUE,Udyog Vihar Phase 5,Gurugram,"884, Udyog Vihar, Sector 19, Udyog Vihar Phase 5, Udyog Vihar Phase 5, Gurugram - 122016, Dist.Gurgaon, Haryana",8048960874,
"Female Eco Friendly Soft Fabric Infant Products, Packaging Type: Vinyl Bag",https://www.indiamart.com/proddetail/infant-products-15886317462.html?pos=8&kwd=infant products&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Oscar Overseas,https://www.oscar-india.com/?pos=8&kwd=infant products&tags=BA||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,,Noida,"A-99 Sector 5, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",8046058290,
"Polyester Baby Silicone Bib, Newly Born",https://www.indiamart.com/proddetail/baby-silicone-bib-2854517564373.html?pos=9&kwd=infant products&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,BABYHOLIC,https://www.babyholic.in/?pos=9&kwd=infant products&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,,Surat,"Ground Floor, Plot No. F/56/, And F/57, Laxmi Narayan Industrial Estate, Udhana, Kailash Fashion, Surat - 394210, Dist.Surat, Gujarat",8045732096,
"Male White Infant Products, Packaging Type: Bottle",https://www.indiamart.com/proddetail/infant-products-2853675288248.html?pos=10&kwd=infant products&tags=BB||||8331.224|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,Tandulwadkar Herbs,https://www.indiamart.com/tandulwadkar-herbs/?pos=10&kwd=infant products&tags=BB||||8331.224|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:120855|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9648|v=4,FALSE,Pratibhanagar,Kolhapur,"KMC Gala No.11, Pratibhanagar Market, E Ward, Karvir, Pratibhanagar, Kolhapur - 416008, Dist.Kolhapur, Maharashtra",8047304149,
