product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Capacity: 200 ml Stainless Steel Kids Eating Cup,https://www.indiamart.com/proddetail/stainless-steel-kids-eating-cup-2854078694230.html?pos=1&kwd=kid cup&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Giftery,https://www.indiamart.com/giftery-new-delhi/?pos=1&kwd=kid cup&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Okhla Industrial Estate Phase 1,New Delhi,"E-237, Works, Works Okhla, Okhla Industrial Estate Phase 1, New Delhi - 110020, Dist.Delhi, Delhi",8044563612,
Chic Buddy Silicone Baby Tiny Cup with Spoon for Infants First Stage Training,https://www.indiamart.com/proddetail/chic-buddy-silicone-baby-tiny-cup-with-spoon-for-infants-first-stage-training-2848988232762.html?pos=2&kwd=kid cup&tags=BA||||8786.56|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Totcase Services Private Limited,https://www.totcase.com/?pos=2&kwd=kid cup&tags=BA||||8786.56|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Alwal,Hyderabad,"1-4-177/ A13/402 Shivasai Residency Greenwood Colony Old Alwal, Alwal, Hyderabad - 500010, Dist.Hyderabad, Telangana",8045910096,
"Dolphin Transparent Baby Sippy Cup, 1-3 Years, Size: Small",https://www.indiamart.com/proddetail/baby-sippy-cup-2849704943573.html?pos=3&kwd=kid cup&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=3&kwd=kid cup&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
"Blue And Red Baby Sipper Cup, 3-12 Months",https://www.indiamart.com/proddetail/baby-sipper-cup-23215958055.html?pos=4&kwd=kid cup&tags=BA||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Shri Siddhivinayak Traders,https://www.indiamart.com/shrisiddhivinayaktraders-firozpur/?pos=4&kwd=kid cup&tags=BA||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Basti Nizamdin,Firozpur,"No.94, Anand Avenue, Backside Marked Office, Malwal Road, Firozpur City, Basti Nizamdin, Firozpur - 152002, Dist.Firozpur, Punjab",8046066644,
"Yellow And Black Stainless Steel Kid Cup, Capacity: 200 mL",https://www.indiamart.com/proddetail/stainless-steel-kid-cup-2854699630248.html?pos=5&kwd=kid cup&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Neev Corporation,https://www.indiamart.com/neevcorporation/?pos=5&kwd=kid cup&tags=BA||||8211.142|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Mumbai Central,Mumbai,"4th, A-48 Plot 153/154 A Wing, Siddhesh Deep, Patthe Bapurao Marg, NR Tardeo Bus Terminal, Mumbai Central, Mumbai - 400008, Dist.Mumbai, Maharashtra",7949329851,
Brass Baby Cup,https://www.indiamart.com/proddetail/brass-baby-cup-1180725597.html?pos=6&kwd=kid cup&tags=BA||||8915.672||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,White Daisy,https://www.whitedaisyintl.net/?pos=6&kwd=kid cup&tags=BA||||8915.672||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Ghurathy,Moradabad,"No. 101, Kothiwal Nagar, Near Highland Building, Ghurathy, Moradabad - 244001, Dist.Moradabad, Uttar Pradesh",8046053484,
Disp Baby Cup Feeder,https://www.indiamart.com/proddetail/disp-baby-cup-feeder-3688470191.html?pos=7&kwd=kid cup&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Seward Systems Inc,https://www.indiamart.com/seward-systems/?pos=7&kwd=kid cup&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Borivali East,Mumbai,"No. 302, Triveni Krupa Building, Carter Road, No. 3, Borivali East, Mumbai - 400066, Dist.Mumbai, Maharashtra",8048602086,
"Screw Cap Yellow Baby pee cup, Capacity: 250ml",https://www.indiamart.com/proddetail/baby-pee-cup-24042892133.html?pos=8&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,TS MART,https://www.tsmart.co.in/?pos=8&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Vijay Nagar Society No 2,Surat,"Ground Floor Om Shiv Complex Yogi Chowk, Vijay Nagar Society No 2, Surat - 395010, Dist.Surat, Gujarat",8046054788,
"Sippy Cup with Straw,Sounding Rabbit Ears Toddler Water Bottle with Straw",https://www.indiamart.com/proddetail/sippy-cup-with-straw-sounding-rabbit-ears-toddler-water-bottle-with-straw-2851619286297.html?pos=9&kwd=kid cup&tags=BA||||8231.259|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Prancing Unicorn,https://www.indiamart.com/prancing-unicorn/?pos=9&kwd=kid cup&tags=BA||||8231.259|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Anjur,Bhiwandi,"B-902, Lodha Upper Thane Mankoli Bridge, Anjur, Bhiwandi - 421302, Maharashtra",7942832521,
"Round Multicolor STRAW UNIVERSAL FALL WATER CUP, Capacity: 100 mL, 0-5 years",https://www.indiamart.com/proddetail/straw-universal-fall-water-cup-2851156887373.html?pos=10&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Rozzby,https://www.cheaperzonetoys.com/?pos=10&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Kosam,Surat,"1st Floor D-2,103 Vip Circle Shlok Recidency Utran, Kosam, Surat - 394105, Dist.Surat, Gujarat",8047622002,
Hello kitty Stainless Steel Water Cup With Lid And Straw 480ml/16.89oz Children/Adult Drinking Cup,https://www.indiamart.com/proddetail/hello-kitty-stainless-steel-water-cup-with-lid-and-straw-480ml-16-89oz-children-adult-drinking-cup-2853141682291.html?pos=11&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Tallin Sales,https://www.indiamart.com/tallin-sales/?pos=11&kwd=kid cup&tags=BA||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Singanpor,Surat,"Lakshmi Enclave Basement near Gajera School, Singanpor, Surat - 395004, Dist.Surat, Gujarat",7942542891,
Tritan Premium Baby Snack Cup,https://www.indiamart.com/proddetail/tritan-premium-baby-snack-cup-2853708711630.html?pos=12&kwd=kid cup&tags=BA||||9097.53|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,My Bear Hugs,https://www.indiamart.com/bear-hugs/?pos=12&kwd=kid cup&tags=BA||||9097.53|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,,Fatehpur,"44/38,,CHAUDHARANA,Fatehpur Ist Floor 44/38 Chaudharana,212601,, Fatehpur - 212601, Uttar Pradesh",,
Car Straw Water Cup Detachable Bus Kids - Wbt-317,https://www.indiamart.com/proddetail/car-straw-water-cup-detachable-bus-kids-wbt-317-2852949892473.html?pos=13&kwd=kid cup&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Sony Plastics,https://www.sonyplastics.co/?pos=13&kwd=kid cup&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Mandvi,Mumbai,"181,Abdul Rehman Street, Mandvi, Mumbai - 400003, Dist.Mumbai, Maharashtra",7942552945,
Baby Dimple Cup,https://www.indiamart.com/proddetail/baby-dimple-cup-12791795512.html?pos=14&kwd=kid cup&tags=BB||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,Wecare Solutions,https://www.indiamart.com/wecare-solutions/?pos=14&kwd=kid cup&tags=BB||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9599|v=4,False,Valiv,Thane,"Gala No. F-19-20, 1st Floor, Rajprabha Anand Industrial Estate Naikpada, Waliv, Valiv, Thane - 401208, Dist.Thane, Maharashtra",8047631791,
"Plastic 350ml Pink Baby Sipper Mug, For Home",https://www.indiamart.com/proddetail/350ml-pink-baby-sipper-mug-25743211430.html?pos=15&kwd=kid cup&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,Little Kingdom Baby Product,https://www.indiamart.com/little-kingdombaby-product/?pos=15&kwd=kid cup&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,False,Bawana,New Delhi,"Plot No. 16, PKT-G, Sector-3, DSIIDC, Bawana, North West Delhi, Bawana, New Delhi - 110039, Dist.Delhi, Delhi",8047648589,
"Rainbow Color Magic Lighting Cup 250 ml, For Home",https://www.indiamart.com/proddetail/rainbow-color-magic-lighting-cup-250-ml-2851859430130.html?pos=16&kwd=kid cup&tags=BA||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,Mehai Retails LLP,https://www.indiamart.com/mehai-retails-llp/?pos=16&kwd=kid cup&tags=BA||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,False,Baba Harishchandra Marg,Jaipur,"S-88, 2nd Floor, Raisar Plaza,, Baba Harishchandra Marg, Jaipur - 302001, Dist.Jaipur, Rajasthan",8047657191,
Silicone baby feeding cup,https://www.indiamart.com/proddetail/silicone-baby-feeding-cup-2854339038991.html?pos=17&kwd=kid cup&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,Ami Polymer Private Limited,https://www.indiamart.com/amipolymer/?pos=17&kwd=kid cup&tags=BB||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,False,,Mumbai,"Office No. 6 & 7, Western Edge 2, Western Express Highway, Metro Store, Borivali East, Mumbai - 400066, Dist.Mumbai, Maharashtra",8046031688,
MADY BABY SIPPER,https://www.indiamart.com/proddetail/mady-baby-sipper-2854530162855.html?pos=18&kwd=kid cup&tags=BB||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,Household Mart,https://www.indiamart.com/household-mart-newdelhi/?pos=18&kwd=kid cup&tags=BB||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,False,,New Delhi,"2nd Floor Ganesh Pura A Kanhiya Nagar Tri Nagar, House 3904 Plot No Old -171 Street No 14, North West Delhi, New Delhi - 110035, Dist.Delhi, Delhi",7949337207,
Baby cup,,Shree Durga Jewellers,https://www.indiamart.com/shreedurga-jewellers-newdelhi/?pos=19&kwd=kid cup&tags=BB||||8752.144|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:22709|mtp:S|qry_typ:P|lang:en|wc:2|cs:8836|v=4,False,Central Delhi,New Delhi,"3, 1184/300-302, Kucha Mahajani, Chandni Chowk Road, Rickshaw Tours, Chandni Chowk Area,, Central Delhi, New Delhi - 110006, Dist.Delhi, Delhi",8044459297,
