product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Transparent Plastic Baby Sipper Bottle, Capacity: 100 mL, 3-12 Months",https://www.indiamart.com/proddetail/baby-sipper-bottle-2852304846830.html?pos=1&kwd=plastic baby bottle&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,P For Panda Baby Products Private Limited,https://www.p4pandababyproducts.com/?pos=1&kwd=plastic baby bottle&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Goregaon West,Mumbai,"904 A Wing,9 Th Floor,Triple S Heights,Jakeria Road, Goregaon West, Mumbai - 400064, Dist.Mumbai, Maharashtra",7942710871,
Multicolor Baby Feeding Bottle,https://www.indiamart.com/proddetail/baby-feeding-bottle-2581475573.html?pos=2&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=2&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
"Size: medium Silicon Baby Feeding Bottle, Age Group: 3-12 Months, Capacity: 250ml",https://www.indiamart.com/proddetail/silicon-baby-feeding-bottle-26171228255.html?pos=3&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Urbancube,https://www.indiamart.com/urbancube/?pos=3&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Kamla Nagar,New Delhi,"Ground Floor, 14 UA, Jawahar Nagar, Kamla Nagar, New Delhi - 110007, Dist.Delhi, Delhi",8048980014,
"PP Plastic Baby Feeding Bottle, Capacity: 150 ml",https://www.indiamart.com/proddetail/plastic-baby-feeding-bottle-2854760038955.html?pos=4&kwd=plastic baby bottle&tags=A||||8741.812|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Royal Baby Products (India),https://www.indiamart.com/royal-baby-products/?pos=4&kwd=plastic baby bottle&tags=A||||8741.812|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Sarhaul,Gurugram,"Ground Floor, M-2/22, Dlf City Phase II, Dlf City Phase II, Sarhaul, Gurugram - 122008, Dist.Gurgaon, Haryana",8048613476,
"200ml Pink Plastic Baby Feeding Bottle, Age Group: Newly Born",https://www.indiamart.com/proddetail/200ml-pink-plastic-baby-feeding-bottle-2851085369612.html?pos=5&kwd=plastic baby bottle&tags=A||||8788.382|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Loop Techno Systems Private Limited,https://www.indiamart.com/loop-technosystems/?pos=5&kwd=plastic baby bottle&tags=A||||8788.382|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Surajpur Site V,Greater Noida,"Plot No. J-023, Site 5, Kasna Ind, Area,Gautam Buddha Nagar, Surajpur Site V, Greater Noida - 201308, Dist.Gautam Budh Nagar, Uttar Pradesh",7942830535,
"Baby Feeder Feeding Bottles And Sippers, Size: 60ml",https://www.indiamart.com/proddetail/feeding-bottles-and-sippers-20476966730.html?pos=6&kwd=plastic baby bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Shraddha Saburi,https://www.indiamart.com/shraddhasaburi/?pos=6&kwd=plastic baby bottle&tags=A||||8545.6045|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Cantonment Area,Firozpur,"263, Suji Bazar, M/s Shraddha Saburi, Ferozepur Cantt, Cantonment Area, Firozpur - 152001, Dist.Firozpur, Punjab",8048979628,
"Plastic Pp Standard Neck Feeding Bottle, Capacity: 250 ml",https://www.indiamart.com/proddetail/pp-standard-neck-feeding-bottle-2854879890488.html?pos=7&kwd=plastic baby bottle&tags=A||||8786.56||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Nabhodh Traders,https://www.indiamart.com/nabhodh-traders/?pos=7&kwd=plastic baby bottle&tags=A||||8786.56||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,,Hyderabad,"Plot No 60, Shilpa Avenue, Hyder Nagar Medchal Malkajgiri, Hyderabad - 500072, Dist.Hyderabad, Telangana",8044460917,
Sparkle Baby Feeding Bottle 125ml,https://www.indiamart.com/proddetail/sparkle-baby-feeding-bottle-125ml-12768773612.html?pos=8&kwd=plastic baby bottle&tags=A||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Wecare Solutions,https://www.indiamart.com/wecare-solutions/?pos=8&kwd=plastic baby bottle&tags=A||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Valiv,Thane,"Gala No. F-19-20, 1st Floor, Rajprabha Anand Industrial Estate Naikpada, Waliv, Valiv, Thane - 401208, Dist.Thane, Maharashtra",8047631791,
Plastic Baby Sipper Bottle 400 ML,https://www.indiamart.com/proddetail/plastic-baby-sipper-bottle-400-ml-2852393705833.html?pos=9&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=9&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
"Green Plastic Baby Bottle, Capacity: 100 mL, Age Group: Newly Born",https://www.indiamart.com/proddetail/plastic-baby-bottle-22001007833.html?pos=10&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,Dua Traders,https://www.indiamart.com/duatraders-delhi/?pos=10&kwd=plastic baby bottle&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mc:22704|mtp:S|qry_typ:P|lang:en|wc:3|flavl:4|cs:9600|v=4,False,Mandoli,New Delhi,"Plot No. 8, Kh No. 4/24, Mela Ram Vatika, E-block, JR Complex No. 4, Mandoli, Sevadham, Mandoli, New Delhi - 110093, Dist.Delhi, Delhi",8048971741,
