product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Cotton Multicolor Baby Receiving Blanket,https://www.indiamart.com/proddetail/baby-receiving-blanket-23352378462.html?pos=1&kwd=receiving blanket&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,King Enterprise,https://www.kingenterpriseindia.com/?pos=1&kwd=receiving blanket&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,Opp. Haripura Bus Stand,Ahmedabad,"Block- E 28, Ground Floor, Abhishek Estate-1, Opp. Haripura Bus Stand, Ahmedabad - 380016, Dist.Ahmedabad, Gujarat",8047632934,
Fleece Receiving Blanket,https://www.indiamart.com/proddetail/fleece-receiving-blanket-6947906233.html?pos=2&kwd=receiving blanket&tags=BB||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Vaibhav Overseas,https://www.vaibhavoverseas.net/?pos=2&kwd=receiving blanket&tags=BB||||8747.203|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,Huda,Panipat,"60, M/S Vaibhav Overseas, Sector-29,Part-I, Huda, Huda, Panipat - 132103, Dist.Panipat, Haryana",8046051980,
"Mifa Baby White Bamboo Muslin Receiving Blanket, 0-6 Months, Size: 39x38 Inch",https://www.indiamart.com/proddetail/bamboo-muslin-receiving-blanket-2850733996355.html?pos=3&kwd=receiving blanket&tags=BA||||8810.737|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Mifa Handlooms,https://www.indiamart.com/mifa-handlooms/?pos=3&kwd=receiving blanket&tags=BA||||8810.737|Price|product|||NA|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,,Saharanpur,"Opp- Zakiya Masjid Near Rashid Garden,Vardhman Colony,Chilkana Road,Saharanpur,Saharanpur, Saharanpur - 247001, Dist.Saharanpur, Uttar Pradesh",8069033754,858
Cotton White Flannel Baby Receiving Blankets,https://www.indiamart.com/proddetail/flannel-baby-receiving-blankets-2358653762.html?pos=4&kwd=receiving blanket&tags=||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Central India Fabrics,https://www.centralindiafabrics.net/?pos=4&kwd=receiving blanket&tags=||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,True,Avantika Nagar,Indore,"2/A/C, Sector D, Sanwer Road Opposite Bandganga Police Station, Avantika Nagar, Indore - 452015, Dist.Indore, Madhya Pradesh",8048965370,
"Pink Receiving Blanket, Age Group: 0-1yr",https://www.indiamart.com/proddetail/receiving-blanket-23148972755.html?pos=5&kwd=receiving blanket&tags=CC||||8706.263|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Sivam Export,https://www.indiamart.com/sivamexport-karur/?pos=5&kwd=receiving blanket&tags=CC||||8706.263|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,,Karur,"6/1 Thiru Nagar,3rd Street, Karur - 639002, Dist.Karur, Tamil Nadu",8046050918,
BABY RECEIVING BLANKET,https://www.indiamart.com/proddetail/baby-receiving-blanket-2854585141997.html?pos=6&kwd=receiving blanket&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,BABYHOLIC,https://www.babyholic.in/?pos=6&kwd=receiving blanket&tags=||||8230.883|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,,Surat,"Ground Floor, Plot No. F/56/, And F/57, Laxmi Narayan Industrial Estate, Udhana, Kailash Fashion, Surat - 394210, Dist.Surat, Gujarat",8045732096,
Cotton Multicolor Baby Receiving Blanket,https://www.indiamart.com/proddetail/baby-receiving-blanket-2854165422455.html?pos=7&kwd=receiving blanket&tags=||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Nayak Textile Private Limited,https://www.flannelmanufacturer.com/?pos=7&kwd=receiving blanket&tags=||||8559.269|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,Industrial Area,Indore,"100,Industrial Area,Sector F,Sanwer Road,Indore, Industrial Area, Indore - 452015, Dist.Indore, Madhya Pradesh",7942789323,
Baby Receiving Blankets,https://www.indiamart.com/proddetail/baby-receiving-blankets-13442351733.html?pos=8&kwd=receiving blanket&tags=||||8559.269|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Navkar Textiles,https://www.indiamart.com/navkartextilesindore/?pos=8&kwd=receiving blanket&tags=||||8559.269|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,Shivaji Nagar,Indore,"No. 339, Shivaji Nagar, Behind Hukumchand Mill, Shivaji Nagar, Indore - 452003, Dist.Indore, Madhya Pradesh",8046069243,
Printed Baby Blanket,,RR Creations,https://www.rrcreation.co.in/?pos=9&kwd=receiving blanket&tags=||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,Raghunathgarh,Jaipur,"A7D, Raghunath Colony, Galta Gate, Raghunathgarh, Jaipur - 302003, Dist.Jaipur, Rajasthan",8047620731,
Printed Newborn Infant Baby Swaddle Blanket Sleeping Swaddle With Bag,https://www.indiamart.com/proddetail/newborn-infant-baby-swaddle-blanket-sleeping-swaddle-with-bag-23761603991.html?pos=10&kwd=receiving blanket&tags=||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,Gopali Arts,https://www.gopaliarts.in/?pos=10&kwd=receiving blanket&tags=||||8601.347|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:55819|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9605|v=4,False,G1-652 Sitapura Phase-1,Jaipur,"G1-652, Sitapura Phase-1, G1-652 Sitapura Phase-1, Jaipur - 302022, Dist.Jaipur, Rajasthan",8048264082,
