product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
"Sivam Export Printed Organic Cotton Muslin Baby Blanket, 0 - 2 Years, Size: 100 X 100 Cm (L X W)",https://www.indiamart.com/proddetail/organic-cotton-muslin-baby-blanket-23929670388.html?pos=1&kwd=swaddler&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Sivam Export,https://www.indiamart.com/sivamexport-karur/?pos=1&kwd=swaddler&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,,Karur,"6/1 Thiru Nagar,3rd Street, Karur - 639002, Dist.Karur, Tamil Nadu",8046050918,
"46"" Printed Cotton Muslin Fabric",https://www.indiamart.com/proddetail/46-printed-cotton-muslin-fabric-26464641355.html?pos=2&kwd=swaddler&tags=A||||8231.259|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Hemp Ecotex,https://www.indiamart.com/hempecotex/?pos=2&kwd=swaddler&tags=A||||8231.259|Price|product|||MDC|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Val,Bhiwandi,"1st Floor, H. No 1661/12 Gala No 106, BL-K, Dharam Complex, Phase-I, Rahnal Village, Val, Bhiwandi - 421302, Maharashtra",7949092530,
White Plain Muslin Swaddle Blankets,https://www.indiamart.com/proddetail/muslin-swaddle-blankets-2854117916091.html?pos=3&kwd=swaddler&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,P.R.Cottons,https://www.indiamart.com/prcottons/?pos=3&kwd=swaddler&tags=A||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,True,Near,Karur,"Ground Floor Room No.1, Door No.79/1, Vaiyapurinagar Ist Cross, Near, Karur - 639002, Dist.Karur, Tamil Nadu",8048608767,
Blue Printed Swaddler,https://www.indiamart.com/proddetail/swaddler-2851621636655.html?pos=4&kwd=swaddler&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Vardan Home Furnishings,https://www.vardanhomefurnishings.com/?pos=4&kwd=swaddler&tags=A||||8747.203|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Chowk,Panipat,"Pehlwan Chowk, Vardan Home Furnishings, Kutani Road, Chowk, Panipat - 132103, Dist.Panipat, Haryana",7942957417,
Baby Swaddle Wrapper Muslin,https://www.indiamart.com/proddetail/baby-swaddle-wrapper-muslin-2852806327797.html?pos=5&kwd=swaddler&tags=BA||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Tetra Clothing,https://www.tetraclothing.in/?pos=5&kwd=swaddler&tags=BA||||8954.051|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,True,Gopichettipalaiyam,Chennai,"No. 59/28, Balu Building, Gopichettipalaiyam, Chennai - 638476, Dist.Chennai, Tamil Nadu",8048957951,
"Meenu's Manchesters White 100 percent premium cotton Swaddles, Size: Singe, New Born Babies",https://www.indiamart.com/proddetail/100-percent-premium-cotton-swaddles-2851565208891.html?pos=6&kwd=swaddler&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Meenu's Manchesters,https://www.hotelbedsheet.in/?pos=6&kwd=swaddler&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Edayankattuvalsu,Erode,"26, Nggo Colony, 1, Edayankattuvalsu, Erode - 638009, Dist.Erode, Tamil Nadu",8048609221,
"Muslin Colors Baby Cotton Swaddle Wrap, Size: Medium",https://www.indiamart.com/proddetail/baby-cotton-swaddle-wrap-2854190958855.html?pos=7&kwd=swaddler&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Parass Trading,https://www.indiamart.com/parasstrading/?pos=7&kwd=swaddler&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Chembur,Mumbai,"Room no 3, First Floor, Plot no 39, Next to Shivaji Nagar police station,Kherwadi Plot no 39, Chembur, Mumbai - 400071, Dist.Mumbai, Maharashtra",8047631170,
Cotton Printed Muslin Swaddler,https://www.indiamart.com/proddetail/cotton-printed-muslin-swaddler-23378501633.html?pos=8&kwd=swaddler&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Lazytoddler Solutions Private Limited,https://www.indiamart.com/lazytoddler-solutions/?pos=8&kwd=swaddler&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Wakad,Pune,"A2-1001, Fl-A1, Behind Madhuban Hotel, S.No-40, Armada Parkhe Wasti, Wakad, Wakad, Pune - 411057, Dist.Pune, Maharashtra",8043819563,
Blue Boys And Girls Cotton Bamboo Yarn Made Super Soft Swaddles,https://www.indiamart.com/proddetail/boys-and-girls-cotton-bamboo-yarn-made-super-soft-swaddles-24012486433.html?pos=9&kwd=swaddler&tags=BA||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Mercury Weavers,https://www.indiamart.com/mercuryweavers/?pos=9&kwd=swaddler&tags=BA||||8706.263|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,False,Gowripuram,Karur,"35/3, 2nd Floor, Gandhi Nagar 3rd Cross, Karur Town, Gowripuram, Karur - 639001, Dist.Karur, Tamil Nadu",8047641180,
Swaddles,https://www.indiamart.com/proddetail/swaddles-22430263748.html?pos=10&kwd=swaddler&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,Alpha Organics Clothing India,https://www.indiamart.com/alphaorganicsclothingindia/?pos=10&kwd=swaddler&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:192827|mtp:S|qry_typ:P|lang:en|wc:1|flavl:0-2|cs:8449|v=4,True,Indiranagar,Bengaluru,"NO.3037,INDIRANAGAR,8TH MAIN ROAD, HAL 2ND STAGE,BANGALORE, Indiranagar, Bengaluru - 560038, Dist.Bengaluru, Karnataka",7942540831,
