product_title,product_link,company_name,company_link,is_verified_exporter,city_region,city,address_details,phone_number,phone_number_extension
Chic Buddy Silicone Baby Tiny Cup with Spoon for Infants First Stage Training,https://www.indiamart.com/proddetail/chic-buddy-silicone-baby-tiny-cup-with-spoon-for-infants-first-stage-training-2848988232762.html?pos=1&kwd=training cup&tags=BA||||8786.56|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Totcase Services Private Limited,https://www.totcase.com/?pos=1&kwd=training cup&tags=BA||||8786.56|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Alwal,Hyderabad,"1-4-177/ A13/402 Shivasai Residency Greenwood Colony Old Alwal, Alwal, Hyderabad - 500010, Dist.Hyderabad, Telangana",8045910096,
Dolphin Multicolor Champion Sipping Cup II,https://www.indiamart.com/proddetail/champion-sipping-cup-ii-2597195788.html?pos=2&kwd=training cup&tags=BB||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Dolphin Baby Product,https://www.dolphinbabyproducts.com/?pos=2&kwd=training cup&tags=BB||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Inderlok,New Delhi,"No. 488, 1st Floor, Shahzada Bagh, Industrial Area Phase 1, Inderlok, New Delhi - 110035, Dist.Delhi, Delhi",8048965296,
Baby Cup With Flip Straw,https://www.indiamart.com/proddetail/baby-cup-with-flip-straw-4292202612.html?pos=3&kwd=training cup&tags=BB||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Wecare Solutions,https://www.indiamart.com/wecare-solutions/?pos=3&kwd=training cup&tags=BB||||8223.226|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Valiv,Thane,"Gala No. F-19-20, 1st Floor, Rajprabha Anand Industrial Estate Naikpada, Waliv, Valiv, Thane - 401208, Dist.Thane, Maharashtra",8047631791,
"Twinkle Blue And White Johhny Ample Training Cup, 3-12 Months",https://www.indiamart.com/proddetail/johhny-ample-training-cup-23528593348.html?pos=4&kwd=training cup&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Madhu Products,https://www.indiamart.com/madhu-products-ahmedabad/?pos=4&kwd=training cup&tags=BA||||8228.275|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Saraspur,Ahmedabad,"825, Kadiawad, Saraspur, Saraspur, Ahmedabad - 380018, Dist.Ahmedabad, Gujarat",8046075412,
"Round Pink 200ml Baby Training Cup, Capacity: 150 mL, 3-12 Months",https://www.indiamart.com/proddetail/200ml-baby-training-cup-2851537241897.html?pos=5&kwd=training cup&tags=BA||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Anand Enterprises,https://www.indiamart.com/anand-enterprisesfaridabad/?pos=5&kwd=training cup&tags=BA||||8769.508|Price|product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Sect,Faridabad,"72 Kheri Road Kastori Faridabad, Sect, Faridabad - 121002, Dist.Faridabad, Haryana",7942703101,
"167ml Ocean Delight One Scoop Cup - P02615, For Restaurant",https://www.indiamart.com/proddetail/167ml-ocean-delight-one-scoop-cup-p02615-2854620801030.html?pos=6&kwd=training cup&tags=BB||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Horecamate,https://www.indiamart.com/horecamate/?pos=6&kwd=training cup&tags=BB||||8778.123|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Sector 8,Noida,"28 B, D4 Sector 82 Udyog Vihar Noida Gautambuddha Nagar Uttar Pradesh, Sector 8, Noida - 201301, Dist.Gautam Budh Nagar, Uttar Pradesh",7949091631,
Plastic Baby Straw Sipper Cup - BLUE,https://www.indiamart.com/proddetail/baby-straw-sipper-cup-blue-2852506857955.html?pos=7&kwd=training cup&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Ekta Overseas,https://www.indiamart.com/ektaoverseas-newdelhi/?pos=7&kwd=training cup&tags=CC||||8752.144|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Shahdara,New Delhi,"1/95, Gali No.3, Near Navjeevan Phisical Center, Vishwas Nagar, Shahdara,, Shahdara, New Delhi - 110032, Dist.Delhi, Delhi",7942628926,
"Transparent Training Cup, Size: 100 ml",https://www.indiamart.com/proddetail/training-cup-23864881448.html?pos=8&kwd=training cup&tags=CC||||8281.036||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Hi Pek Enterprise,https://www.hipekenterprise.com/?pos=8&kwd=training cup&tags=CC||||8281.036||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Makarpura Gidc,Vadodara,"282/A-1/20, G I D C, Makarpura, Makarpura Gidc, Makarpura Gidc, Vadodara - 390010, Dist.Vadodara, Gujarat",8046070279,
"Small Wonder Blue Training Cup, 3-12 Months",https://www.indiamart.com/proddetail/training-cup-25294185155.html?pos=9&kwd=training cup&tags=CC||||8238.463|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Chemco Plastic Industries Pvt. Ltd.,https://www.indiamart.com/chemcoplastic/?pos=9&kwd=training cup&tags=CC||||8238.463|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Colaba,Silvassa,"Survey No 227/1/1, Chemco Complex, Silvassa Sayali Road, Colaba, Silvassa - 396230, Dist.Dadra and Nagar Haveli and Daman and Diu, Dadra and Nagar Haveli and Daman and Diu",8048616523,
"Plastic Baby Training Cup, 3-12 Months",https://www.indiamart.com/proddetail/baby-training-cup-2852940874091.html?pos=10&kwd=training cup&tags=CC||||8752.144||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,Dua Traders,https://www.indiamart.com/duatraders-delhi/?pos=10&kwd=training cup&tags=CC||||8752.144||product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC2|com-cf:nl|ptrs:na|ktp:N0|mc:40137|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:9592|v=4,False,Mandoli,New Delhi,"Plot No. 8, Kh No. 4/24, Mela Ram Vatika, E-block, JR Complex No. 4, Mandoli, Sevadham, Mandoli, New Delhi - 110093, Dist.Delhi, Delhi",8048971741,
